,NAME,STAR,CONTENT,DATE
177, KoReAn ,5,Translated by Google Its a good place to go looking around because they sell a variety of things besides books ,a month ago
178,Jung Woo Kim,5,,a month ago
179,"Kim, Young-Hoon",4,,a month ago
180, KoReAn ,5,Translated by Google Easy to find and almost all books are available  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
181, KoReAn ,5,,a month ago
182,evenhoriz Even,5,,a month ago
183, ,5,Translated by Google The best book and stationery store I have ever seen Books stationery for every taste First books are divided by subject Secondly all the staff are very friendly and helpful They will be happy to tell you where ,a month ago
184, KoReAn ,4,,a month ago
185, KoReAn ,5,Translated by Google The store is clean and there is a good selection of books It was easy to find each type so it was easy to find and in addition to books there was Kyobo Hot Tracks so the kids really liked it ,a month ago
186, KoReAn ,5,Translated by Google There are a lot of things and its cool and there are so many places to look around so its overwhelmingI recommend going at least once ,a month ago
187, KoReAn ,5,Translated by Google A large library bookstore located in Gwanghwamun A good place to use when you want to find a comfortable environment and various library There are also various albums and phrases ,a month ago
188,pinu pitu,4,,a month ago
189,gio pi,5,,a month ago
190, KoReAn ,5,Translated by Google It is always a friendly and pleasant place  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
191, KoReAn ,3,Translated by Google The scent of Kyobo Bookstore that calms the mind   Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
192, KoReAn ,4,,a month ago
193, KoReAn ,4,,a month ago
194, KoReAn ,5,,a month ago
195, KoReAn ,4,Translated by Google different stickers  Original  KoReAn   KoReAn ,a month ago
196, KoReAn ,5,Translated by Google Parking is easier than expected and the best bookstore  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
197, KoReAn ,5,,a month ago
198,Youngkuk Yeon,5,Translated by Google Thursday June 30 2022  Original  KoReAn    6 KoReAn 30 KoReAn   2022 KoReAn ,a month ago
199,hh l,5,Translated by Google Its really big and it doesnt look like its missing anything ,a month ago
200, KoReAn ,5,,a month ago
201, KoReAn ,5,,a month ago
202, KoReAn ,5,,a month ago
203, KoReAn ,5,Translated by Google Bookstores are evolving into complex general stores Every time I come to this bookstore I feel cozy ,a month ago
204, KoReAn ,5,,a month ago
205,Michelle Oak,5,,a month ago
206,Hyun Lee,5,Translated by Google It is possible to go on a date or to watch alone A symbolic place not just to buy a book ,a month ago
207,june 01,5,,a month ago
208,Sa Im Lee,5,,a month ago
209, KoReAn ,1,,a month ago
210, KoReAn ,5,,a month ago
211,Sangwook Kim,5,Translated by Google I think the best way to buy a book is to look at it offline ,a month ago
212,Y-I Park,5,,a month ago
213,Explorer,5,,a month ago
214,Yeon Hee Kim,5,,a month ago
215,Sang-Hee Lee,4,Translated by Google There are many books and there are many books that are difficult to find elsewhere ,a month ago
216, KoReAn ,5,Translated by Google Convenient spacious and diverse  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
217,sy bahk,5,Translated by Google The staff are very friendly to guide you  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
218, KoReAn ,5,,a month ago
219, KoReAn ,5,,a month ago
220, KoReAn ,1,,a month ago
221,ys kim,4,Translated by Google There seems to be fewer books than in the past  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
222,Jihyung Ha,5,Translated by Google A bookstore where memories and the present coexist  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
223,beebeeck Bee,5,Translated by Google There were a lot of people It was good  Original  KoReAn   KoReAn   KoReAn ,a month ago
224,Beatrice,5,,a month ago
225, KoReAn ,4,Translated by Google soso  Original  KoReAn ,a month ago
226, KoReAn ,5,,a month ago
227, KoReAn ,5,,a month ago
228,Forest,5,Amazing they had a cd shop inside and kept playing skz songs,a month ago
229, KoReAn ,5,Translated by Google it was good  Original  KoReAn ,a month ago
230, KoReAn ,5,,a month ago
231,,4,Translated by Google The best bookstore in Korea It is a bookstore that has no shortage of spacious space convenient parking and friendly service ,a month ago
232,Shinji Ikari,5,They sell multilingual books including English and Japanese books Awesome collection They even sell sexy zone and King  Prince calendars 1010 recommended,a month ago
233,Eid AL-Qahtani,5,      ,a month ago
234, KoReAn  ( KoReAn ),5, KoReAn   KoReAn ,a month ago
235, KoReAn ,5,,a month ago
236, KoReAn ,5,,a month ago
237, KoReAn ,5,Translated by Google always a fun store  Original  KoReAn   KoReAn   KoReAn ,a month ago
238, KoReAn ,5,Translated by Google Friendly staff  Original  KoReAn ,a month ago
239,pshyayo,5, KoReAn ,a month ago
240,Hogan Park  KoReAn  ( KoReAn ),4,,a month ago
241, KoReAn ,5,Translated by Google When it was hard to go outside like these days I visited to read books I advised not to wear a mask so I used a mask as I did not normally wear a mask As always Kyobo Bookstore Gwanghwamun Branch runs an event ,a month ago
242,zubin major,5,,a month ago
243, KoReAn ,5,Translated by Google It was spacious and wellorganized and above all I liked that there were many albums ,a month ago
244,JW J,5,Translated by Google Still the best bookstore in the country  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
245, KoReAn ,5,Translated by Google Good comfortable itself  Original  KoReAn   KoReAn   KoReAn ,a month ago
246,LMY,5,Plenty of Korean books small selection of foreign books They have a good collection of Korean and foreign CDs and DVDs Stationery personal audio section always a crowd pleaser,a month ago
247, KoReAn wave,5,,a month ago
248, KoReAn ,5,,a month ago
249, KoReAn ,3,,a month ago
250,Kwontae You,5,Translated by Google Absolutely wonderful bookstore A resting place for body and mind in the heart of the city ,a month ago
251, KoReAn ,5,Translated by Google A place where books are challenged Just a fun place to visit ,a month ago
252,Clint McHenry,5,,a month ago
253,Sascha H,4,Huge bookstore offers a wide variety of literature on pretty much categories even on foreign material Unfortunately literature about cycling is not available  take care its a bit cold down there,a month ago
254,fjdk2002,5,,a month ago
255,jooyeon kang,5,Translated by Google Its been a while since Ive been there and my eyes are wide open  I dont think Ill be bored even if I stay all day ,a month ago
256,KW. Byun,4,,a month ago
257, KoReAn ,5,,a month ago
258,Becky Bowman,5,Great selection of English books for kids Friendly and helpful staff  For stroller access theres an elevator thru the lobby entrance on the east side of the building,a month ago
259,Ava Hwang,5,,a month ago
260,K DiB,5,Translated by Google It is a representative bookstore in Korea Great for a city break or a date ,a month ago
261,Sangeun Oh,4,,a month ago
262,Doricom,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
263, KoReAn ,5,,a month ago
264,Soo Young Choi,5, KoReAn   KoReAn   KoReAn ,a month ago
265, KoReAn  ( KoReAn ),5,Holy space of all books,a month ago
266, KoReAn 1976,5,,a month ago
267, KoReAn ,3,,a month ago
268, KoReAn ,4,,a month ago
269,Choi GeonWoo (Hnts),5,,a month ago
270,Se Heon,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
271, KoReAn ,5,,a month ago
272,WOONCHEOL CHO,5,,a month ago
273, KoReAn ,5,,a month ago
274, KoReAn ,4,,a month ago
275,jingap kim,5,,a month ago
276, KoReAn ,5,,a month ago
277, KoReAn ,3,,a month ago
278,Sumolmal Yothaphan,5,,a month ago
279, KoReAn ,5,Translated by Google very good  Original  KoReAn   KoReAn ,a month ago
280,Hakan Gnaydn,5,,a month ago
281, KoReAn ,4, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
282,Brant Inners,4,,a month ago
283,cheol gyu Eun,3,,a month ago
284, KoReAn ,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
285,,3,,a month ago
286, KoReAn ,3,,a month ago
287, KoReAn ,5,,a month ago
288, KoReAn ,4,,a month ago
289, KoReAn ,4,Translated by Google Im in Jeongdong I went to Kyobo and played with the speakers of Wenen ,a month ago
290,Jaeyoung Hwang,5,,a month ago
291, KoReAn ,5,,a month ago
292, KoReAn ,5,,a month ago
293, KoReAn HARU,4,,a month ago
294, KoReAn ,5,,a month ago
295,Jung Wook Koo,5,,a month ago
296,kang kang,5,,a month ago
297, KoReAn ,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
298,Danny Chauca,5,Such a fan of Kyobo and the books they offer I know this is Korea so as expected the books are mainly in Korean So I dont buy any as often but I really do enjoy looking through the Art Books ,a month ago
299, KoReAn ,4,Translated by Google Always satisfied every time I go  Original  KoReAn   KoReAn   KoReAn ,a month ago
300,G.T. Lee,4,Translated by Google It is a good place to go whenever  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
301, KoReAn ,4, KoReAn    KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn  ,a month ago
302,Jason JD Ghim,4,,a month ago
303, KoReAn  ( KoReAn ),5,Translated by Google The store is spacious and clean  Original  KoReAn   KoReAn   KoReAn ,a month ago
304, KoReAn ,5,Translated by Google Souffl cake apple mango and coffee are all really good ,a month ago
305, KoReAn ,5,,a month ago
306, KoReAn ,5,Translated by Google Fine  Original  KoReAn ,a month ago
307,joon Huh,5,,a month ago
308,Lee KoReAn ,5,Translated by Google Needless to say the scale I park at Gran Seoul on the weekend and take a look at it and pick one or two ,a month ago
309, KoReAn ,4,,a month ago
310,KOOBONIL,5,,a month ago
311,Q KoReAn ,5,Translated by Google About Us  Original  KoReAn ,a month ago
312,Heim Rio,5,,2 months ago
313,Dee-Ann Mesias,5,,2 months ago
314,SB R,5,,2 months ago
315,Paul,5,Translated by Google There are many books and things to see A bookstore worth visiting in Seoul ,2 months ago
316, KoReAn ,5,,2 months ago
317,HWon Kim,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
318,KIM SUMI,5,,2 months ago
319,Joshua,5,,2 months ago
320,Kyungjun Kim,5,,2 months ago
321,yeonghwan kim,4,,2 months ago
322,Sarah Lim,4, KoReAn   KoReAn    KoReAn   KoReAn   KoReAn ,2 months ago
323, KoReAn ,4,,2 months ago
324,Soeun Jeon,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
325, KoReAn ,5,,2 months ago
326,Cooki,5,Translated by Google A large bookstore with a lot of books  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
327, KoReAn ,4,,2 months ago
328, KoReAn ,4,,2 months ago
329,Chan Jeong,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
330, KoReAn ,4,,2 months ago
331, KoReAn ,5,,2 months ago
332, KoReAn ,4,,2 months ago
333, KoReAn J G,4,,2 months ago
334,JIN GU BAE,5,,2 months ago
335, KoReAn ,5,Translated by Google Many books  Original  KoReAn ,2 months ago
336,LSJ KoReAn ,5, KoReAn   KoReAn   KoReAn ,2 months ago
337,BioMartino,5,Translated by Google It is also the largest bookstore with a wide variety of books ,2 months ago
338, KoReAn ,5,,2 months ago
339, KoReAn ,4,Translated by Google Its been a while since Ive been with the kids so its very new There are many books so it is good to read and talk with children ,2 months ago
340,min guk,5,,2 months ago
341,Hyun_A KoReAn ,5,,2 months ago
342, KoReAn ,4,,2 months ago
343,MrTanorus,1, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
344, KoReAn ,4,,2 months ago
345,Blanche_ KRIS_,5,,2 months ago
346, KoReAn ,4,Translated by Google A very large bookstore with almost any book you want  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
347,Jong Suh Park,5,,2 months ago
348, KoReAn ,5,Translated by Google A place where you can find a lot of variety of books and even stationery fancy It was a weekend so there were not many people ,2 months ago
349,SENSIBLE JOO,5,,2 months ago
350,Joon-Young Jang,5,,2 months ago
351, KoReAn ,5,,2 months ago
352,Jgram,5,Translated by Google It smells like a book and I love it Due to Corona the number of seats available has decreased ,2 months ago
353, KoReAn ,4,,2 months ago
354, KoReAn  ( KoReAn ),4,Translated by Google It is connected to Gwanghwamun Station Exit 4 so it is good to visit when you have spare time or if you have time It is a friendly wellorganized bookstore where you can experience a variety of experiences ,2 months ago
355, KoReAn ,4,,2 months ago
356, KoReAn ,4,Translated by Google I went to find the remaining stock to restart my piano study  I was very grateful to the staff for informing me in detail ,2 months ago
357, KoReAn ,4, KoReAn   KoReAn ,2 months ago
358, KoReAn ,4,Translated by Google good  Original  KoReAn ,2 months ago
359,Texas Jin,5,Translated by Google A haven of heart  Original  KoReAn   KoReAn ,2 months ago
360,Oh sebon,5,,2 months ago
361, KoReAn ,5,,2 months ago
362,yoyo c,5,,2 months ago
363,Seungwoo Lee,5,Translated by Google Lots of people and good parking The book finder system works well and is convenient ,2 months ago
364, KoReAn ,5,,2 months ago
365,Ton Nguyn Vn,5,,2 months ago
366,lee karma,5,,2 months ago
367,Kiwi Saram,4,Busy store Good selection of English books Strange how all book stores have same price,2 months ago
368,home tax,5,,2 months ago
369,Hyunbin Won,5,,2 months ago
370,J Nam,5,,2 months ago
371, KoReAn ,4,,2 months ago
372, KoReAn ,5,,2 months ago
373, KoReAn ,4,Translated by Google Im kind Im satisfied  Original  KoReAn    KoReAn ,2 months ago
374, KoReAn ,5,,2 months ago
375, KoReAn ,4,,2 months ago
376,dohyun ryu,5,Translated by Google Nice place many benefits  Original  KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
377,Alexander Brmmelsiek,5,Perfect place for everyone who is interested in the old style book I found what I was looking for,2 months ago
378,Jai-Dong KIM,5,,2 months ago
379, KoReAn ,3,,2 months ago
380,JD,4,Translated by Google Its a pity that there are no coffee shops or places to sit and read books ,2 months ago
381,youngsun hong,5,Translated by Google There are many books and it is comfortable and good It is directly connected to the subway station ,2 months ago
