Score,Review
50,"I would review more Korean restaurants if the restaurants that I dined at had any English in their signage. Well this particular restaurant is different in that it was recommended and rated by the Michelin Star reviews. Gave it a five rating in that it was so affordable and even though the menu was limited...it was delicious. The specialty is noodle and dumplings, So if you order two bowls of dumpling noodle soup and steam dumplings along with the side dishes, it was more than adequate without breaking your daily travel allowance. It was so good that we made a return visit to this noodle place. This is a cash only establishment but boy are they fast in bringing your orders!"
50,"I totally love Mondu, we got a mixture of them, everyone of them were delicious, the sauce is so good, the freshly made sides, was the best I have ever had. Soup is very very good. SoJu to top it off. What a great experience"
40,"It was a good experience to have the dumplings in a traditional restaurant. The dumplings matched well with the vinegar and Korean sauce. The auntie was so nice to offer delicious kimchi. Yet, it was a bit too many dumplings for one person – to finish 10 dumplings at once was not an easy task!"
40,We were staying in Namdaemun and of course had to go to Myeondong for some shopping. We stopped in around 3:30 pm and got a table right away. We just ordered a couple of Mandoo. Each order is 10000 won and there are 10 pieces. They take payment right away. They do accept credit cards.  There is also complimentary kim chee and someone walks around if you need more. Noticed they have been given the 2020 Michelin Bib Gourmand distinction.
40,Noodle reminds us of the Singapore ban mian but I like this better. Long queue but quick and efficient service. Pay before get the food. Their dumplings are good especially with their super spicy kimchi.
50,"A friend of mine took me here and this place is heaven, but it can get very busy for dinner, so arrive early! The Kimchi here is one of the spiciest I've had during the trip, but it's super nice and garlicky. Kalguksu noodles were superb and very hearty, so a great choice for winters. They have 3 locations and from what I remember 2 of them are on the same street. Went to the original establishment in which, unsurprisingly, was also the busiest."
30,"There was a queue but it moved fast. The restaurant is 3 storey high so plenty of seats although fully occupied even for late lunch. There were basically 3 dishes to choose from and our orders came very quickly. Payment to be made right after order, and chewing gums were given after meals.  Taste wise, didnt find it extraordinary but it was nice, was expecting Gyoza (steamed and slightly brown on one side) but ended up served steamed only on a steam tray."
50,"The menu does not offer endless options but the restaurant is a classic! Once you go there you become a regular, even if you’re a tourist in Seoul. Endless servings of Kimchi and the delicious Kalguksu are just some of the reasons that ties you to this humble restaurant. Went there every day of my Seoul trip. Not disappointed."
40,"The kalguksu noodles were soft & tender. The soup refreshing & warm. The dumplings were meaty in very thin wraps. We ordered one dish of each which was good to share. Menu items are very limited, testament to the tastiness & quick service despite heavy crowds. Affordable lovely comfort meal."
40,"When you get hungry and cold after shopping along the cold streets of Myeongdong, I would certainly recommend stepping into Myeongdong Kyoja for a bowl of hot dumpling noodles or a plate steam meat dumplings. And they have special korean spicy sauce to go with it as well as the white vinegar. In fact the dumplings here are so good that they have received they have been on the Michelin guide 4 years in a row. And it is not an expensive meal at all. one more thing, don't expect refined service here."
50,"The steam dumplings here is a must try. Noodles serving is relatively huge. We (2 adults and 1 10yr old) ordered 2 bowls of non spicy noodle soup and a basket of steam dumplings. Extremely, extremely filling and satisfying."
40,"Lots of good reviews on this noodle joint. With only 4 selections on the menu and yet is always filled with crowd. You know you have to give it a try. For non spicy eater, you can go for the white noodle soup cooked in chicken broth. The noodle is simple with minced meat and a few dumplings. Soup is enhanced with ikan bilis ( anchovies )flavour. No frills but comforting on a cold weather. The spicy dry cold noodles is yum too if you can take spicy food. We ordered the dumplings too. Overall, not very outstanding in my opinion but worth a try."
50,At peak dinner time there is a long queue but service is very fast and do not have to wait too long. However the wait is worth it. The dumplings are one of the best I have tasted. The noodle are also very very good. Service is ultra fast and you can finish your dinner and gone very quickly. You would not want to hang around after eating as the place is tight and do not wish to let people queing to wait too long to get your table. Been there twice within one week.
50,"Heard about this place listed on Michelin Guide and so we had to check it out. The place is fairly big, but condensed with people. Luckily we came a bit early and didn't have to wait for a spot. Menu was simple, I think it was only about 4-5 different items. I got the mandu and also kalguksu (noodle soup). They were delicious! The mandu goes well with whatever garlic sauce they had on the table. Furthermore, their kimchi was spicy but addicting! I will definitely go back here again"
40,"The restaurant has only 3 items on its menu - 10pc mandu, noodles with soup, dry spict noodles.  We ordered the soupy noodles for everyone and shared the mandu. The bowls of noodles are huge. I could only eat half of it. My husband polished the balance off after finishing his own bowl. ha ha. The soup broth is fragrant and the minced meat and dumplings in it are good.  The mandu is really good. A must-try when you come to this place.  Restaurant looks tiny but they have more space upstairs. The lady boss will direct u to go in and take a lift to the 3rd floor if the ground floor is fully occupied.  We were surprised to find that this restaurant has been on the Michelin Bib Gourmand list for 3 years."
40,"The food was definitely worth our money, especially during the cold winter. Their kimchi is completely beyond what we have in my home country, with a spice level i absolutely love. The noodle choices are very limited, but because they do them so well, that point often does not matter.  The dumplings are so good! We heard that they were a 'must try' so we got them. Completely lived up to the hype.  Staff tried hard to communicate with us even though there were some issues since we could not understand Korean. As an introvert, was a little intimidated by them and would not come by myself.  Overall, it was very filling and good! Definitely will recommend. Their warm noodles are amazing and the food is served almost immediately after we order. It was amazing"
50,Don’t be daunted by the lineup ...people eat quickly after they order from the limited menu options. Everything is tasty! Inexpensive Michelin Bib Gourmand that’s so accessible for all. Go!
50,"Every time I come to Seoul, I will come here for the noodles and dumplings. And each and every time it never fails to deliver! This dish just delivers comfort to the soul, especially during winter. Add in the kimchi to the soup and the taste just elevates to another level. Just brought my mum there tonight and she gave her thumbs up for the noodles and soup!"
40,"Portion is big. I shared one noodles and one order of dumplings with my sister and we struggled to finish everything between us. The noodles are ok. I love the dumplings, skin is not too thick, filling is flavorful and texture is perfect. The kimchi they serve packs a punch in terms of spice level and is my favourite out of all that I have tried. It has a distinct garlicky taste to it. It is a no-frills place, order and pay before food is served. Perfect for single diners too."
50,Still the best noodle stall in Myeong-dong. The spicy cold noodle is very good. One serving is never enough.
50,"There’re 2 restaurants in Myeongdong. You just come in, get menu, choose, pay right away and then in 5-10 min they bring you what you’ve ordered. Unlimited kimchi:) You don’t need to give any tips. Quick and good service, not expensive and very very tasty! Good place to eat there if you are in Myeongdong."
50,"We are a family of 5 and had 2 Kim Chi noodles, 2 soup noodles and 1 dumpling. The servings were large and food tasty with fast service before the lunch time crowd. The soup has onions, black fungus, mushrooms and minced pork. The noodles in the spicy noodles were unique. The dumplings were the best of the lot.  This place has 3 years Michelin Bib Gourmand. Recommended if your are in this part of town."
30,"There are only 4 items on the menu and we had 3 of them. Dumplings were nice but not fantastic. I find the noodles a little too thick and the soup was only so-so. For me, the dish that stole the limelight was the kimchi. Their kimchi has a kick to it and was tasty and crunchy. This place is a Michelin restaurant though so if you are in the Myeongdong area, no harm visiting."
50,"Outstanding Kyoja, kimchi with fire, and Kalgoksuk was delicious. The menu is limited and what they offer is of highest quality."
50,"Best place ever, since my friend took me there last year i fall in love with the Kalguksu soup and mandu, it is the best place to have good noodles"
50,"Great atmosphere. Lots of customers. Wait-staff are very efficient. Reasonably priced. The Kalguksu is so simple yet so delicious. NIce clear, tasty broth. I loved it. The mandu/dumplings looked awesome too, but I didn't order it as I was just here by myself and wouldn't have been able to finish a serving of noodles and dunplings. Ate here twice during my Seoul visit. Miss it so much!"
50,"Food is very tasty, they make only 4 things but done very well. We shared dumplings and noodles, both of which were great. We didn’t experience any wait. You pay when you order and there is a piece of gum at the end."
50,"KYoja noodles and dumplings were a treat. The price was reasonable, one bowl of noodle plus 1 tray of dumplings (10 pcs) costs 19000 KRW will keep 2 persons full for the whole night."
50,Superfast and super yummy place. Truly a local experience at fab price. Perfect for a quick and tasteful lunch.
40,Lovely dumplings on the run. We visited after a recommendation and it did not disappoint. Quick service.
40,A must place for me to go to whenever I am in Seoul! Mandu and a hot bowl of noodles satisfy my hungry belly especially cold days. Brought 2 friends along this time. They love it. Went back again before home.
40,"Nothing fancy about this place at all, and it serves just a limited number of dishes. However, they're all delicious. Always busy but no queues as such when i was there. Perhaps because of the rapid service. Indeed, you pay first before being served (and not just the tourists). But it's all about the broth and then what you choose to put in it. Noodles. Dumplings. Kimchi on the side. Doesn't matter. All delicious."
30,"First visited Myeongdong Kyoja in 2018. Thought it was very good at the time. Visited again in 2019 and it was not as good as I remember it being.  We were seated in the upstairs area. Servers disappeared, could not place an order for several minutes after being seated. Finally was able to order the dumplings and 2 orders of soup. The dumplings are good, but the soup was just okay. The broth seemed much cloudier/thicker than it used to be. I was a little disappointed that I wasted a meal in Seoul coming back to eat here. I won't be coming again next time.  After you place your order, they will ask you for payment before you receive your food, just so you know. Makes it easy to get up and leave once you are finished."
50,"Nice Restaurant, even the menu is limited (just 4 items) which makes deciding and ordering very easy. There were Kalguksu (chopped noodle soup), Bibimguksu (spicy noodle soup), Mandu (dumplings), and Kongguksu (noodles in cold soybean soup). They are all priced at KRW 8,000 and they gave their house-made kimchi on the side. And the Kimchi is very good!  Must try their Mandu.. Mandu is steamed dumplings. It’s 10 big, plump, and juicy dumplings. These dumplings were absolutely scrumptious!"
40,"Went as solo traveler at dinner time. They welcomed solo travelers. Ordered dumpling noodle soup. Served side dishes as soon as I was seated down. Food came extremely fast, only few minutes after ordering. Soup was very flavourful, but noodle was way too soft for my liking."
50,"This place is worth queuing for. Line moves very quickly as they get you in and out fast. There are only 4 choices on the menu. We had two serves of noodle dumpling soup (Rich delicious broth, homemade noodles and nice dumplings with some mince). And one serve of steamed dumplings. Was plenty for 3 people. Kimchi is also served.  Easy to order if you don’t speak Korean. Really delicious and worth finding in Myeongdong!"
40,Decided to pay a visit upon a friend’s recommendation. There are only 4 items on the menu and we tried 2. The pork noodles soup and the dumplings. The filling in the dumplings were substantial underneath a crystal clear thin wrapping. The soup tasted like some sort of a braised sauce.
50,"We did not know this was in the Michelin guide. We ordered a steam dumplings, 2 hot noodles and 1 chilled dry noodles. I must admit - we did not like the chilled dry noodles. The rest of the dishes were awesome. Do take note that you must pay right after you placed your order with the staff."
40,"Once we got a table, ordered and paid our food, our food came really quickly. We ordered a bowl of gogi guksu & bibim guksu plus 2 baskets of mandu. I love the gogi guksu broth and the bibim guksu had a nice flavour to it. My daughter had a basket of mandu all to herself."
40,"Have my lunch here and is crowded and there is a long queue. However, the turnover is fast as the service is also fast. Menu with English is a bonus. One has to pay in advance before they serve your order. Like the cold noodles. The dumplings are just ok for me."
50,"It had been about five years since I had gone to this restaurant and it is just as good as ever. The dumplings are light and flavorful with a very thin wrapping: I managed to eat all ten of them by myself and still had room for the scrumptious Kalguksu soup with chicken broth, noodles, and pyramidal pork dumplings. The all-you-can eat kimchi is nice and spicy but not too hot. The staff are efficient: they are very busy but also kind and helpful. We had to wait in line, but the line moved quickly and we could take our time once we were seated. A treat!"
20,They demand payment in advance Very quick The servers work like a robot Not friendly They just serve without communion It is like a well-trianed emotionless robot.
40,"We like very much how the whole experience was organised. We went as a family of 6.  Upon entrance, we were told where to keep our stroller. With the number of headcounts, we were directed to 3rd floor. Upon arrival on 3rd floor, the staff showed us a table seating and provided us with a menu.  There were only 4 options, so it was quick for us to make our selection. We paid with credit card and the appetizers were served. Within 5 minutes, food was served!  We finished our food in about 30-40 minutes, witnessing how other customers were served professionally.  We walked out with a full stomach and satisfaction."
40,"I know everyone is here for the soupy korean minced meat noodle soup and dumplings but i really wanna recommend the bibim cold noodles. Its really delicious with the right amount of spice and ice. Usually the noodles tend to have a ""flour"" taste to it but this one is fragrant and springy. The soupy noodles are a tinge oily so if you like something more clear, its not the best choice."
50,"I’ve been every time I’ve been to Seoul, they only serve dumplings, it’s full of Koreans, very simple but delicious food, and easy enough to order as a foreigner as you can literally point at dumplings on menu, and they are absolutely worth having while in Seoul. 10/10."
40,Great quality korean noodles and dumplings... Friends and I enjoyed the dumplings so much! I recommend this to all tourists so that you can experience amazing local food. Affordable too! Came during lunch and it was packed!! Guess its really popular. Dont expect attentive service during rush hour.
50,"They sell dumplings and chicken noodle soup! It is really delicious and affordable. It is a must eat in Myeongdong! The shop is conveniently located in the busy streets of Myeongdong along with the various beauty brands at the 2nd level. For people who are looking for soup and dumplings, this restaurant is definitely recommended!"
30,"One of the must-try-at-all-costs restaurants on my list was Myeongdong Kyoja, a Michelin-awarded restaurant known for its dumplings and noodles so I was pretty much squealing in delight when we got a table. Like Hawker Chan and Tim Ho Wan, Myeongdong Kyoja’s popularity is owed to its affordability; so expect the rush of diners to trickle in until after its official closing time.  Serving sizes were on the bigger side; so my mom and I decided to split an order each of their Chopped Noodles (KRW9000) and Dumplings (KRW10000). Its Dumplings were made of juicy minced Korean pork and leeks laced with sesame oil which were packed in delicate translucent wrappers. Unfortunately, there was nothing spectacular about them. The dumplings elevate in flavor once dipped in their chili-soy sauce; but I’m honestly happier and more satisfied with the Mandu we get from local Korean food purveyors like Kaya. The Chopped Noodles came with a hearty chicken broth which was perfect in its chilly weather; but again, it falls flat in terms of character. It was a hearty meal; but I expected more from a Michelin-starred restaurant. Service wasn’t the best and the friendliest either."
40,"The first impression after entering into the restaurant is rather cramped, not very tidy and clean. We were sent to first floor without waiting.  There are just a few choices on the menu and seems that every table order the chef steamed pork dumplings and noodles which we did too. The food came fairly quickly, have to pay upon ordering.  The food quality is good, worth trying if you come to Myeong Dong"
40,I ate Kong-guksu. This menu only we can eat April to September. They use soymilk with white sesame paste. That was little bit sweet and creamy.
50,"They have good food and everything is efficient. You go in, eat and go out. We went there when we were tired after shopping and it was perfect! We got the table, ordered, paid, got our portiones, eat and left. The food was delicious and cheap. Perfect place for us."
40,"Myeongdong Kyo Ja touted as best and only place in Korea you can find this restaurant. Actually there are two locations within this shopping area. Packed with diners there for lunch. We ended up on 3rd floor, elevator for the weary. Very very crowded but turnover amazing as not long ( split second, nah.. close though) before food was on our table. Limited choice makes for quick service. In and out! Food was delicious! check it out , ask the red shirted information people who are at every intersection of the shopping area."
40,It’s a popular place. You have to be in line to get in. I like their noodle in hot soup. Thin skinned full filling dumplings are great. Try their noodle and dumplings together. You will like the combination.
20,I think this restaurant is overrated. Dumplings not taste delicious. Cold spicy noodle also not good. The most delicious is the complimentary bowl of soup
50,"We did not want a full meal, but just wanted a quick bite and shared an order of extraordinaryly light and flavorful dumplings. Outstanding! Procedure is you order, pay for your food, and it is delivered very quickly -- and you can always ask for additional kimchi should you need/want more spice and garlic."
50,"Serving a menu of only four dishes, the pork dumplings are world class, the handmade noodles are amazing and the Kimchi is spicy and the spicy noodles are everything in combination. What a place!!!! Must go! I’ll return!"
40,"I felt like a local at this simple restaurant which serves outstanding food in a very baisc setting. We ordered the noodles adn dumplings from the simple menu which was plenty for two. Less that 20,000 KRW (about $AUD25) whcihis padi up front. The service was impersonal but the food was delivered qudkly and efficiently, and is very good, particularly the dumplings. Great for a quick, authrentic and high quality meal."
40,"This restaurant is my wife’s favourite and must visit restaurant. It was crowded at lunch time when we arrived but not difficult to find a small table.  The menu is a simple one, and the process quick & efficient - point at your preferred dishes, order and make payment straightaway. Food arrived shortly in no time.  We’d ordered a basket of 10 pork dumplings and a bowl of sliced noodles. The dumplings was juicy and the meat tasty. The sliced noodles delicious."
50,"The menu has four dishes, and we ordered each one to try. Delicious dumplings. Excellent cold noodle soup (kkong-guk-su). Comforting hot noodle soup (kal-guk-su). Flavorful spicy cold noodle (bibim-guk-su). It’s an experience and worth the visit!"
50,These dumplings were the best I’ve had here in Seoul! And the long noodles ... my first ever Michelin Star rating restaurants and it did not disappoint! The menu is very simple and you pay before you get your food. They do not serve alcohol. It’s a keep it simple process and they move quick! Definitely recommend as we came back for round 2 the last day we departed!
50,The skin is so thin it melts in your mouth! Love the noodles too and we ordered just two bowls of noodles and a serving of dumplings to share for 2 adults and 2 children.
40,"Food was served fast. Immediate payment upon ordering food. The noodles with dumplings cost KRW 9,000. Kimchi was too spicy for my liking."
40,"There are only four dishes the restaurant serves. I tried the noodles with dumplings, which were very tasty. The soup was delicious as well."
20,Though there was many reviews about the place and the crowds it commandeered. If there was a queue or wait for table then do not waste precious time as there are many other similar ramyeon places. It is pricey 9000won per bowl and portion for guys will be a tad inadequate.
40,"Very satisfying and yummy dumplings and spicy cold noodles. We came back twice in once trip, and it hits the spot - very comforting basic food👍👍👍👍"
50,Can’t imagine the noodle taste so nice. Got “wok hey”. Fire smoke taste. Not easy to master. The dumpling is so so. Xiao long bao is nicer. The dry soba is too spicy. Taste also so so
50,"I actually never heard of this place but was very surprised by the line outside, which was mostly tourists. I immediately had two (and later was proven wrong) assumptions - This place must be 1) Very touristy and overly hyped 2) Probably overpriced I was wrong. The food is delicious - One of the best dumplings I had in Korea, and I had a few. Even though it is located in a super touristy area, the food is top notch and NOT overpriced. Go for the dumplings and the noodles, you won't regret it. (Yes, even if it's only breakfast)  TIP - Do not be intimated by the queue line if you come before 10:30 am. It's a two-story restaurant, and the service is lightning fast. When they open up, the whole crowd was comfortably seated inside in less than a minute."
40,The location is pretty easy to locate within the busy streets of Myeongdong. The noodle and the mandu undoubtedly very delicious. Must try if you are in the area!
50,"We came twice! The 2nd time, we ordered 4 portion of dumplings (each portion has 10 fat yummy dumplings) for the 4 of us and the server kept asking if we ordered correctly :)  The price was also very reasonable and they gave free soup and rice. Service was quick and attentive. Definitely recommend to come here!"
50,"To me , I personally love their chopped noodle soup! Went there for dinner 2 days straight and wish to be back on the 3rd day but we had other dining places in mind.  Service is rather not too friendly but brisk. Food is on the table 5 mins upon ordering. Noodles are served warm , might be alil slippery to eat but oh so yummy to your tummy. Had the dumplings too which was also delicious. But my favourite would really have to be that bowl of heart warming soul chopped noodle soup.The perfect combination to be eaten during winter. Am craving for it now!  **Try it yourself and tell the tale as everyone has their own taste and preference"
40,"Service was brisk. We were shown to our table upon arrival and ordered the 3 things in their menu - a pork noodle, spicy cold noodle and dumplings. They did their dumplings really well, the skin is thin and the meat is tasty inside. The cold spicy noodles was quite spicy so, I preferred the pork noodles more."
40,"I came for a late lunch around 1pm on a Sunday, there was no wait. I was guided to sit downstairs. Service is no nonsense and brisk. They run this bustling eatery like a well oiled machine. You’re expected to know what you want and pay simultaneously as soon as you sit down. I took my time, didn’t allow them to rush me; a menu was thrown down beside me when I didn’t speak up to order fast enough. I ordered the chopped noodle soup. It came out less then 5 minutes later. The soup had noodles, dumplings, minced meat and caramelized onions in it. This soup was amazing! Definitely NOT overrated and should not be missed."
40,"A small, no frill restaurant in the middle of Myeongdong shopping street. Wellknown for the cold buckwheat noodles, but the spicy noodles are for us tastier. The dumplings also very tasty. Worth a try if in the shopping area anyway."
30,"I’ve been here a few times over the years Five years ago it was great but the standard has dropped significantly Soup was lukewarm and staff were somewhat rude, particularly to foreigners. Dumplings were scrawny and dish was overpriced"
50,Very local very Korea restaurant !! Food is good service is ok good for local and for tourists too !! If you want something quick and easy this is a place!!
30,"When we arrived we were immediately told to go upstairs quite aggressively with no explanation, but it was clear we were not welcome to sit downstairs. About 30 seconds after being seated upstairs, we were suddenly told to move to another table by one staff member as a larger family had come in and needed our four-seater table - fine by us, but we were rather manhandled out of the way. Service was extremely quick which was great, but the dumplings were a big disappointment. We had gone to the restaurant based on Trip Advisor reviews, but we found them quite tasteless and bland. The hot noodles were a little better, but certainly nothing special. The price was cheap, so I can’t really complain about the quality of the food, but during our stay in Seoul we tried much better restaurants in the area for a similar price, but with much tastier food! Unfortunately we would certainly not return based both on the staff and blandness of the food."
50,"Service was fast. Had noodles and dumplings, both of which were excellent; kimchi was also excellent."
30,"We went to this restaurant for brunch, being foreigners, we were asked to occupy a table on the second floor even if many of the ground floor tables were available. We did not like this, we were discriminated. We insisted on staying at the ground floor. There are only 4 menu items. The dumplings were really good. The other dishes just okay. The restaurant is not very clean. We saw a cockroach on the restaurant floor that no one minded. I heard that this is a michelin star restaurant, i dont think they deserved that."
40,"Their serving is very fast. See the picture, order and pay. Go to your seats and the dishes are served.The noodle is springy and the soup is good in cold weather. The dumpling is delicious too. Will need to wait about 15mins during peak period."
50,This was very good food with good and quick service. Almost everyone had ordered the same thing. The noodle soup and the dumpling.
50,"Very clean and efficient place. You pay beforehand and get your order very quickly. Ordered the noodle soup. It was great and the portion was very big. Luckily the noodle soup still had some of the famous dumplings inside. Furthermore, turnover is very fast so no long wait to get a table."
50,"Except the minimal yet the best. Only 3 dishes in the entire menu; Hot Noodle Soup (great piece), Dumplings (very very good ones) and soybean noodle (cold, didn't try it) We came in the afternoon, there was not queue yes it was crowded with locals. Food was delicious and really value for money"
50,"They only sell 3 items - handmade noodle in hot soup (fantastic, my fav) , dumplings and soybean noodle (cold item, didn’t order). Long queue but turnaround fast and many locals went there. Simple, value for money but highly recommended."
40,This noodle house is one of the lamd mark restruants in myungdong for more than 30years with reasonable price . Their dumpling is also good. Sometimes very crowd
40,"Had lunch on rainy day in mid April 2019. Service was very efficient and food arrived at lightning spend.  We had standard Kalkooksu and steamed dumpling. There was nothing special about the food, mostly location and name value.  If must have lunch at Myoungdong then go ahead, otherwise head to Gwangjang markets for better and variety."
50,It's a must stop for each Seoul trip. It's comfort food for all seasons. Service is efficient and food is served as soon as you placed the order.
40,"Famous dumplings in Seoul. Dipped in white vinegar, it resembles Chinese dumplings from San don. The noodles are very smooth cut noodles, with plain pork base soup, a little thicker than normal. It includes zucchini, onions, black fungus, mince meat and chives. Again, strong resemblance of chinese hand made noodles. The difference is it is served with kimchi. At the end, you can order some rice and mix it with the soup. If you like simple foods away from the BBQ and fried stuff, here is the restaurant to balance things out. Don’t forget the extra mints at the end to get rid of the chives breath!!"
40,"This is a Michelin shop in Myeongdong shopping district selling famous dumplings very delicious beside dumplings you can order others dish, service fast and good don’t just look at the small entrance but inside is big and spacious most important is the foods. Remember again which I had mentioned eating in Korea any restaurant big or small there is no 20% service and 7% gst tax not in Singapore ok"
50,"This is comfort food on chilly days. Shared the noodle and dumplings with my dad. Portion of the noodle is on the big side. If you are small eater like us, suggest you share them between two. Service is fast and you pay after you order."
40,Dumplings don’t come much better than at this extremely popular restaurant in the heart of Seoul’s shopping area! My wife and I shared dumplings and a couple of smaller dishes. Each one packed full of flavour and just so damn good!
40,"My daughters and I were on our first visit to Korea, guided by my wife who had previously been there a couple of times. She kept on nagging us to eat at a restaurant called kyoja. We were walking around Myeong Dong and finally found it. It was like the usual crowded asian noodle fast food. When the food came, it was good. The dumplings had this distinct subtle flavor and the broth of the soup was just right for me. Although my kids loved the spicy orders, I liked it better plain. I didn’t expect that. Simple looking place...awesome good food."
40,"A large restaurant without any pretension. No fancy service, tablecloths or anything else, just great noodles and dumplings with refillable kimchi.  Very few non-Koreans when we were there so the menu is geared to local rather than tourist tastes. No hesitation in saying that we will be back in our relatively short stay in Seoul.  Less than $US 25 for three people. Plenty to eat. There are three branches of the restaurant within about 100 metres, the one we went to was the largest."
50,"Yummy noodles with soup and dumplings! When we were there, there was no queue. Definitely will go back again if we are back in Seoul again"
50,The signature dish hot noodle was very tasty but what made the food more special was the Kim chi they provided with. The cold spicy noodle was also very tasty. Place is busy and you may need to wait but no more than 5 mins since the restaurant is very big.
40,"If you like soupy noodles and meat dumplings (korea style), this is a popular place with tourists and locals. Service is efficient and food is nice. Personally, I don't fancy dumplings but most of my friends love the dumplings here."
20,"After being ushered into the restaurant, we sat at a table for 4 persons. An elderly waitress came in and asked us to sit on another table for no apparent reason. When our food arrived, she just rudely shoved the foods onto our table. While the foods were tasty but the service was deplorable. We will not go back to this restaurant."
40,do not miss it if you stayed in myeongdong. Taste is so so but good to try it out big portion so recommend one dish for two
50,This is one of those places that you just have to go and order one of each from the 5 items on the menu. Chopsticks are in the drawer. You pay right after you order. Good come out fast and hot! You will not regret. There is more than one in Myeongdong. I don’t think that it matters which.
50,Tried the dumplings only and I was blown away by the dumplings! The dumpling skin was translucent and really thin so there was a generous amount of filling. The dumpling in general was really juicy and the fresh pork and vegetables go together so well. It is great eaten during a meal and even when eaten alone as a snack! Will definitely patronise again because I really love the dumplings! A must try when visiting Korea!
50,"I have eaten here a few times over the last few years and the dumplings are consistently tasty and juicy. The hand cut noodles are really smooth and the garlic in the kimchi sets it apart from other kimchi. At KWR10,000 per serving, this place provides good value. And you can even pack the dumplings to go in sealed and air tight containers along with kimchi in separate sealed containers. These takeaways have survived a flight for me on a couple of occasions."
20,I've been to this place 4 times over 7 years and I can say that it is the most overrated food place in Seoul.  The dumplings and noodle are not al dente nor particularly flavorful.  I've had far superior versions in divey joints across Korea and China. How this place gets this rating I have no idea. I'm Korean-American and have relatives in both Korea and China and traveled extensively in both countries. This has got to be the most overrated of all noodle/dumpling joints. I'm not a fan of Din Tai Fung either. None of these places makes their noodles or dumplings chewy enough. If you're a fan of limp noodles and dumplings or use dentures then this is the place for you.
