,STAR,CONTENT,SCORE,COMPOUND,VADER
53,5.0, It is the back gate but it is about 1km to the main gate ,Positive,0.0,Neutral
54,4.0, Everything is good Drinks and food prices are too flamboyant Guess Ill have to buy it anyway ,Positive,0.0258,Neutral
55,5.0, It is located close to both Childrens Grand Park Station and Achasan Station As a representative park in Gwangjingu there are small amusement rides and a small zoo There are playgrounds for children all over the ,Positive,0.6705,Positive
56,5.0, I had a great time outdoors with my family after a long time ,Positive,0.6249,Positive
57,5.0, It was before Childrens Day so I was a little worried but it was good because there werent many people than I thought The wind is soft The kids have been running around and having fun after a ,Positive,0.8278,Positive
58,5.0, It was so much fun and it was so cool to see the fountain  ,Positive,0.7629,Positive
59,4.0, Imagination country is so good Even ten times is not worth the money It is good to have a picnic with a mat and there is no entrance fee ,Positive,0.6825,Positive
60,4.0, I went to Childrens Grand Park to see rides and take a walk looking at animals ,Positive,0.4588,Positive
61,4.0,This is a nice place to go with kids There is a lot of space to move around in part is park with lots of outdoor playing facilities and the other part is a zoo with all kinds of animals The space the animals have to move around in is ,Positive,0.5574,Positive
62,4.0, Although it is old it is a place where you can experience greenery and amusement parks in the city center ,Positive,0.3612,Positive
63,5.0, The animals were also so cute and spacious so it was nice to walk around The botanical garden was cool too Even on the weekend there werent that many people so it was better If youre hesitant to visit come ,Positive,0.8858,Positive
64,5.0, It was good because it was free admission and the simple rides were fun ,Positive,0.8591,Positive
65,5.0, Its really good  Its green and its full of old beautiful trees I like the cafe too ,Positive,0.8622,Positive
66,5.0, Nice to visit again after Corona is relieved Opening an amusement park It was good because there were a lot of rides for children and the animals in the zoo were standing instead of lying down so I came to see ,Positive,0.7506,Positive
67,5.0,A very big and nice place for the whole family Not many people speak English there but most of the signs and posters have an English translation with it,Positive,0.2574,Positive
68,4.0, Good for kids outing without spending money The rides have the basics of the Viking train Better than the quality of the arboretum zoo etc ,Positive,0.7003,Positive
69,4.0,Nice park,Positive,0.4215,Positive
70,5.0, The playground is well equipped and the water is easy to find and there are many trash cans ,Positive,0.6124,Positive
71,5.0, Zoo is good Free admission Outdoor childrens playgrounds and indoor exhibition halls were closed to prevent the spread of Corona but as of May 22 many have been opened Especially in amusement parks compared to ,Positive,0.7794,Positive
72,5.0, Childrens Day the most crowded day Amusement park tickets can be purchased in advance on Naver There are unmanned kiosks in several places Its not all counting at the ,Positive,0.4144,Positive
73,5.0, It is spacious for babies to play and there are many animals Children love the musical fountain There are many benches where you can rest and clean It is very good ,Positive,0.9099,Positive
74,5.0, It is very good for light picnic with children and animal watching ,Positive,0.4927,Positive
75,5.0, A park where you can go casually with children The zoo botanical garden and playground can be used without excessive use and it is even better because they can be used for free Amusement parks are also ,Positive,0.8555,Positive
76,5.0, very good Parking is a bit expensive but I think it would be better if you use the subway It is perfect for children in the lower grades of elementary school and younger to run around ,Positive,0.848,Positive
77,5.0, The rides were really fun The spinning swing was fun ,Positive,0.8012,Positive
78,5.0,Love the flowers,Positive,0.6369,Positive
79,5.0, The children who were excited to see animals rather than animals were cute ,Positive,0.6597,Positive
80,5.0,Good book good zoo,Positive,0.7003,Positive
81,5.0, As the child is a little older there are many rides that can be used Its close to my house so I go there every now and then ,Positive,0.0,Neutral
82,5.0, The air is fresh there are childrens rides and its a great place for a family outing with a packed lunch ,Positive,0.7506,Positive
83,5.0, A place of memories A smiling family photo from childhood for letting me be in it ,Positive,0.4588,Positive
84,1.0, The amusement park closes at 630 so it is not marked on the unmanned ticket machine ,Negative,0.3612,Positive
85,5.0,The best public park in Seoul,Positive,0.6369,Positive
86,4.0, I stopped here for a while with my son his sons friends family and my son who came here after a few years I came here with my son friend and family in the morning in Seoul Forest to ,Positive,0.6597,Positive
87,4.0, I go every Childrens Day and there are a lot of people but its a good place to go You can also have a picnic on the grass ,Positive,0.5927,Positive
88,5.0, Playground Lack of facilities Not enough places to eat Not enough places to eat ,Positive,-0.3182,Negative
89,5.0, May 5th Childrens Day A rainbow appeared in the fountain on a sunny day Its a nice day Childrens Grand Park is also loved by children ,Positive,0.91,Positive
90,5.0, I have lived nearby since kindergarten and went there often A park that has become more affectionate and better after having children and ,Positive,0.7474,Positive
91,4.0, It is the only place in downtown Seoul that has a zoo botanical garden amusement park and large open space Its not very big but its a nice place where you can enjoy everything in a cute way Music fountain is ,Positive,0.9294,Positive
92,5.0, All you have to do is spread out a mat or tent and rest The surrounding landscaping is good and the rides are available at a reasonable price Its nice to rest under the shade of a tree on a day like today ,Positive,0.802,Positive
93,5.0, Its the best its spacious and nice a place that anyone would have been to when they were young ,Positive,0.7906,Positive
94,5.0, Admission Free Is this a true story Its a really nice place to go out but dont bring your car on the weekend Parking is great ,Positive,0.8944,Positive
95,3.0, Animals are filthy Everyone is sleeping ,Negative,0.0,Neutral
96,3.0, About 10 rides The line is long so if you dont go early in the morning you can cut it off with 35 tickets Even if the queue is long it is much shorter than Everland or ,Negative,-0.2732,Negative
97,5.0, The park is very big and there is also a zoo and botanical garden but the zoo and the botanical garden are closed earlier about 5 pm In the zoo you can see elephants lions tigers monkeys various birds ,Positive,0.0,Neutral
98,5.0, Now take some entrance fees Thousands of dollars per person That way you will have some money to pay for and manage At least its used to make the animals and staff happier ,Positive,0.4588,Positive
99,4.0, A place where you can easily heal in Seoul A place where you can enjoy amusement rides a zoo and greenery Now is a good time to visit ,Positive,0.875,Positive
100,4.0, Its great for kids parking is very difficult ,Positive,0.3197,Positive
101,5.0, I really like itit seems like a blessing to live near a place like this in Seoul ,Positive,0.8905,Positive
102,5.0, It was a Saturday so there were a lot of people I enjoyed visiting the zoo ,Positive,0.5106,Positive
103,5.0, There are many lawns and fields so there are lots of places to sit and spread out the mats the music fountain was good and the children were so happy even to the zoo and amusement park ,Positive,0.879,Positive
104,5.0, When I go on a weekday its quiet and there are a lot of cuties out on a picnic The size of the zoo is just about the level of kindergarten or elementary school students ,Positive,0.4939,Positive
105,5.0, Its cool in spring Great park is awesome ,Positive,0.8885,Positive
106,5.0,The most beautiful park in Seoul specially in spring and fall,Positive,0.6361,Positive
107,5.0, The free pass 24000 won feels expensive but I really enjoyed it at the amusement park I like to run around on the lawn and watch the fountain ,Positive,0.9422,Positive
108,4.0, I have to go with people on Sundays Ive been to for the first time in a while so its crazy ,Positive,-0.3976,Negative
109,5.0, This is the first time Ive been to Seoul in 16 years You can enter the zoo for free and the amusement park has various things that are not scary If I had been closer I would have come often ,Positive,0.814,Positive
110,5.0, Good transportation and convenient Free admission A variety of amusements and zoos ,Positive,0.8271,Positive
111,5.0, I went to Childrens Grand Park to see flowers but I only came here after peoplewatching The rides are so much fun ,Positive,0.7825,Positive
112,4.0, The flowers are pretty and the facilities and animals seem to be well taken care of However it is a bit congested in the Corona situation with people gathering all ,Positive,0.8176,Positive
113,4.0, I have not changed 10 years ago after remodeling I have not changed anything until now Is it good or bad I would like the elderly people in the neighborhood  Since the childrens park is the senior park it is ,Positive,0.2263,Positive
114,5.0, The cherry blossoms are so pretty when the rain is falling There were so many people but I felt frustrated ,Positive,-0.5174,Negative
115,5.0, The fact that such a park exists in the middle of Seoul means that Korea is a rich country where people live very well ,Positive,0.7178,Positive
116,5.0, The best place to enjoy the blooming cherry blossoms on a spring day ,Positive,0.8126,Positive
117,5.0, Cherry blossoms are in full bloom It was a weekend so there were so many people that the food stalls run out at 130 in the afternoon but it is spacious and beautiful enough to spread out a mat and relax ,Positive,0.8807,Positive
118,4.0, Its a place Ive been to since I was a kid There are many things to see and admission is free so it is good to go lightly ,Positive,0.7553,Positive
119,5.0, Childrens Grand Park Neungdong Gwangjingu Seoul With a total area of 218000 pyeong it is the largest natural park for children in Asia It was established on May 5 1973 when President Park Chunghee was ,Positive,0.6705,Positive
120,5.0, There are many flowers and trees so its good to take a walk and its really nice to have a zoo ,Positive,0.7408,Positive
121,5.0,This is so amazing park There are many animals and attraction that you enjoy,Positive,0.9015,Positive
122,5.0, It is one of the best cherry blossom spots in Seoul Parking is paid and admission is free ,Positive,0.8176,Positive
123,5.0, The scenery is so beautiful if you go when the cherry blossoms are in bloom You can also use the zoo for free so its hard to describe in words how ,Positive,0.8231,Positive
124,5.0, The cherry blossoms are in full bloom and it is beautiful There were so many cars so parking was difficult Guuimun parking lot was barely parked because there were people who came out before 12 noon I bought the ,Positive,0.2815,Positive
125,5.0, This is the place to go with your family full of sights ,Positive,0.0,Neutral
126,5.0, A place with memories from my childhood to my childs childhood ,Positive,0.0,Neutral
127,5.0, I visited for the first time to celebrate the cherry blossom season The parking lot seems a bit narrow ,Positive,0.5719,Positive
128,4.0, On weekends from April to October there are many people and it is crowded and you have to wait a long time to get on the rides The parttimer at the snack corner has slow hands so ordering is slow ,Positive,0.0,Neutral
129,5.0, Come here to see cherry blossoms on April 8 2019 before the corona virus April 9 2022 after three years and one day ,Positive,0.0,Neutral
130,4.0, The park is nice but the people who use it are messy especially the toilet ,Positive,-0.3291,Negative
131,4.0, Even now in middle age it is a fun place for children Parking is a chronic problem ,Positive,0.1531,Positive
132,5.0, Its nice to be able to watch the cherry blossoms alone what Why are tears ,Positive,-0.0258,Neutral
133,5.0, Nice park for a walk or picnic It is very peaceful to see children and their parents enjoying the sun in peace ,Positive,0.9216,Positive
134,3.0, A place where you can go for a walk without an entrance fee ,Negative,0.0,Neutral
135,5.0, A walk with colleagues Admission is free trees are thick and parking is cheap ,Positive,0.5106,Positive
136,1.0, Except that it was good because of the animals it was like dog garbage because it was Gwangjingu Inseonggae fucking dong ,Negative,0.6597,Positive
137,3.0,Nice park to stroll and enjoy with the whole family  Gave it 3 stars  because the zoo is not a great space for the animals they look emmanciated and letargic Otherwise is a great place for the families to visit,Negative,-0.1501,Negative
138,5.0, The flowers havent bloomed yet but its nice to take a walk when its a good day ,Positive,0.8201,Positive
139,3.0, About 30 of the animals were blocked from seeing take it into consideration ,Negative,-0.2732,Negative
140,4.0, It was still winter due to Corona so there was an empty and lonely atmosphere The atmosphere is more like a strolling place for the elderly rather than the lively feeling of children ,Positive,0.4391,Positive
141,5.0, The zoo is now open again Admission is also free so its good to go and play at least once ,Positive,0.835,Positive
142,5.0, It is spacious there are many things to see the price is cheap the convenience facilities are good and you can spread the mat Good value for money ,Positive,0.802,Positive
143,5.0, It reminds me of my childhood memories of going to Guui Elementary School Thank you for the good time ,Positive,0.6597,Positive
144,5.0, I went to the Childrens Grand Park Botanical Garden and Zoo Its great for taking a walk or just to see the animals However if you do not ,Positive,0.7964,Positive
145,5.0, Animals are sleeping for free admission but it was nice to be able to see them Its neat and good for a walk or a short picnic ,Positive,0.9287,Positive
146,5.0, I made a reservation for Sangsangland with my children to the zoo Perfect course ,Positive,0.5719,Positive
147,5.0, There are a lot of trees so its nice for a walk Bicycles and kickboards are not allowed and dogs are not allowed for walks so I think it is good for the safety of infants ,Positive,0.8307,Positive
148,3.0, Nowits not the same as beforeFirst visit in 1985 It is good that the zoo is open as before Corona Parking fee is slowly ,Negative,0.4404,Positive
149,5.0,fantastic,Positive,0.5574,Positive
150,5.0, Childrens playground opened A good place for a spring outing ,Positive,0.4404,Positive
151,5.0, It was a long woman haha Listen to Seoul lets develop the Grand Park What is it its the same no matter how many years pass ,Positive,0.5994,Positive
152,4.0, There is a free zoo botanical garden playground etc and the facilities are clean so it is a good place to take children up to the age of 7 years old I like to go out when the weather is nice ,Positive,0.9255,Positive
153,4.0, Parking is difficult due to crowds best value for money ,Positive,0.6249,Positive
154,5.0, It is a healing space with a walk a zoo and an amusement park However when there are a lot of people parking is a little difficult Tip If you want to tip the road you can park on Sejong University ,Positive,0.1513,Positive
155,5.0, There arent many people these days so it was nice to have a short queue time Parking is also convenient However there are times when the weather is nice and time is wasted on the way ,Positive,0.4455,Positive
156,5.0, Good for a walk elephant and tiger can take a look In spring cherry blossoms are in full bloom and are beautiful ,Positive,0.7783,Positive
157,5.0,This is one of the best parks for children in the Seoul Admission is free here This place has very good accessibility The main gate is near childrens park ,Positive,0.8932,Positive
158,4.0, Good for a walk There is no entrance fee there are parks and safaris smaller rides hills and tree lawns ,Positive,0.1779,Positive
159,5.0, Admission is free and you can see animals and plants It is also close to the subway station so transportation is convenient A lot of families come here to play and even if I have children I think I will ,Positive,0.6908,Positive
160,5.0, tree bird animal ,Positive,0.0,Neutral
161,5.0, Babies love to see free elephants The parking fee is 1800 won per hour So cheap and time consuming ,Positive,0.9042,Positive
162,4.0, Today is a public holiday so there are a lot of people I always have fun with my kids Its nice to have an amusement park and also see animals Its a pity that I havent seen a lot these days because of Corona ,Positive,0.8442,Positive
163,5.0,Nice play to take kids too,Positive,0.6369,Positive
164,5.0, There are many things to see such as fountains botanical gardens large animals and amusement rides and above all it is free to visit and it is close to the station so it is very good to go with children ,Positive,0.8399,Positive
165,4.0, It was good that the children used it without waiting time ,Positive,0.4404,Positive
166,4.0, After dinner it is good to take a leisurely walk Across the street from the back gate is the famous Sintobulgi Tteokbokki ,Positive,0.4404,Positive
167,5.0, It is a very suitable place for walking and sports and the environment is clean and well maintained There are so many amusement facilities suitable for children and the children love it ,Positive,0.8952,Positive
168,4.0, It is a childrens grand park but there are no children only the elderly Because it was winter most of the animals werent there and there were only two ,Positive,-0.2023,Negative
169,4.0, Corona prevention bird flu subzero weather Is it a childrens grand park with three beats Its like a senior park without children or animals but it was nice to see the botanical garden ,Positive,0.6858,Positive
170,1.0, Do they only like animals Ive seen smiley cats in small cages marmots roaming around in their feces elephants in an enclosure thats too small and a wallibi in an area thats too ,Negative,0.6369,Positive
171,5.0, Son 4 years old embarrass his father because he kept saying he tried hippos after going to the zoo Note no hippopotamus ,Positive,-0.5267,Negative
172,4.0,It was much better than I thought cuz it was free,Positive,0.7351,Positive
173,4.0, Excellent value for money but it is very crowded on weekends so parking is difficult Recommend to visit on weekdays ,Positive,0.3928,Positive
174,5.0, It was nice to go sledding see animals and go to the botanical garden ,Positive,0.4215,Positive
175,5.0, There are animal viewing and Gatbi rides so its fun to take a walk with children ,Positive,0.5542,Positive
176,5.0, I run every night for exercise I hope other residents dont get scared or report it I just turn on music and walk along the road I dont walk in step with anyone ,Positive,0.6492,Positive
177,3.0, I went to do chores nearby and I had free time so I went for a walkI visited Childrens Grand Park Zoo It was free admission so there were a lot of local seniors taking a walk Due ,Negative,0.8625,Positive
178,4.0, I went in the second week of January Its a cold day so I didnt see monkeys or desert animals at the zoo and there were all animals in the wild beasts I came here to heal in the city center ,Positive,0.0,Neutral
179,5.0, My son loves it and best of all its free Best to avoid crowded times ,Positive,0.9349,Positive
180,3.0, After 30 years with my family I went for a walk from home for exercise As soon as I entered the entrance an elephant was eating the dry hay that was fed The elephants body was in a mess You look old The whole ,Negative,-0.3612,Negative
181,5.0, The animals are well taken care of and there are so many things to see ,Positive,0.6486,Positive
182,5.0, like The botanical garden is warm and nice ,Positive,0.7351,Positive
183,4.0, Maybe its because its winter so its less wellmaintained than Gwacheon Seoul Grand Park but the children liked it a lot because it was possible to see the animals up close  ,Positive,0.6908,Positive
184,2.0, I feel sorry for the monkey tiger and elephant trapped in the zoo ,Negative,-0.5719,Negative
185,2.0, Just a deserted playground The only animals are meerkat wallaroos and they are all old people walking ,Negative,0.0,Neutral
186,5.0, Beautiful place to walk Free admission zoo and herbarium ,Positive,0.802,Positive
187,5.0, It was a nice day so I took a walk but it was quiet It was nice to see the zoo for free and to sit on a bench and relax ,Positive,0.9313,Positive
188,4.0, A place with fresh air and things to see and do in the city center ,Positive,0.3182,Positive
189,5.0, Even in winter there are many animals in the zoo When I visited there were all but hyenas in the wild beast corner There are other botanical gardens as well as sightseeing and walking so its surprising that all ,Positive,0.6925,Positive
190,1.0, I am very afraid of rides It looks like its going to fall apart The zoo is okay too ,Negative,0.5267,Positive
191,5.0, The botanical garden was more fun than I thought Its a cold day so I can only see the botanical garden ,Positive,0.5563,Positive
192,5.0, There are entertainment facilities and a zoo The place is very big and it is worth a visit ,Positive,0.5719,Positive
193,4.0, The free zoo is good and the playground facilities are good ,Positive,0.8442,Positive
194,5.0,nice place for spending time with family,Positive,0.4215,Positive
195,5.0, I only went to the zoo Due to Corona the indoor exhibition is closed Most of the animals are nocturnal so if you go early during the day most of them sleep When I went back around 2pm everyone was awake I ,Positive,0.0,Neutral
196,4.0, The zoo was good because admission was free and children cant get out of it when they go to Sangsang Land I think the imagination will be more fun if children can understand the text You must be at least 6 years ,Positive,0.8687,Positive
197,5.0, Its good because you dont have to wait long in line and its pretty fun ,Positive,0.8555,Positive
198,5.0,Five Stars for making me young again A childrens amusement park close to Achansan station Adult tickets available for anyone who wants to take 13 rides only Took the roller coaster bumper car and Vikings ship Happiest adult in the park ,Positive,0.7717,Positive
199,4.0, Its size is not comparable to Seoul Grand Park but it was nice to see animals such as kokiri tigers and lions much closer ,Positive,0.6908,Positive
200,5.0, Even though it is Kosiguk there are animals in the zoo The playground is also open ,Positive,0.0,Neutral
201,5.0, The roller coaster is fun I feel like Im back in my childhood  ,Positive,0.7003,Positive
202,5.0, Its a nice place for a walk There were only a few animals in the zoo and it was sad that most of them were old animals with no energy There are many more animals such as 1 lion 1 horai 1 leopard 2 elephants 2 ,Positive,-0.1027,Negative
203,5.0, Childrens Grand Park which Ive been to since I was a kid I still love it and I like it  ,Positive,0.8658,Positive
204,5.0, Childrens Grand Park a great place to go with family children and lovers ,Positive,0.8885,Positive
205,5.0, Its small but there are rides and a zoo so its good to take children Its also good for a walk ,Positive,0.8603,Positive
206,4.0, Sangsang Land has improved a lot after the remodeling The 2nd floor has changed a lot Its a pity that the 3rd floor water play is only open on weekdays We also visited the zoo and had a great time ,Positive,0.8126,Positive
207,3.0, Its been a while since Ive been here so its nice and comfortable but the zoo seems to need repairs overallit feels too old Or I wish there were a little more variety of things to enjoy such as an ,Negative,0.9009,Positive
208,5.0, There is no entrance fee but the walk is good and the zoo is good ,Positive,0.7964,Positive
209,5.0, Admission is free I also like the zoo and botanical gardens Grand Park Station is the main gate Achasan Station is the back gate ,Positive,0.8316,Positive
210,5.0, I went with my grandson for the first time but the scenery of the trees in the park is luxurious When my children were young I went with my grandfather and grandmother but now I am going I have a disability so ,Positive,0.0,Neutral
211,5.0, The childrens park is a very memorable place Hehe I came with my 2nd grade daughter and there are many other parks that are not for children but there are many places that are a bit embarrassing but there is no ,Positive,-0.7351,Negative
212,4.0, Its a nearby park so its recommended as a walking trail these days  ,Positive,0.2682,Positive
213,5.0, There is also a zoo and its a childrens grand park so I looked around a bit but you shouldnt do that lol ,Positive,-0.2495,Negative
214,5.0, You can fully enjoy the scent of autumn and the beautiful watercolor paintings of deciduous trees Please visit us before winter comes ,Positive,0.8655,Positive
215,5.0, A lunglike place in the city where the seasons are always abundant ,Positive,0.0,Neutral
216,5.0, Parking is expensive but its quiet so its good to take a walk ,Positive,0.6448,Positive
217,5.0, I couldnt visit because of Kosiguk but Im so glad that the restrictions are lifted I was full after eating lunch so I went to see hyenas ,Positive,0.743,Positive
218,5.0, Its open for free so its great to take a walk and see animals ,Positive,0.8261,Positive
219,4.0,Nice place for kids can be a good place for half day outing,Positive,0.6908,Positive
220,4.0, It is also a good course to take a walk when you are bored ,Positive,0.2023,Positive
221,5.0, I mean the truth Long live President Park made for children ,Positive,0.3182,Positive
222,5.0, Achasan Exit 4 Its always good to go Zoos and amusement parks are all worth visiting The autumn scenery is especially beautiful ,Positive,0.8883,Positive
223,5.0, There are also various rides perfect arcade and even a haunted house ,Positive,0.1531,Positive
224,5.0, There is a park and a zoo and it is very nice Parking fee is also cheap But its a parking war Wait 1 hour ,Positive,-0.649,Negative
225,5.0,Big park where you can have a picnic with your family,Positive,0.0,Neutral
226,5.0,A really beautiful place to visit and to take a long walk enjoying nature and landscape,Positive,0.8221,Positive
227,5.0, Memories for adults Best value for money amusement park for children ,Positive,0.8442,Positive
228,5.0, I recommend that you park your car at Sejong University for a fee and enter early to have fun ,Positive,0.7003,Positive
229,4.0, It was good that park admission was free but the amusement park and facilities were outdated Still I enjoyed the last autumn leaves very well ,Positive,0.9311,Positive
230,3.0, Childrens Grand Park I visited in a long time The autumn leaves were pretty and I had a good time watching the animals ,Negative,0.8442,Positive
231,5.0,First time visiting love the open space and landscape Small zoo for everyone to visit and playground for young one Today was specially nice due to the perfect autumn weather ,Positive,0.8934,Positive
232,5.0,A suitable place for the weekend,Positive,0.0,Neutral
233,5.0, Taking the children for a walk and watching the animals A large space and a lawn where you can spread out a mat eat snacks and run in the shade of a tree are perfect ,Positive,0.5719,Positive
234,4.0, The autumn leaves are beautiful admission is free and parking is good as long as you enter the area well ,Positive,0.9042,Positive
235,5.0, Its good that its open for free It is also nice to walk in the autumn colors If you have small children you can also see the animals and go for a walk ,Positive,0.8402,Positive
236,5.0, Its great to have such a complex amusement park in downtown Seoul We also do animal watching and Cheongsolmo comes to visit us when we take a break It is a park that I want to visit again and again even if I go ,Positive,0.7845,Positive
237,5.0, I love that I can see animals up close with my 8yearold child a place I often visit every year ,Positive,0.6369,Positive
238,5.0,Suited place to feel the change of seasons,Positive,0.0,Neutral
239,5.0, When I was young I remember riding the Blue Dragon train with my father 30 years ago now with my sonThe rides are up to date ,Positive,0.0,Neutral
240,5.0, I go there often with my children There are many amenities and the bathroom is clean and nice Weekdays are better than weekends ,Positive,0.8126,Positive
241,5.0, I like to go for a walk on the weekend The foliage is nice ,Positive,0.6486,Positive
242,4.0,A recreational place for kids to enjoy along with some rides but a little expensive to buy a ticket for all rides ,Positive,0.2732,Positive
243,5.0,One of my favorite parks here,Positive,0.4588,Positive
244,5.0, Zoo  Amusement Park  Central Seoul Its a place that cant be bad ,Positive,0.6542,Positive
245,5.0, It is surprising and grateful that there is a space like this in the city center Thanks to you I have been enjoying the deepening autumn season ,Positive,0.9169,Positive
