,NAME,STAR,CONTENT,DATE
150, KoReAn ,5,,4 weeks ago
151,Ri Gu,2,Translated by Google unsuitable for modern times  Original  KoReAn   KoReAn ,4 weeks ago
152,In-hyun Hwang,5,Translated by Google There are so many places to see and live  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,4 weeks ago
153,Khen Declaro,5,Fresh seafood heresuper love it,a month ago
154, KoReAn ,5,Translated by Google firm  Original  KoReAn ,a month ago
155, KoReAn ,5,Translated by Google Although the childrens clothing market is inexpensive It was luxurious and I shopped comfortably ,a month ago
156,Yeol Cha,5,Translated by Google The best heh  Original  KoReAn ,a month ago
157,Ovidiu Savu,3,Overrated,a month ago
158, KoReAn ,4,,a month ago
159, KoReAn   KoReAn - KoReAn J KoReAn ,4,Translated by Google There is nothing  Original  KoReAn   KoReAn ,a month ago
160,Yun_ee G,5,Translated by Google The Namdaemun Hotteok which I stopped by while I was on my way to shooting live ammunition is delicious I will never go to the alley where those restaurants are gathered ,a month ago
161, KoReAn ,5,,a month ago
162, KoReAn ,2,Translated by Google Its all ruined  Original  KoReAn   KoReAn   KoReAn ,a month ago
163, KoReAn ,3,Translated by Google empty void Rental inquiries only  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
164, KoReAn ,4,,a month ago
165, KoReAn ,5,Translated by Google I usually go to a restaurant Chicken Gomtang and Grilled Fish Kalchi Stew Its an old foodie but its worth the price ,a month ago
166, KoReAn ,5,,a month ago
167, KoReAn ,2,,a month ago
168, KoReAn ,4,,a month ago
169, KoReAn ,5,Translated by Google Anything tastes good  Original  KoReAn   KoReAn ,a month ago
170,MTB JDS,5,Translated by Google After all a place full of vitality  Original  KoReAn   KoReAn   KoReAn ,a month ago
171, KoReAn ,4,Translated by Google Its differentbutits not like the old market  Original  KoReAn   KoReAn   KoReAn ,a month ago
172, KoReAn ,5,Translated by Google A lively place  Original  KoReAn   KoReAn ,a month ago
173, KoReAn ,4,,a month ago
174,Divine DL Living,5,,a month ago
175, KoReAn ,5,Translated by Google world life  Original  KoReAn ,a month ago
176,Ed On,5,Great market with variety of things to buy see and do  Lots of indoor and outdoor vendors  great for snacking,a month ago
177, KoReAn ,2,Translated by Google Its not a market down market not lively It is without Mac ,a month ago
178, KoReAn ,5,Translated by Google Lots of food and lots of people I went to buy liquor but there is no corner so I have to go around several places but the price seems to be cheap ,a month ago
179, KoReAn ,5,,a month ago
180,san tks,5,Translated by Google The bibim noodles in the market are delicious I have a lot of clothes to look at There is also Namsan Park ,a month ago
181,- Toolip,5,Translated by Google Everything but none  Original  KoReAn   KoReAn   KoReAn ,a month ago
182, KoReAn ,4,,a month ago
183,N KoReAn ,4,Translated by Google Its nice but the building is too old  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
184, KoReAn ,4,Translated by Google Its always fun to look around and its a happy place to eat cheaply Its Namdaemun Market Where moms swimsuit 4XL is always there ,a month ago
185,Jae Yong Ahn,5,,a month ago
186,Jung Lee,5,Translated by Google Its always a fun place  Original  KoReAn   KoReAn   KoReAn ,a month ago
187,weeraya pomatcha,4,,a month ago
188,Adora Jallorina,5,,a month ago
189, KoReAn ,5,Translated by Google Its a shopping and gastronomic paradise  Original  KoReAn   KoReAn   KoReAn ,a month ago
190, KoReAn ,4,Translated by Google It was good because the bitter taste was not stimulating It would have been better if the biscuits were a little thicker ,a month ago
191, KoReAn ,4,Translated by Google There are no vendors on the road so  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
192, KoReAn ,3,Translated by Google like  Original  KoReAn ,a month ago
193,Jenny Jeon,5,Translated by Google I was moved to see the people doing business in the market so kind and hard at work Fighting ,a month ago
194,amalia nurlatifah,5,,a month ago
195, KoReAn ,4,Translated by Google If you go on a Monday and cant park at Shinsegae we recommend the Zhichajang run by the church on the side of the Tmark Hotel Discounted allday 10000 won Make sure to eat plump kimbap on the way ,a month ago
196,Wataru Sekiguchi,3,,a month ago
197,Rosemeire Gonalves,5,Muito bom,a month ago
198, KoReAn ,5,,a month ago
199, KoReAn ,5,,a month ago
200,Marcela Botan Salles,4,,a month ago
201, KoReAn ,5,,a month ago
202,Paul We,4,,a month ago
203,Yanjun Wang,3,Translated by Google Namdaemun Market is a large free market close to the Myeongdong business district where a large number of small traders of clothing shoes and hats and handicrafts gather There are also some photographic equipment ,a month ago
204, KoReAn ,4,Translated by Google The allpurpose market always seems to be crowded and disappearing A market that always wants to exist forever ,a month ago
205,Shinji Ikari,4,had some really good jokbal at a reasonable price,a month ago
206,,5,,a month ago
207,Hs M,4,,a month ago
208,Jeffry Luwena,5,,a month ago
209,Fayzullo Yldoshev,5,Translated by Google I was very impressed  Original ,a month ago
210,Michael Fly,5,Huge markets Plenty for everyone and easily accessible,a month ago
211, KoReAn ,5,,a month ago
212,Artur Trzesiok,5,,a month ago
213,Kelly Kim (Samsik-mom),5,,a month ago
214, KoReAn ,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn  d KoReAn 1 KoReAn 36 KoReAn   KoReAn ,a month ago
215,Karen Spckl,5,Come in the morning hours before 1130am then its not so crowded,a month ago
216,Ella,4,,a month ago
217,Yvonne Stehle,5,Open and closed market area where you can get a variety of things from clothes to flowers and household goods to jewellery and stationary etc,a month ago
218, KoReAn ,5,Translated by Google Its good to find life again  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
219, KoReAn ,5,,a month ago
220,won joon kang,5,,a month ago
221,Aulia Suci Pertiwi,5,Good place for buy souvenir with reasonable cost,a month ago
222,Chungseop Shim,1,Translated by Google People who come are ripped off You have to bargain  Original  KoReAn   KoReAn ,a month ago
223, KoReAn ,4,Translated by Google Im going to buy something momentary ,a month ago
224,Cora Cardot,5,Jai ador me promener et faire mes emplettes dans les rues trs frquentes de ce march traditionnel coren,a month ago
225, KoReAn TV,5,Translated by Google A lot of places to see  Original  KoReAn   KoReAn   KoReAn ,a month ago
226,1 KoReAn ,5,Translated by Google Fun  Original  KoReAn ,a month ago
227,Yongseon kwon,3,,a month ago
228, KoReAn ,5,,a month ago
229, KoReAn  ( KoReAn ),3,,a month ago
230, KoReAn ,5,Translated by Google Theres a lot to eat  Original  KoReAn   KoReAn ,a month ago
231,NAMHEE KANG,5,,a month ago
232, KoReAn ,4,Translated by Google Nothing missing Korean  Chinese sensibility  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
233, KoReAn ,3,,a month ago
234,Santosh Uikey,5,,a month ago
235,Lisa Clywerskld,4,,a month ago
236, KoReAn ,1,Translated by Google Namdaemun Market closed so quickly that I couldnt even look around properly I bought a bag but I think its not good ,a month ago
237, KoReAn ,5,,a month ago
238,K Shin,4, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
239,Ritzwa Rosli Mohd Rosli,5,,a month ago
240,Benjamin B.,3,,a month ago
241, KoReAn moon,5,,a month ago
242,Kinzie Hales,5,This place has pretty much everything that you need,a month ago
243,Brad Balsters,5,,a month ago
244,sarabande Park,5,,a month ago
245,hd b,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn  2 KoReAn   KoReAn   KoReAn ,a month ago
246,Kims Family,3,Dirty smell if you are a foreigner ypu get ripped off,a month ago
247, KoReAn ,5,Translated by Google like  Original  KoReAn ,a month ago
248,michael horn,4,If you want to buy hats or socks then the world is your oyster But by gate 2 is a stall selling something that the whole of Seoul queues up to buy which maybe bean paste pasties Anyway I am back in UK so tomoz is greggs,a month ago
249, KoReAn ,3, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
250, KoReAn ,5,,a month ago
251, KoReAn ,4, KoReAn   KoReAn    KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
252, KoReAn ,5,,a month ago
253, KoReAn ,5, KoReAn    KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn    KoReAn   KoReAn   KoReAn   KoReAn  ,a month ago
254, KoReAn ,2,,a month ago
255,Simon Kim,4,,a month ago
256, KoReAn ,3,Translated by Google I always feel the will to live  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
257, KoReAn ,3,Translated by Google Good as a comfort food  Original  KoReAn   KoReAn   KoReAn ,a month ago
258, KoReAn ,5, KoReAn ,a month ago
259, KoReAn ,4,,a month ago
260,Armenui Carstensen,5,,a month ago
261, KoReAn ,5,,a month ago
262,Richie Kim,5,Great place to shop for literally anything you need Feel free to bargain; you got nothing to lose,a month ago
263,Hanadi AL-Fadheili,5,Translated by Google Fun place  Original  ,a month ago
264,david chang,5,Translated by Google Cheaper than a dutyfree shop at a liquor store  Original  KoReAn    KoReAn   KoReAn   KoReAn ,a month ago
265,Stephan Herard,5,Huge market and the best in Seoul The best mandu and red bean buns you can find as well,a month ago
266,Carlos Vitor,5,timo lugar para pechinchar como parte da cultura asitica No mnimo divertido,a month ago
267, KoReAn ,5,,a month ago
268, KoReAn ,2,Translated by Google Namdaemun snack food unfriendly and tasteless  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
269,CHOI GYOO DONG,3,,a month ago
270,Laiq Khan,4,Very knowledgeable,a month ago
271, KoReAn ,5,,a month ago
272, KoReAn ,4,,a month ago
273, KoReAn ,5, KoReAn  5 KoReAn   KoReAn   KoReAn  20 KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn  90050 KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
274,K Lee,4,,a month ago
275,Young Seok LEE,5,,a month ago
276,wookyum kim,4, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
277,Offeibea Offei,3,Good place for shopping,a month ago
278,Hyochan Lee,5, KoReAn   KoReAn ,a month ago
279, KoReAn ,5, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
280,Carmen Nade,5,,a month ago
281,songyi art,5,,a month ago
282, KoReAn ,4,,a month ago
283, KoReAn ,4,,a month ago
284,KI DUCK Kim,4,Translated by Google good  Original  KoReAn ,a month ago
285,Daesup Kwak,5,,a month ago
286,Taejin Kim,5,Must see,a month ago
287,Sebastian Baumgarten,5,,a month ago
288,.,3,,a month ago
289, KoReAn ,5,,a month ago
290, KoReAn ,4,Translated by Google Peoplewatching Goodswatching A place with delicious food ,a month ago
291, KoReAn ,4,,a month ago
292, KoReAn ,5,Translated by Google A place to go for summer clothes and oil products  Original  KoReAn ,a month ago
293, KoReAn ,4,,a month ago
294,Andrea S.,5,Translated by Google Namdaemun Market is a place I go to sometimes because I feel alive Eat hotteok and buy folk products ,a month ago
295, KoReAn  ( KoReAn ),4,Translated by Google Grilled cuttlefish and braised cutlassfish Delicious I also like shopping ,a month ago
296, KoReAn ,4,,a month ago
297, KoReAn  ( KoReAn ),5,Translated by Google There are many cheap and delicious things  Original  KoReAn   KoReAn   KoReAn   KoReAn ,a month ago
298, KoReAn ,3,,a month ago
299,yeonju Kim,5,,a month ago
300, KoReAn ,5, KoReAn ,a month ago
301, KoReAn ,5,Translated by Google Cheap and good quality  Original  KoReAn   KoReAn ,a month ago
302, KoReAn ,5,,a month ago
303, KoReAn  (jini),3,,a month ago
304,dongjung kang,4,,2 months ago
305, KoReAn ,4,Translated by Google Ive been to this place for 60 years but its still lively and has a lot of good value for money especially for foreigners visiting Korea I hope you continue to develop ,2 months ago
306,john nam,5,,2 months ago
307, KoReAn ,5,Translated by Google It is the most convenient onestop traditional market in Korea because oneshopping is possible and various products are available ,2 months ago
308, KoReAn ,4,,2 months ago
309, KoReAn ,4,Translated by Google Namdaemun Market who is looking for a little bit of what it used to be is really a place to see eat and buy a lot I want to go back ,2 months ago
310,Noor,5,,2 months ago
311,anne KoReAn ,5,Translated by Google Namdaemun Market is the best   Original  KoReAn   KoReAn   KoReAn ,2 months ago
312, KoReAn ,4,Translated by Google It felt good to be alive again  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
313, KoReAn ,4,Translated by Google When I went there were many resting places so it was quiet Galchijorim alley was delicious ,2 months ago
314,Taeyoung Jeon,4,Translated by Google Most stores are closed on Sundays  Original  KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
315,jiyeon yu,5,,2 months ago
316,Abdullah Al-Ghamdi,5,,2 months ago
317, KoReAn ,5,Translated by Google Wow the person who said that Kosi Guk was lifted hahaha ,2 months ago
318, ,3,       ,2 months ago
319, KoReAn ,4,Translated by Google Namdaemun Market is a fun place to watch the snow The food sold at the street stalls tastes better ,2 months ago
320, KoReAn ,4,Translated by Google Everything but nothing lol  ,2 months ago
321, KoReAn ,5, KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
322, KoReAn ,4,Translated by Google It is a large traditional market There are various things to see eat and eat ,2 months ago
323,Jeanlouis Roux,3,,2 months ago
324,rich guy,4,Translated by Google If you eat sticky rice you get kalguksu and binnaeng  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
325, KoReAn ,5,,2 months ago
326, KoReAn ,4, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
327, KoReAn ,4, KoReAn   KoReAn ,2 months ago
328,Otto WHO?,5,The market of big Interest to the locals why   everything one wants or needs is there We visited several markets in Seoul Busan and also on Jeju Island when it comes to good value for money the Namdaemun Markets are hands down the ,2 months ago
329, KoReAn ,3,,2 months ago
330, KoReAn ,4,Translated by Google You can get it by looking around  Original  KoReAn   KoReAn ,2 months ago
331, KoReAn ,3,,2 months ago
332, KoReAn ,5,Translated by Google Namdaemun Market Vegetable Hotteok  Original  KoReAn   KoReAn   KoReAn ,2 months ago
333, KoReAn ,2, KoReAn   KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
334, KoReAn ,5,,2 months ago
335, KoReAn   KoReAn ,5,good,2 months ago
336,inseob baik,5,,2 months ago
337, KoReAn ,5,Translated by Google Galchi Alley steamed bun dumplings Plus pajamas  Original  KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
338,TED NAM,5,Translated by Google There are famous markets that each region represents and Namdaemun Market is one of them There are many markets in Seoul such as Tongin Market Gwangjang Market and Dongdaemun Market but Namdaemun Market is also ,2 months ago
339,Reptile Holic,3,So so,2 months ago
340, KoReAn ,5,,2 months ago
341, KoReAn ,5,Translated by Google I went to eat boiled calchi delicious  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
342, KoReAn ,5,Translated by Google Dad and Jeong Sang are going to Namdaemun Market  Original  KoReAn   KoReAn   KoReAn   KoReAn   KoReAn ,2 months ago
343, KoReAn   KoReAn  (Mirinae Man),5,,2 months ago
344, KoReAn ,3,,2 months ago
345,Hakan zdemir,4,Translated by Google You can find almost all kinds of materials here It is a very convenient place for shopping ,2 months ago
346,lily . Hyun,5,,2 months ago
347, KoReAn ,5, KoReAn    KoReAn   KoReAn    KoReAn    KoReAn    KoReAn ,2 months ago
348,Jerry Song,5,,2 months ago
349, KoReAn ,5,Translated by Google I went because it was a very crowded restaurant taste soso Its like eating in a crowded atmosphere ,2 months ago
350, KoReAn ,5,Translated by Google Various kinds of eating wearing traditional markets in Korea There are many traditional markets to see and enjoy ,2 months ago
351, KoReAn ,4,Translated by Google The beach is fresh  Original  KoReAn ,2 months ago
352,The Fish,5,A great market with plenty of stores to get whatever you need You can literally spend hours here,2 months ago
353,Fardmh Kurt,3,,2 months ago
354, KoReAn ,5,Translated by Google The bosses are so unfriendly Im afraid to talk to them ,2 months ago
355, KoReAn ,5,Translated by Google The Saebye Flower Market is so pretty Its the happiness of buying 10000 won at a cheap price ,2 months ago
356, KoReAn ,4,,2 months ago
357, KoReAn ,5,,2 months ago
358,sally h,5,,2 months ago
359, KoReAn ,4,Translated by Google I went to eat cuttlefish Take the train and get off at City Hall Station and walk about 500m Braised cutlassfish taste greatSpicy ,2 months ago
