,index,Unnamed: 0,남산부정단어리뷰,index,단어
13,13,398,"Perched on a hill accessible only by a town bus or the cable car, this provides a great view of the city of Seoul!  We went by cable car - and it was easy and fuss free. Climbing up the stairs you’d be greeted by a stall selling snacks. Try out the soup fish cakes... divine especially in cold weather. A little further up you will see the locks and love messages... there the Hawkeyed would Spy “abandoned” phone cases but these have handwritten (presumably love) notes scrawled in permanent ink... we didn’t get a chance to do this ☺️. Perhaps next round!  We purposely chose to go up later in the day just to see Seoul’s night light. If you are the sort who’d like to spot landmarks, please go before sundown.  Layout is very much like the observatory tower in Shanghai though! A good experience all in all!",13,much
14,14,402,"visited this place before but didn’t appreciated it much because too many people and long lines.. but this visit is so magical, 10am just about it opens, you can appreciate the place and better view, weather also cooperated, bright and clear sky even at a very cold temperature of -4C",14,much
15,15,411,"We stopped here as part of a tour, so we had our own usher who guided us to the elevators. The grounds are pleasant and parts of the old city wall can be seen in various places. The light show at the elevator was a bit much. The top floor with all the windows was filled with souvenir shops. Great views of the city, however",15,much
16,16,446,"Every travel guide to Seoul recommends you to visit the N Seoul Tower, but after queuing up in the long lines to take the cable car up, you are faced with another long queue and expensive tickets to head up to the observatory. Way too crowded and too much lights from the sign to get a nice night view of the city. You can give it a miss if you have other things to do on your itinerary.",16,much
17,17,454,"Too many lines. No sign posts. View of city was not clear since the glass was reflective. The view from nearby Signeol Seoul was much much better. If in Seoul, one could consider going to tick off the list but this one's quite average.",17,much
18,18,464,"One of the best viewing platforms in Seoul. Only costs around £4 compared to £16 at Seoul's Sky. Although the observation deck is lower the view is much more beautiful than Seoul sky and you can see all the sky scrappers which are especially nice during dusk and at night when everything lights up and there is an outdoor observatory too. Forget Seoul Sky, do this instead.  Recommended",18,much
19,19,465,"Well, you gotta do it when in Seoul, right? Trouble is, everyone else had the same idea, so it was 'rammed' at the top.  Terrific view, though, as you'd expect, although the glare from the gift shops reflects a bit too much on the windows at night-time, spoiling photos a little.  I'm glad we went; but it was just ok, and didn't 'wow'-me.",19,much
20,20,468,"We made the mistake of trusting Google Maps to get up to the tower. It took us to no man's land and our curvaceous Tongan bodies had to hike up the mountain certain someone would have a heart attack on the way. Though it seemed like a bad idea, once we finally got up the mountain we felt like Rocky Balboa or that we had conquered the world and we got much needed exercise.  The view on the Sky Tower was as expected however the highlight were the toilets with a view. Wish I had needed to go at the time because that would've been a memorable 1.",20,much
21,21,470,"We were there on a Korean holiday so it was very crowded. So much so, the line was too long to up up into the tower. We went by cart as far as we could and walked around Namsan Park. Even from there buildings below looked liked a ""Legoland"". Great perspective of the highly populated, dense city.",21,much
22,22,471,"There are 2 ways to visit N seoul tower, by cable car or to hike up. My siblings and i decided to hike up as the cable car waiting time was 1 hour. It was a long hike with stairs and its tiring. So I recommend to take the cable car if you are with kids or if you dont plan to exercise 😂😂 N seoul tower itself was nice, the view was great !! 😍 its mostly just enjoying the view and also chilling around that area ! So if you love looking at the views and take photographs then this is for you otherwise there’s nothing much to do.",22,much
23,23,484,"We went up by cable car and when we arrived we found the whole area looked very dated. Admittedly, there are very good views from the top of the tower but we thought there are much better places to visit than here, unless you've got plenty of time in Seoul. By all means, go and have a look but ensure the sky's clear because you'd only go up there for the views, the tower itself and immediate surrounding areas are a little underwhelming, and that includes the Hello Kitty Island experience which I can only recommend if you are a die-hard Hello Kitty fan. Even for the likes of us, who find Hello Kitty quite cute, it was not worth our time.",23,much
24,24,488,"So we recently visited the tower and I thought I might write down how we went about it and some suggestions. --------------------------------- When to go:  So we visited in early August and found that the best time to to go was the evening (of course this will depend on weather and month etc) . I would suggest you arrive at the tower by 7.00pm and be on the viewing platform by 7.30pm, as by 8.00pm it will be dark. This will allow you to view Seoul during the golden hour, sunset and night (when the whole city lights up). This will probably be one of the more busier times though, so beware. If you want a less busy experience maybe go early morning or around lunch and be don't visit on a weekend but a weekday. ---------------------------- How to get there:  We were staying in myengdong area which conveniently had a bus that takes about 15 mins to go directly to the entrance of Seoul tower. It comes every 15 mins and costs around 1,200 won without a tcard and 1,100 with. For those staying in myengdong the bus stop is to the right of myengdong Station entrance 2. The bus you will need to catch is the no. 5. Those staying in chongmyeong can catch either the no. 2 or 5. There are other methods of getting there. You could taxi or get the train to the bottom of the park and get the cable car up.  I would suggest that if you want to walk the hill/ Park area to get to the tower, that you should walk down instead of up. It is a step climb up, with quite alot of stairs and steep slopes. It would take you a good 30 mins plus to get to the top and you will be tired. ----------------------- Seoul tower Park:  So beneath Seoul tower is a sort of park area with a few viewing platforms, one of which is covered in love locks. I would recommend getting some of your photos group photos here. Its a little less busy and the view is almost as good. Beneath the tower there are many places to eat and shops. --------------------------- Seoul tower  The tickets can be bought online and at the tower. We bought at the tower and don't encounyer much of a queue. Tickets cost 10,000 won per adult and 8000 won for children and seniors. They are open tickets which mean there are no time slots allocated. You can enter the tower when you please and stay as long as you like.  There is one main viewing platform and it will be busy but the views are stunning. If you find yourself needing to get away from the hubub I would suggest you go down to the next level (sub viewing platform) and go to the toilet. Each has its own private view and the facilities are very nice.  I saw quite places to eat on each level with lots of different choices e.g Italian, Korean,  Chinese etc. I don't, however, know how much it costs. ------------------- Getting down:  When finished there are multiple ways to get down. The bus which you took to go up, the cable car and the walk. The cable car costs 7000 per adult and takes about 10-15 mins to get down to the bottom where it will drop you off near myengodon, where you can get to myengdong Station or just walk home.  However, if you are feeling up to it I would suggest walking down.  The path is well light, nicely paved with great views all the way down. It has a great view of the tower and its a nice stroll through the park area. The path is just left of the cable car when facing down the hill. I think it took us about 20 mins to get down. You will just about the reach the same area that the cable car will drop you off at. From there its a 10-15 min walk back to myengdong main street. --------------------- Worth it?  I believe so but I am a sucker for a good view and a relative payed for most of the trip. I can see how it may fall flat for many as it is very busy tourist hot spot which is arguably overpriced. I believe families should see this is as one of their big nights out. I still think those on a budget should go but maybe limit there spending by walking and taking snacks up with them to eat in the park. While Seoul tower is arguably the most iconic, there are still other platforms you can choose from. Also, if you were just viewing during the day and wanted a challenge then instead of observation decks go to some of the mountains that surround the city. We went to bukhansan (1/2 day quite hard hiking) which has amazing views.  Hope this helps people out. Sorry its so long, thought the detail would be good. --------- Protip: For those who do go in the evening (who are treating this like one of their big nights out) and finish the tower looking for dinner I would suggest going to woori Garden korean bbq in myengdong. Amazing stuff.",24,much
25,25,490,"Great views of the city. Not as tall as the Lotte Seoul Tower, but set up on a hill which gives it almost as much of a commanding view. Several coffee shops and restaurants as well as gift shops at the tower as well. Spend an hour for a quick look around or spend longer and enjoy the view while drinking coffee or grabbing a bite to eat.",25,much
26,26,496,"The smooth, safe ride up, love locks, beautiful views of Seoul city, and an experience a lot like TeamLab Borderless in Japan once you go in to the tower. It's on a much smaller scale than the TeamLab Borderless one but amazing nonetheless. You will have to pay more to go up but so worth it, the observation views are gorgeous and you really get a unique view of this special city. There's even a post office box up there that you can send postcards to the USA and other countries from. Great experience!",26,much
27,27,501,A new style of getting out and about. Very interesting place .never seen anything like it..enjoyed very much,27,much
28,28,506,"We tried to go at night but much too crowded. By day, it was fantastic. There is so much to do including the trip to the top. There were performers and restaurants and shops. It was the best day with my daughter of my entire trip to South Korea.",28,much
29,29,511,"Make the hike up if it’s not unbearably humid/hot, it’s a nice walk up from Myeong-dong, doesn’t cost much to go up, and has great views of the city! Personally I’d avoid any cafes/restaurants at the tower and head back down to Myeong-dong for food.",29,much
30,30,532,We walked from Myeongdong area to the cable car station (20-25 mins) where we took 🚠 (W35000 for 3 adults 1 child) to the tower ground floor.  We booked tickets at the Klook apps in advance for entering the tower which are much cheaper. It gave instant confirmation with QR code. We just need to take the physical entrance slip at the kiosks with the mobile confirmation.  There are some shops and restaurants/eateries at the Tower.  It's a popular place and must visit. We spent 3 hours here in late afternoon.  I must be back in one autumn as it will be full of maple leaves🍁,30,much
31,31,538,"Nothing much to do up at the observatory level, just enjoy the scenery and have some twosome coffee.",31,much
32,32,540,"We took the cable car up to the mountain, the views were stunning, there was much to see and the waiting time wasn't as bad as i expected took only about 5 mins on a Tue at 3PM, highly would recommend, the voucher redemption was easy as well the machines present had an English option.",32,much
33,33,542,"I didn’t expect this trip to be so much fun for my children. There were Cartoon characters everywhere which they loved to spot. There was a Cablecar ride to the top (not as hot as I thought it was going to be inside the plastic box full of tourists) they have bars/restaurants/ice cream parlours and the view is stunning on a clear day. The cost doesn’t get you to the top which I do find disappointing. You have to pay an additional cost of 11,200 at the half way point to go the all the way in an elevator to the “top”. 3of our party did and 3 stayed behind. They enjoyed their extra trip which had an exhibition at the top. The cable cars were larger on the return journey which I found very reassuring. Taxis and busses are at the entrance if you don’t want to walk back to your apt. It didn’t feel packed with the amount of people actually up there. There is an amusement arcade half way which entertains the kids no end.",33,much
34,34,547,"Cost for a combo for two is ¥24000 Korean Won , this included 2 adults, 2 large soft drinks and 2 large pop corns with choices of 4 taste. Beer combo cost a big more. Very popular place with tourist and local, we took cable car up there , cost ¥9500 @ for return , not a very long ride, but a walk to the escalator before you reach the cable car station. Too much for elderly. Better take a bus to cable car station . alternatively you can take a circle line bus from the closest subway station cost about ¥1250 @ way to the tower and no cable car . You may order the entry ticket online and get ¥6000 which most people do. Try out some websites. The view is authentic especially the night view but the viewing deck is relatively congested. The snack bar lighting is too bright so the reflection blocked your view . Seoul is large city but not as many high raise than inHong Kong. So the night view appears less impressive than in HK. With the price is value for money . Can’t miss. Highly recommend. Even you don’t go up the tower , the ground level five storey decking is still good enough to have good view if the city . Remember go when the weather is clear.",34,much
35,35,556,"This is the best place for Seoul city night views. However, the waiting time for the cable car is quite long as it is crowded with locals and tourists. Overall, it is worth a visit if you enjoy night views. p.s. speaking personally, I think that paying to go up to the viewing tower is not really worth it as it is not much differences.",35,much
36,36,558,We really enjoyed our time there. We went up by hiring a private taxi from Klook along with the ticket to enter the tower.  If you wanna partipate in lock with your partner. I recommend not buying from there it cost to much. You can chill out in the twosome cafe and have fun.  Generally a great place to chill. If you have elderly please consider using the cable car.,36,much
37,37,561,"The tower offers great panorama of Seoul. I didn't go to the tower during my previous visits. This time my hotel was in a walking distance, therefore I decided to visit the tower. I went in the morning and walked, instead of using the cable car. Surprisingly, there were many facilities that offer food and drinks, including draft beer. Based on my experience, I would suggest to go late afternoon to have a dinner, see the panorama in daylight and after dark, and enjoy glass of beer. I usually walk a lot, however walking to the tower was too much exercise and I had sore muscles even three days after. So some people should consider cable car.",37,much
38,38,591,"I caught the cable car because it was easier for me to get to.  When you make your way out of the station at the top, you're greeted with nice views and lots of the famous love locks. The view so far is really nice and you can see quite far. I thought ""The view from the observation decks will be so much better!"" I was wrong.  You head down some steps into a concourse area where you can buy drinks and trinkets. I purchased my ticket for the observatory and waited in line for the elevator to the observation area.  Essentially I paid 10,000 krw to ride a lift and look out of windows covered in the handprints and faceprints of small children, all the while getting barged out of the way by impatient tourists.  Personally, not worth the money. Catch the cable car or walk up the steps to get nice panoramic views. Don't bother with the observation decks...  I'm giving it 3 points because I quite liked the views from the hill below.",38,much
39,39,593,"If it is your first time in Seoul and would like to enjoy an aerial view of the city, this is the place to go. I would recommend going there late in the afternoon so you can enjoy the view when there is light until after dark so you get to see the city both during the day and at night. There are several restaurants should you feel hungry and want to eat. There is a convenience store for your basic needs. If you are travelling with very small children and elderly, it may be a challenge walking up the steep hill leading to the tower. There is a portion there where there are trees where you can attach your lock as a remembrance until the next time you visit the tower. The best way to reach the top is by car, if not, bus. Taxi's are not allowed so it's a longer walk by cab. If you go up there during the colder months of the year, bring a jacket, the cold is felt very much at that height.",39,much
40,40,603,I love this place getting there was as much fun as the attraction lots to do great views and plenty of great pictures The lines can be very long depending on the time of year you visit You can walk but we took a cab and then used the cable tram to get to the top. The lines for tickets and tram can get long just keep that in mind. We spent about 4 hours at this attraction,40,much
41,41,608,"I really had high expectations of this place since I had read so much about it and being a K-drama fan, I thought it would be a wonderful and a romantic place. Well,maybe it would have been different if we went up the other way with the cable car but we went up there as past of a half-day tour. First of all, you can't get up to the tower area itself without walking up or taking a city bus or being part of a tour. No cars are allowed. That part was okay as we did go up by bus. What was disappointing was that it seemed very commercialized. There was a fee to go to the top of the tower. That was understandable but then.they take a photo of you when you enter which of course comes with a price tag. And it was extra to go into the Hello Kitty area which seemed like a promo store??? We didn't go in. Don't get me wrong, the view was nice from the top and outside where you have the love locks and park area. I guess I'm just a bit jaded because of my disappointment. Maybe it would have been nicer to go in the evening with all the lights. But to me-you do it once...",41,much
42,42,611,"Well, pretty much what you'd expect - some great views, some tacky but fun souvenirs etc. Cable car ride is fun, as is expected. Nice territory to walk around as well.",42,much
43,43,612,"Went here because I skipped it my past 2 visits to Seoul. It was quite a hike from Myeongdong to the cable car station to bring us up the tower (I forgot how much but around 9000 won roundtrip), but it’s manageable. After getting off the cable car, you can already see colorful “love locks” all over; you can place your own. (If you don’t have a lock they sell it there.) You can also take photos of the Tower from that area. Then there is an option to pay to get up the N tower itself. Since we didn’t want to eat another buffet meal, we only got the tickets with pizza and pasta meal for 2 (not at the top of the tower though), but the pizza especially was superb. At the tower itself, we didn’t need to stay long; 15-20 minutes was more than enough. It was fun to play the interactive booth game though, where you can say hi to people at the Busan tower. :)",43,much
44,44,620,"Other than the steep steep walk towards the tower where the padlocks are, there wasn't really much to see here. The food at the top were limited and pricey. Our trip here could have been replaced by another place but what the heck; a check mark for you now that we've seen it.  Note the treetops with LARGE bird nests and the walk path that abound with beautiful flowers including tulips  There are many stalls at the top selling assorted merchandise - all pricey :)",44,much
45,45,626,"I've been to many tower view points in my tours (Seattle Needle, Eiffel Tower, the Empire State Building to name a few) and here it was a bit disappointing.  We're reached the tower towards sunset to see the sun goes down on the city, but as the visibility was very poor due to the temperature and the atmosphere, we decided to check the tower itself. There is a deal for two at 22K W for two tickets + 2 drinks and 2 popcorn's (heavily stuffed with butter), and upon entering it looked very strange to the team there that we (as two tourists) didn't want to get ourselves pictured for an overpriced photo set (1 for 15K W and it goes on...)  Once we reached up we discovered that it is almost impossible to get a clear sight in the night because of the merchandise and internal lights that these boots are reflecting. All the surrounding windows had reflection of everything you see inside (people shopping, lights of candy stores etc.) and you could not take a decent photo with those reflections. I guess during the day it is much better, but trying to compare the pictures shown by the staff of Seoul at night makes you wonder where was it taken (on the roof top of from a different building :))....",45,much
46,46,628,"My hotel was not far away, so I walked to the cable car station, which was easy to find. I decided not to walk up the path because I have a bad knee and climbing that many stairs would have hurt. I bought a one way ticket for 7,000 won. I didn’t have to wait long for my turn on the cable car, only about five minutes (around 10:45am on a Saturday). The trip up is about two minutes in the cable car, but they reallllly cram people in that thing. The views from the main platforms of the tower were excellent and it was nice to see the love locks as well. They have lots of food options there as well. I did not pay to go up to the observation deck, since I thought it was overpriced, especially when you get such good views from the free platforms. Please note, this is a super crowded attraction, so prepare yourself for that. I then walked back down, since it is much easier going down stairs for me - walk back down took about 10-15 mins for me, going slow. Overall it was worth seeing and you could certainly do it for free if you are fit enough to climb all those stairs.",46,much
47,47,631,"Maybe it’s Labor Day holiday so there were many people/tourists. From the bottom of slope waiting for elevator up to the ticket station , queuing to collect tickets, to go up the tower station and finally to top of tower was long long queue and we waited for almost 2-3 hrs. I did not think the night view was that fantastic, for the wait it was not worth it for me. We also queued an hr to wait for lift to go down. Bad experience, by the end of the night, my legs were aching so much. The staff there were not doing anything to make the wait more efficient. Maybe it is better if it is not public holiday.",47,much
48,48,648,"Seoul tower offers the most amazing & complete ariel view of the city unlike any other place. However one needs to be careful before going up, since if it is foggy then its a waste as you wont be able to see much. Interesting fact - the tower itself uses lights to indicate whether the visibility is clear or not, so its a good practice to watch for the lights and then make your way there. You can get to the base of the tower for free, which itself is good enough to get a splendid view. But if you want to spend money, you can pay more and make your way up the tower which as a restaurant with a better 360 view. There are two ways to get there - you can trek your way up a nice path or take the bus. The only downside is that it is super crowded, and you need to jostle for space to get a decent view.",48,much
49,49,677,"N Seoul tower is a great way of viewing Seoul. Cheap, very accessible thru bus or hop on hop off bus. We used our Seoul pass to enter. There's a restaurant, gift shop and of course their observatory viewing floor. Try to use their washroom, even in there you will be enjoying the view. You can also rent hanbok and get your picture taken thru their photographer. I forgot how much is the picture but it's a reasonable price.",49,much
50,50,685,"Well, what to say really? Yes, it's obvious what the place is, it's a VERY popular tower on top of a mountain with viewing platform and restraunts up there. An yes, Korean restraunt up there was really nice and I'll review that separately. But as for the tower, the queue for the cable car up was easily 30 minutes, problems more like 40 plus, and this was a Sunday night. Don't be fooled by the queue for the tickets on ground level, that's just the start of your long, long quest to the top of the building, to get the cable car to the top of the mountain. I call it a quest, as it's almost something worthy of two small hobbits. I had read reviews that mentioned the queues, however I didn't quite read in enough detail to prepare for the queues that lay ahead, and I'm British, we're known for queueing, but I now think we should be handing that title for the Koreans. Then, once you finally get on the cable car and get to the top of the mountain, you can stop and have a look at the views from there, and then queue a further 40 minutes for the lifts up the tower proper. Now a good tip here, is to book a restaurant package to go up the tower, as this skips the lift queue up for you. View from the top is nice, but without the restaurant meal, it would have menat 80 minutes plus of queueing to get there. Then, to come down, repeat all the queuing again, so it was 40 miuntes to the bottom of the tower, which sadly the restaurant meal does not enable you to skip, and then another 40 minutes for the cable car. I know there's a bus to the top that misses the cable car, and we didn't try those so can't comment. If you're feeling adventurous, you can also climb the mountain on foot, althouh we thought that for an evening dinner out that might be a bit much. Overall a nice view, if you patient enough for the queues.",50,much
51,51,698,"I've been here twice, once in the evening and once in the day. From the entrance to the tower, you can appreciate the cityscape of Seoul and it's a great view. It doesn't cost much to go up the tower (only 10000 KRW per person, plus there is a bundle of 2 popcorns + 2 beers for 26000 KRW which we availed of). The top of the tower itself was quite small, in terms of circumference. Only housing a candy store and a souvenir shop were located at the main viewing deck, with a non-advertised coffee shop at the lower floor which we would've gone to and stayed at if we had only known (they're the only accessible non-restaurant establishment with seats). It was a great experience but it's more than enough to go up the tower once, no need to do it again and again.",51,much
52,52,725,"One of the place that I looked forward so much, but, ended up being so disappointed. It did not appear as charming and nice as my expectation. Ticket is a little on the pricier side as well, but, the hike up to the N tower was worth it, the view of Seoul from above is just breathtaking",52,much
53,53,736,"Had a great trip to N Seoul tower. We walked all the way to Shinsegae mall, turned left, and walked about 5 mins, we took the elevator provided. Because it was freezing so we gave up walking up the hill all the way to the tower.. we took the cable car instead. The view was spectacular especially during the winter. We brought our own keypad lock because they’re selling for much a higher price at the tower. Overall, the experience was great and we enjoyed it.",53,much
54,54,755,"Great view of the whole of Seoul but not much to do up in the tower for the price we paid (W10.000). Nevertheless, it was still a nice experience.  I would recommend going up half an hour before sunset so that one can catch the view of Seoul both in the day and night view.  There’s also a postbox and postcards and stamps sold in the tower so that you can write and send postcards from the top of Seoul ;)",54,much
55,55,783,Can view how the city is divided by the river. Contrast of old and new building. Meantime have the famous corner of locks.. u can see messages of people to their love 1 or couple. Since we follow tour. We don't have much time to walk around and read but we have nice view as you can see from my pictures. Love the winter view. Imaging it full with snow. Even more lovely.,55,much
56,56,788,This area is walking distance from the Myeong-dong area (about 15-20 mins). You then have the option to ride a cable car up or to walk up to the Tower. The cable car is just a few minute ride so we opted to walk. It takes about 30 minutes to walk up (much longer for us as we kept stopping to take pictures of the view!).  We did not enter the tower itself (there is a fee) but we enjoyed the scenery at the top. There are some restaurants at the bottom of the tower.,56,much
57,57,792,"We booked the tickets to the observatory tower at N Seoul Tower through Klook as its cost around SGD6.50/pax, much cheaper when compared to purchase onsite. If travelling by taxis, you have to stop at the cable car ticket booth and travelled up by cable car or by bus. Its better to reach around 10am to avoid crowd as the queue for cable car can be long. After getting off the cable car, please proceed to B1 of observatory tower to print your ticket using Klook barcode issued to you. We spent less than 30 mins at Observatory Tower as its very small and crowded. I feels this can give a miss. The love-locked area is good enough for you to walk around and take some decent photos of the views.",57,much
58,58,799,"This tower is pretty much the same as any tower you find throughout your travels. The unique thing about it is around it. Leading up to the tower are hundreds of locks with couples names on them that are locked on the guard railings. There are some restrictions for those putting theirs up and if you don't follow their rules, your lock will be removed at the end of the night. Good view from the tower of the City but like every other tourist stop, a bit over priced. Entrance fee is separate from the cable car ride getting there.",58,much
59,59,816,"Well, what to say really? Yes, it's obvious what the place is, it's a VERY popular tower on top of a mountain with viewing platform and restraunts up there. An yes, Korean restraunt up there was really nice and I'll review that separately. But as for the tower, the queue for the cable car up was easily 30 minutes, problems more like 40 plus, and this was a Sunday night. Don't be fooled by the queue for the tickets on ground level, that's just the start of your long, long quest to the top of the building, to get the cable car to the top of the mountain. I call it a quest, as it's almost something worthy of two small hobbits. I had read reviews that mentioned the queues, however I didn't quite read in enough detail to prepare for the queues that lay ahead, and I'm British, we're known for queueing, but I now think we should be handing that title for the Koreans. Then, once you finally get on the cable car and get to the top of the mountain, you can stop and have a look at the views from there, and then queue a further 40 minutes for the lifts up the tower proper. Now a good tip here, is to book a restaurant package to go up the tower, as this skips the lift queue up for you. View from the top is nice, but without the restaurant meal, it would have menat 80 minutes plus of queueing to get there. Then, to come down, repeat all the queuing again, so it was 40 miuntes to the bottom of the tower, which sadly the restaurant meal does not enable you to skip, and then another 40 minutes for the cable car. I know there's a bus to the top that misses the cable car, and we didn't try those so can't comment. If you're feeling adventurous, you can also climb the mountain on foot, althouh we thought that for an evening dinner out that might be a bit much. Overall a nice view, if you patient enough for the queues.",59,much
60,60,834,Here's the scoop : don't take a taxi. Just take bus 02 or 05 from some areas around the city including Myeongdong and it brings you all the up to the base of the tower. It's only 1200 for adults 350 for kids. Same thing when you are returning back. The cable car is 7000 one way for adults and connects from the base of the tower to a middle station. For us we have been in many before and it didn't justify the short ride. Spend some 1-1.5 hours at the base of the tower and take in the beautiful views of the city. The weather was great and we took lots of photos. And we didn't pay to go up the tower because every country has a talk tower and it's pretty much the same 😀,60,much
61,61,835,"Another reviewer said ""...Yes, there is a cable car. But the hike is very easy - it's reasonably flat and you get pretty good views all the way up."" That is what it said in the book on Seoul that I bought in Honolulu before going to Seoul. My wife and I found the opposite to be true. I took as 3 hours to get from where out taxi dropped us off to the top. In retrospect there was a Bus stop sign at the bottom but no idea when it might come so we elected to walk. Three hours later (with seven yellow busses passing us going up during the time it took us to walk there) we arrived with my wife very sore legs and mad. ""Reasonably Flat""... I don't think so.. I would call it steep.  Once we finally arrived it was nice. We went to the upper level W 10,000 each, and got a framed souvenir photo W 25,000 which was nice... you can choose your background of views from the tower.  Unfortunately, it was very cloudy that day, and we couldn't see much of anything of the city from the tower, but they did warn us about that before charging us to go to the upper level, and after that hike we wanted to go up anyway. I think i would be spectacular when it is not cloudy... it was just our bad luck the weather was like that. I hope someday we can go there when the weather is good!  We enjoyed the fence where the lovers attach the padlocks with their names together and took some pictures there, and the Vanilla Shake at the Ice Cream concession was delicious.  We decided to take the cable car back down, which was scenic, but we found that once we arrived it was a long walk to MyongDong Subway Station, which the map implies was colocated with the Cable Car terminal... it is not. It is also a steep road from the Cable Car terminal down, so if you were going to walk up from the MyongDong Subway Station to the cable car terminal it would be quite a hike... although certainly less than the alternative hiking trail.  If we go there again I would either: 1. Wait for the Yellow Bus at the bottom of the Hiking Trail where the taxi dropped us off ... I think he sign at the top said the Bus was only W 1,200 or something like that.  OR 2. Insist that the taxi take you all the way to the Cable Car terminal... and get the hotel or somebody to write that in Korean to show the driver since it appears none of the taxi driver's understand English.  The fare for the Cable Car is almost the same for round trip as one way, so IF you can be sure the taxi will take you all the way to the Cable Car terminal that is probably the best choice. Otherwise the Yellow Bus from the bottom of the hiking trail.  Aside from that I agree with all the other observations of the review by EmmaVestrheim.",61,much
62,62,855,"i went to Namsan tower 3 times when i was in Seoul because i loved the view so much, you dont even need to go into the tower itself to see. its so pretty and unobstructed. if you go in the early evening you'll be able to see the city light up so so pretty",62,much
63,63,882,"Nice view of the city, but not worth queuing and paying to go to the top. Tickets aren't expensive but the view in the tower is the same as what you get outside and there isn't anything much or special in the tower + insanely long queues. Take a bus up because its a steep walk up. One of the locals actually told us we can WALK from Myeongdong. Glad we didn't.",63,much
64,64,899,North Seoul Tower is pretty much a must see when you are in town . Like the CN Toer in Toronto or the Space Needle in Seattle. You just pretty much have to do it. Great view! We went in the early evening and saw things in daylight and night light. One thing that we didn’t realize was that it’s kind of a romantic place fire couples to go and place a lock with their name on it on the fence. Locks are available to purchase there or bring your own. Food is available there. Anything from grap and go good to sit down resturant. Take the cable car to the base of the tower,64,much
65,65,907,"We went to N Seoul Tower after our palace trip. I can honestly say that the place is over-rated. They have this area where couples can put locks and write something on the locks, i guess a wish that the relationship lasts long. Forgot how much i paid but i feel that it was more than what the place offers. But we went anywhere...went for a train and a bus ride which was very easy to follow. Still worth a go but again is a little over-rated. And the locks being sold on-site costs between 6500-8500w!!! A little pricey",65,much
66,66,917,"We went to the top via cable but it is nothing spectacular. If you can walk, the experience will be much better and the view is great. We didn't go to the actual tower but just hang around the bottom around where the love locks are, ended up reading the messages left. It was a great experience and overall, unexpected",66,much
67,67,926,"Went here on our first day in Seoul. It was a steeped walk going up to the Tower and during that time the weather was foggy. Didn’t see much of the view, we are not just lucky enough since the weather was not so cooperative.",67,much
68,68,928,"Nothing much to see. Easy to get there by bus. Go there at night. Only candy stores and souvenir shops on the viewing deck. Although, it's nice if you want a view of Seoul.",68,much
