,Unnamed: 0.1,index,Unnamed: 0,덕수궁부정단어리뷰,index.1,단어,번역
11,11,11,311,We visited as we had a little time and were in the area It is cheap to visit but there isnt much to see compared to the other palaces The changing of the guard ceremony is fun to watch and there is an explanation of what is happening in English There is some information about the buildings in English but not very much I would say it isnt worth going if you only have a few days in the city but stop by if you will be around for a week or more,11,much,우리는 시간이 조금 있고 그 지역에있어 방문했습니다. 방문하는 것은 저렴하지만 다른 궁전에 비해 볼 것이 많지 않습니다. 근위병 교대식은 보는 것이 재미 있고 무슨 일이 일어나고 있는지 영어로 설명되어 있습니다 건물에 대한 정보가 영어로 되어 있지만 그다지 많지는 않습니다. 도시에 며칠만 있으면 갈 가치가 없지만 일주일 이상 머무를 예정이라면 들러보세요.
12,12,12,316,Deoksugung palace is very interesting palace for me Beside the location that in the middle of the city and just next to city hall the palace was very easy to reach This palace also smaller than the other two Ive been visited But its nice to started your palace tour with this one  Its like past and present met in one place There are few historic pavilions and yet there are modern and western buildings in same complex  Very interesting for see but not much to explore But its very nice experience especially if you came when the guard changing ceremony  Extra info  When you get hungry and need something to snack on you can try waffles just next to it,12,much,덕수궁은 나에게 매우 흥미로운 궁전입니다. 도시 한가운데와 시청 바로 옆에있는 위치 외에도 궁전은 매우 쉽게 도달 할 수있었습니다.이 궁전도 다른 두 궁전보다 작습니다. 이것으로 과거와 현재가 한 곳에서 만난 것 같은 역사적인 파빌리온이 거의 없지만 같은 단지에 현대식 및 서양식 건물이 있습니다 볼 수있는 매우 흥미롭지 만 탐험 할 것이 많지는 않지만 특히 경비원이 바뀌었을 때 온 경우 매우 좋은 경험 세레모니 추가 정보 배가 고파서 간식이 필요할 때 바로 옆에 있는 와플을 먹을 수 있습니다.
13,13,13,317,This grounds of this palace are much smaller than most of the others in the city Entrance is only 1000kr however despite the bargain price this place is relatively empty This allows you to stroll the grounds and take numerous photos without the hoards of tourists which you will find in the other palaces,13,much,이 궁전의 부지는 도시의 다른 궁전보다 훨씬 작습니다. 입구는 1000kr에 불과하지만 저렴한 가격에도 불구하고 이곳은 상대적으로 비어 있습니다. 이로 인해 많은 관광객 없이 경내를 산책하고 수많은 사진을 찍을 수 있습니다. 다른 궁전에서
14,14,14,340,We managed to secure tickets for the Secret Garden in Deoksugung on our first day in Seoul and all other days for our Seoul trip was sold out While the weather forecast was not good we proceeded on to visit this palace and its garden  Of course it would be a much better visit in gorgeous autumn weather but we managed to enjoy the gardens and the castle complex with its spectacular foliage before the huge downpour Do allow at least half a day in good weather to fully appreciate this complex,14,much,우리는 서울에서의 첫날과 서울 여행의 다른 모든 날에 덕수궁의 비밀 정원 티켓을 확보 할 수있었습니다. 일기 예보가 좋지 않은 동안 우리는 계속해서이 궁전과 정원을 방문했습니다. 화려한 가을 날씨에 방문하는 것이 훨씬 더 좋지만 엄청난 폭우가 내리기 전에 장관을 이루는 단풍으로 정원과 성 단지를 즐길 수 있었습니다. 좋은 날씨에 이 단지를 완전히 감상하려면 적어도 반나절 시간을 허용하십시오.
15,15,15,353,This palace is near City Hall and costs W1000 to enter It is closed on Mondays  There are free guided tours in English twice a day at 1030  1330  The palace was the home of two kings the first in the 16th17th centuries and then again in the 19th20th centuries  The best building is the Throne room which has exquisite dragon carvings on the ceiling  Note that the complex houses the Seokjojeon Hall Anybody can visit the basement  not much to see there particularly if you cant read Korean The best parts are the first and second floors But you have to book on the site webpage in advance Or for foreigners there is a special rule to allow up to five to sign up on a waiting list first come first served This hall was built in about 1910 and is a mixture of western and Korean styles The hall is now the Daehan Empire History Museum and is definitely worth a visit The visit is guided and should take about 45 minutes  Time to visit would be up to an hour longer if you go into the hall,15,much,이 궁전은 시청 근처에 있으며 입장료는 1000원입니다. 월요일은 휴무입니다. 1030 1330에서 하루에 두 번 영어로 된 무료 가이드 투어가 있습니다. 궁전은 16세기 17세기와 19세기 20세기에 두 왕의 집이었습니다. 가장 좋은 건물은 천장에 정교한 용 조각이 있는 왕좌의 방입니다. 복합 단지에는 석조전이 있습니다. 특히 한국어를 읽을 수 없다면 누구나 지하를 방문하여 많이 볼 수 없습니다. 가장 좋은 부분은 1층과 2층입니다. 사전에 사이트 웹 페이지에서 예약해야 합니다. 또는 외국인의 경우 대기자 명단에 최대 5명까지 등록할 수 있는 특별 규칙이 있습니다. 선착순으로 이 홀은 1910년경에 지어졌으며 서양식과 한국식의 혼합입니다. 홀은 현재 대한제국 역사 박물관이며 꼭 방문할 가치가 있습니다. 안내를 받으며 약 45분 정도 소요됩니다. 홀에 들어가시면 방문 시간이 최대 1시간 더 소요됩니다.
16,16,16,360,Stayed for a few days in the Plaza hotel which is just in front Deoksugung and was curious to know what is inside  Entrance fee is quite affordable and you get a decent guide for the different buildings however personally I enjoyed much more relaxing under the shadow of the trees just enjoying the view than learn about the history of the place,16,much,덕수궁 바로 앞에 있는 플라자 호텔에서 며칠 머물렀고 내부에 무엇이 있는지 궁금했습니다. 입장료는 꽤 저렴하고 다른 건물에 대한 괜찮은 가이드를 얻을 수 있지만 개인적으로 나는 그늘 아래에서 훨씬 더 휴식을 즐겼습니다. 장소의 역사에 대해 배우는 것보다 경치를 즐기는 나무
17,17,17,391,As I have done most of the palaces this one didnt have anything special no must see factor until I went round the Historical Museum This was the tick in the box for this Palace The w1000 also includes the museum and if you want to walk round head over as soon as you arrive and get yourself on a tour It is access by tour only and they leave every 30 minutes but gets full quick as the groups are only small Shoes off and slippers on they gave me an English audio so I could follow round but obviously the passionate guide was giving the locals much more than I was hearing All renovated in the last 10 years but decorated as best as they could from old photos and with some of the original furniture The history you get is the best thing and even some photos of the old emperors and emperoresses Your 1000 doesnt also get you into the art gallery that will cost you more,17,much,내가 대부분의 궁전을 해왔기 때문에 이 궁전에는 특별한 것이 없었습니다. 역사 박물관을 둘러볼 때까지 꼭 봐야 할 요소가 없습니다. 이것은 이 궁전의 상자에 있는 체크 표시였습니다. 도착하자마자 투어에 참여하고 투어로만 액세스 할 수 있으며 30 분마다 출발하지만 그룹이 작기 때문에 빨리 만석입니다. 분명히 열정적 인 가이드는 내가 들었던 것보다 훨씬 더 많은 것을 현지인들에게 제공하고있었습니다. 모든 것은 지난 10 년 동안 개조되었지만 오래된 사진과 원본 가구에서 가능한 한 최선을 다해 장식했습니다. 당신이 얻는 역사는 가장 좋은 것입니다. 당신의 1000은 또한 당신에게 더 많은 비용이 드는 미술관에 당신을 데려가지 않습니다.
18,18,18,396,Being the smallest one among the four palaces I got to in Seoul not sure how it compares in size with Gyeonghuigung which is the only one that I didnt get to among Seouls five palaces this is not a palace like Gyeongbokgung which is kind of a world of its own with its huge grounds where youll get an immersion experience of the Joseon era days but what this palace offers just because of its significantly smaller grounds compared to Gyeongbokgung is nice contrasting views of traditional palace buildings  their modern highrise counterparts right outside the confines of the palace grounds including the interestingshaped allglass structure of Seoul City Hall which can be seen from the raised platform around the main palace building which will kind of give you an idea how far Korea has come from those days of the Joseon Dynasty And those relatively small grounds of the Palace actually merge on one side to the left of the main palace building while facing it or equivalently to your right if you go all the way to the end of the pathway from the entrance gate after coming in from the street with the grounds of a big museum with a lovely fountain in front although Im not sure if the museum is considered part of the Palace for admission purposes or if it can be entered from another side  And unlike at the other palaces the main building of this palace can be entered not just to look at from right outside so you can get a closeup view of the throne stage Also present here at the entrance gate are two or three ceremonial guards didnt see them on the way in at about 10 am though only saw them on the way out about an hour later but Im sure theres no big ceremony involving a lot of guardsmen in colorful attires with some holding beautiful flags as at Gyeongbokgung since theres simply no space here for such a ceremony  Coming by subway City Hall Station Lines 1  2 is where to get off and youre pretty much right outside the Palace once you get out of the station onto the big street Sejong Daero just a 1to2minute walk to the entrance gate And what I suggest for the ticket is getting an integrated ticket for 10000 won the equivalent of 10 US dollars which is good for like a month and which gives you admission to four of Seouls five palaces except for Gyeonghuigung which Im sure is a small one maybe even smaller than this one  Jongmyo Shrine; also do keep in mind that this palace along with Changdeokgung  Changgyeonggung are closed on Mondays whereas the main palace Gyeongbokgung  Jongmyo Shrine are closed on Tuesdays,18,much,"서울에서 가본 4개의 궁 중 가장 작은 궁궐이라 서울의 5개 궁 중에서 유일하게 가보지 못한 경희궁과 크기가 어떻게 다른지 모르겠다. 조선 시대의 몰입감을 경험할 수 있는 거대한 부지가 있지만 경복궁에 비해 부지가 훨씬 작기 때문에 이 궁이 제공하는 것은 전통 궁궐 건물과 현대식 고층 건물이 경복궁의 경계 바깥에 있는 대조되는 멋진 전망입니다. 조선시대로부터 한국이 얼마나 멀리 왔는지 짐작할 수 있는 본당 주변의 높은 플랫폼에서 볼 수 있는 흥미로운 모양의 서울시청을 비롯한 궁궐의 경내와 비교적 작은 경내 궁전은 실제로 마주보고 있는 동안 주요 궁전 건물의 왼쪽에 병합되거나 y인 경우 오른쪽에 동등하게 병합됩니다. 아름다운 분수가 있는 큰 박물관 부지가 있는 거리에서 들어와 입구 게이트에서 통로 끝까지 가십시오. 박물관이 입장 목적으로 궁전의 일부로 간주되는지는 확실하지 않습니다. 또는 다른 쪽에서 들어갈 수 있는 경우 그리고 다른 궁궐과 달리 이 궁의 본관은 밖에서만 볼 수 있는 것이 아니라 왕좌의 무대를 가까이서 볼 수 있도록 들어갈 수 있습니다 여기 입구 문에도 있습니다 두세 명의 의식 경비원은 오전 10시에 들어오는 길에 그들을 보지 못했지만 약 1 시간 후에 나가는 길에서 그들을 보았습니다. 경복궁에서는 이런 행사를 할 공간이 없기 때문에 지하철로 오시는 경우 시청역 1호선 2호선에서 내리는 곳이며 역에서 나와 큰 거리 S로 나오면 궁전 바로 밖에 있습니다 이종대로 입구 게이트까지 도보로 1~2분 그리고 티켓에 대해 제가 제안하는 것은 10,000원에 통합 티켓을 얻는 것입니다. 이는 한 달 동안 좋은데 서울의 5개 궁전 중 4개를 입장할 수 있습니다. 내가 확신하는 경희궁은 이 종묘보다 작을 수도 있다. 또한 창덕궁 창경궁과 함께 이 궁은 월요일에 문을 닫는 반면, 본궁 경복궁 종묘는 화요일에 문을 닫습니다."
19,19,19,440,I didnt expect much from this palace its small a third of its original size and gives an impression of a lessthankorean palace sibce there are modern buildings in it BUT It has difinitely exceeded my expectation Firstly it was considerably less crowded than Gyeongbukgung even in its peak time which is 11 am when the Changing of the Guard takes place Secondly the Changing of the guard is a wonderful experience you can follow the marching band around and watch the change comfortably and then even pause a few times to let you take photos with the guards Thirdly the history of the different buildings that compile the palace is very interesting One of the buildings is a fusion between traditional korean architecture and imperial architecture and to my opinion it was spectacular  For the meek price of 1000 won I recommend going I arrived around 920am so I even managed to get a free english tour with a guide before following the marching band  Overall I spent 3 hours exploring including the guard change and half a guided tour,19,much,"나는이 궁전에서 많은 것을 기대하지 않았습니다. 원래 크기의 1/3이 작았고 내부에 현대적인 건물이 있기 때문에 한국보다 못한 궁전의 인상을줍니다. 그러나 예상을 확실히 초과했습니다. 첫째, 성수기에도 경북궁보다 훨씬 덜 붐볐습니다. 근위병 교대식이 있는 오전 11시 두 번째 근위병 교대식은 행진하는 밴드를 따라가며 편안하게 교대식을 지켜본 후 잠시 멈추어 근위대와 사진을 찍을 수 있는 멋진 경험입니다. 세 번째 궁전을 구성하는 다른 건물의 역사는 매우 흥미 롭습니다. 건물 중 하나는 한국 전통 건축과 황실 건축이 융합 된 것입니다. 제 생각에는 장관이었습니다. 1000 원의 저렴한 가격으로가는 것이 좋습니다. 행진 밴드를 따르기 전에 가이드와 함께 무료 영어 투어를 할 수 있었습니다. 전반적으로 나는 g를 포함하여 탐험하는 데 3시간을 보냈습니다. uard 변경 및 반 가이드 투어"
20,20,20,451,You cant help but notice when visiting this ancient Palace that you are surrounded by modern day high rises in the heart of the city  This was a very popular Palace for school children to visit as there had to be several hundred children on site  The grounds are very nice and much bigger than expected There is a mixture of Western and Korean architecture Make sure to grab the brochure expaling everything at the entrance way  Definitely worth a look Very cheap to get in only 1000 won but free if you are 65 or older,20,much,이 고대 궁전을 방문하면 도시 중심부의 현대식 고층 건물로 둘러싸여 있다는 사실을 알 수 있습니다. 이 궁전은 수백 명의 어린이가 현장에 있어야 했기 때문에 학교 아이들이 방문하기에 매우 인기 있는 궁전이었습니다. 멋지고 예상보다 훨씬 큽니다 서양식과 한국식 건축이 혼합되어 있습니다 입구 길에서 모든 것을 설명하는 브로셔를 꼭 잡으십시오 확실히 볼 가치가 있습니다 1000 원에 매우 저렴하지만 65 세 이상인 경우 무료
21,21,21,458,This Palace one of four major Palaces in the same vicinity in Seoul is pretty much directly opposite City Hall and theres a metro station at City Hall so its easy to get to and find This is a smaller Palace than some of the others and has a few more laterbuilt buildings so is quite distinct from the other Palaces The Palace guards are interesting to see and photograph and you dont have to buy a ticket to go into the Palace to see them as for obvious reasons they are on the outside of the gate They are used to having their photos taken As a consequence you can also see much of the changing of the guards from the street too free of charge much like Buckingham Palace And the changing of the guards at Deoksugung and at Gyeongbokgung not far up the road for that matter has just as much pomp and ceremony with colourful uniforms and a marching band as Buckingham Palace or Horseguards Well worth a look if you can time it right,21,much,서울의 같은 인근에 있는 4개의 주요 궁전 중 하나인 이 궁전은 시청 바로 맞은편에 있으며 시청에 지하철역이 있어 쉽게 찾을 수 있습니다. 더 나중에 지어진 건물은 다른 궁전과 매우 다릅니다. 궁전 경비원은보고 사진을 찍는 것이 흥미 롭습니다. 명백한 이유로 궁전 외부에 있기 때문에 궁전에 들어가기 위해 티켓을 구입할 필요가 없습니다. 그들의 사진을 찍는 데 익숙 결과적으로 버킹엄 궁전과 마찬가지로 거리에서 경비원의 교대를 너무 무료로 볼 수 있습니다. 그리고 덕수궁과 경복궁에서 경비원의 교대를 그 문제에 대해 그리 멀지 않은 거리에서 볼 수 있습니다. 버킹엄 궁전이나 기병대만큼 화려한 제복과 행진 밴드가 있는 화려함과 의식이 있습니다.
22,22,22,471,We choose to visit Deoksugung because of its size We would like to be able to tour the ground and thought that Gyeongbok and Changdeok is too much for our group of elderly and small children to walk through and cover all  We arrive exactly as the changing of the guard ceremony is about to start at 11 am and lucky enough to find a booth in front of the main gate that offer services of young korean student for a free tour to tourist They were official and looked very professional with their orange uniform and obviously they get the support from the local govt The purpose is to practise their english with foreigners and to learn more of their own culture which I thought were very nice  Sara our guide was only 14 years old about the same age as my eldest daughter thus they were instantly having a girl talk  she showed us around the palace complex stopped every now and then to explain about the buildings and their history  The complex also has a museum but we choose not to go in so cant comment on that one,22,much,우리는 크기 때문에 덕수궁을 방문하기로 결정했습니다. 우리는 땅을 둘러보고 싶었고 경복과 창덕은 노인과 어린이 그룹이 걸어서 모든 것을 덮기에는 너무 많다고 생각했습니다. 경비 의식은 오전 11시에 시작될 예정이며 운 좋게도 젊은 한국 학생이 관광객에게 무료 투어를 제공하는 서비스를 제공하는 정문 앞에서 부스를 찾을 수 있을 만큼 운이 좋았습니다. 지방 정부의 지원 목적은 외국인과 영어를 연습하고 내가 아주 훌륭하다고 생각한 그들 자신의 문화에 대해 더 많이 배우는 것입니다 Sara 우리 가이드는 내 장녀와 거의 같은 나이의 14세이므로 즉시 그녀가 궁전 단지 주변에서 우리에게 보여준 소녀 이야기는 때때로 건물과 그 역사에 대해 설명하기 위해 중단되었습니다. 복합 단지에도 박물관이 있지만 우리는 너무 cant com에 가지 않기로 선택합니다. 그것에 대해
23,23,23,474,located near the city hall good to walk around and see korean palace Convenient access but nothing much to do there,23,much,시청 근처에 위치하여 걸어 다니고 한국 궁전을 볼 수 있습니다. 접근이 편리하지만 할 일이별로 없습니다.
24,24,24,480,It might not be the most impressive of the palaces in Seoul but its still worth a visit and entry really doesnt cost much at all You probably dont need to spend much more than an hour there and definitely not more than two but the architecture alone is worth the price of admission even without taking into consideration the historical importance of the palace Signs are in English Korean Japanese and Chinese so almost any visitor can learn about the historical details,24,much,서울에 있는 궁전 중 가장 인상적이지는 않을 수도 있지만 여전히 방문할 가치가 있으며 입장료는 전혀 들지 않습니다. 아마 거기에서 한 시간 이상을 보낼 필요는 없을 것입니다. 확실히 두 개 이상은 아니지만 건축물만으로도 가치가 있습니다. 궁궐의 역사적 중요성을 고려하지 않아도 입장료가 영어 한국어 일본어 중국어로 되어 있어 거의 모든 방문객이 역사적 내용을 알 수 있습니다.
25,25,25,481,It was a very cold day  0 degrees so my walk around the grounds was brisk The entry fee is only 1000 won about 150 AUD so inexpensive  There are free tours leaving twice a day and there are brochures just inside the gates in English There are a number of plaques dotted about that have a short paragraph in English explaining the relevance which is very useful Overall it is a peaceful place that was largely empty in December and is was easy to stroll around and look at the gardens although they are pretty bare in winter  The grounds also house the Daehan Empire History museum which has tours of the 1st and second floors of the palace I peeked through the windows was worth a look if you like palaces and you can reserve your place in the free queue almost every hour  I didnt know this before I went so the tours were full Check it out before you go the rooms looked lovely In the ground level was a museum about the history of the dynasty Im not really sure there was an english brochure which didnt explain much and none of the displays had english translations so I am not sure what it was about Give it a miss if you are in a hurry although it is nice to get in outside from the cold  The changing of the guard was at 11am and I was able to see them marching from behind the hall all the way through the gardens to the outside gate Ignore the cheapskates who say to not pay go in and see it It was a good spectacle  Allow about an hour and there are plenty of toilets and drinking fountains throughout as well as a few vending machines if you want a quick drink or snack,25,much,영하 0도의 매우 추운 날이어서 경내 산책이 활발했습니다 입장료가 1000 원에 150 AUD 정도로 너무 저렴합니다 하루에 두 번 떠나는 무료 투어가 있고 영어로 된 안내 책자가 게이트 안쪽에 있습니다. 매우 유용한 관련성을 설명하는 영어로 짧은 단락이 점재 된 플라크 전반적으로 12 월에 크게 비어있는 평화로운 곳이며 겨울에는 꽤 헐벗었지만 산책하고 정원을보기에 쉽습니다. 경내에는 또한 궁전의 1층과 2층을 둘러볼 수 있는 대한제국 역사 박물관이 있습니다. 나는 궁전을 좋아한다면 볼 가치가 있었고 거의 매시간 무료 대기열에 자리를 예약할 수 있었습니다. 나는 이것을 몰랐습니다. 내가 가기 전에 투어가 가득 찼는지 확인하기 전에 방이 아름답게 보였습니다. 1 층에는 왕조의 역사에 관한 박물관이있었습니다. 영어 브로셔가 있는지 확실하지 않습니다. 많은 설명을하지 않았고 디스플레이 중 어느 것도 영어 번역이 없었기 때문에 그것이 무엇인지 확실하지 않습니다. 추운 날씨에서 외부로 들어가는 것이 좋지만 경비원 변경은 오전 11시에 있었고 서두르면 그리워하십시오. 나는 그들이 복도 뒤에서 정원을 통해 바깥 문까지 행진하는 것을 볼 수있었습니다. 지불하지 말라는 싼 스케이트는 무시하고 들어가십시오. 좋은 광경이었습니다. 약 1 시간을 허용하고 많은 화장실과 간단한 음료나 간식을 원할 경우 곳곳에 식수대와 몇 대의 자판기가 있습니다.
