,index,Unnamed: 0,경복궁부정단어리뷰,index,단어
19,19,1675,"The compound area is huge but the palace itself is empty. Nothing. Few pieces of furniture. Artwork? It's not even 100 years old. I was told 90% of the buildings was demolished during Japanese occupation during 1911, it so frustrating. Nevertheless, I was awed with the Change of Guard Ceremony. I think people does not care much about history as long as they can brag about it and take many as many pics around this palace. Compared to many palaces & castles I've been, this doesn't left much impression on me.",19,empty
20,20,1813,"We were fortunate enough to visit the Palace when they lit up the place and allow visitors to come at night, so we spent half a day and the evening there. It was quite an experience as the Palace was packed with people. The Palace area is huge and the buildings are pretty however some may find the palace rather 'empty' and I do prefer Changdeokgung. The changing guards was quite fun to watch. For a good walk, go to Gwanghwamun Square and walk towards the Palace.",20,empty
21,21,1939,was having a high hope when coming over to checkout the palace. When we arrive it is a bit of disappointing as it look bit barren / empty.  if you're visiting here on summer i suggest to visit here in the evening as the sun is too hot to move around.  there is a museum nearby which the access is free of charge :),21,empty
22,22,1996,A beautiful palace that takes several hours to see properly. If you plan to visit any other palace or Jongymo Shrine buy the Combined Ticket as more cost effective. The Pavilions are especially lovely. There is no set way to go around and most buildings are empty (the Throne Room is partially furnished). If you hire a Hanbok (costume) entrance is free (depends on weather if you do this as they are not rain friendly).,22,empty
23,23,2213,"We walked the entire park. Beautiful buildings. No one there to talk about any of them. Cannot see inside at all. A few doors open to look at empty spaces with painted walls but most areas doors locked and cannot see inside. No furniture, no mats. Do not get a feel for how they lived many years ago. There is construction going on in some area which were completely blocked off. I was disappointed because I wanted a sense of how the family lived their lives during that time period. Only saw buildings.",23,empty
24,24,2335,"As important as this palace is in the list of national treasures of South Korea, it's actually quite a boring place to visit full of empty buildings, except for the throne room and the changing of the palace guards. Wish they had filled those buildings with some kind of exhibits to reflect the glory of this palace. I had to get a sense of the magnificence of the palace during its glory days in the National Palace Museum instead.",24,empty
25,25,2568,This is a very old palace which was first built more than 600 hundred years ago. It was a residence for the Korean kings previously.  It was destroyed and rebuilt again many times over the years. The builidngs are empty inside because most of the original furnitures and items were destryoed already.  The palace has got very colorful exteriors. There are many courtyards inside. Big space and yards. Lots of tree.  Very pleasant to walk around and take some nice photos.,25,empty
26,26,2585,"In terms of size and magnificence it's the second best of the 4 palaces in my opinion. However, this one gets the most tourist because it's right in the middle of the city with a big statue in front of it. It's the palace of one of the wisest king in Korea who also invented the modern Korean writing script in an attempt to replace the Chinese script.  Inside it's beautiful with many places to walk around and enjoy a nice day in the park. The palaces and buildings, like all other 4 palaces, could be that much better enhanced if they actually placed ancient artifacts/furniture in there instead of a big empty room. Most of them are locked up...",26,empty
27,27,2667,"It was my place that I visited just after I arrived At least I discovered immediately the Korean culture and ambiance You should see the Guards who wear traditional dress, the 3 mains courtyards are full with locals who rent traditional costumes But the others part of the royal complexe are empty and full of serinity It s like a city inside the city All was destroyed but the gouvernement decided to rebuild it as it was and they win the challenge It s stunning If you love take pictures be ready!",27,empty
28,28,2765,"I walked the whole palace. I was giving high hope to review the history and how the emperor or ancient Korean lived. However, it seems like no one comment this is a REBUILD of everything!!!! You can still be amazing by the size and the building structure. However, beside the main palace all other places are empty..... A bit disappointed because I like to understand the Korean culture more. Still you can see the Korean government's effort to rebuild the palace and allow tourists understand their past.",28,empty
29,29,2778,"It is hard to be impress by the palace if you have been to China. Those are bigger, more grand and more historically significant than the ones in Seoul. There is a lot of empty spaces with just sands and normal trees. Very little historical information are given and the whole place just feel souless. Better off to visit the national museum nearby. You can also see many people dressed in Korean hanbok but I find it gimmicky, you do received free entrance if you do that as well. It is one of those places you go so you can said I been there.",29,empty
30,30,2810,"The Royal Palace is a must-see attraction if you want to appreciate the life style in the old Korean kingdom. The actual palace is rather large, with a lot of empty spaces. The actual living quarter for the residences are very small. There are simple buildings with several rooms and courtyards. In comparison, I found this Palace more formal than the Japanese. The design is similar the one in Beijing; but in a much much smaller scale.",30,empty
31,31,3017,"Usually I'm the architecture junkie that make sure every trip is filled with historical sites and buildings, but Gyeongbokgung to be honest, didn't lived up to my expectations. The palace is rather big and empty( in terms of decor / plants etc) I'm not sure if its because I went in Autumn, and the plants died off + there was an event setup going on in the middle of the palace (kinda ruins the vibe). Some of the buildings are closed of for repairs extension for winter(?), which made my visit kinda disappointed. But the palace was rather big and the museum at the side was worth the visit.",31,empty
32,32,3062,"Visited on a weekend break to Seoul. Entry to everything was free but not sure if that was because it was Chuseok. The whole place is amazing, really well preserved and rebuilt. The contrast between the skyscrapers and the ancient palace is amazing! When we went there were Koreans dressed in traditional dress walking around and if you turned the corner to an empty courtyard with only a couple of Koreans dressed in Hambok walking along you felt like you'd gone back in time! It's an absolute must in Seoul!!",32,empty
33,33,3444,We were welcomed by a teen guide working on her English skills. She was amazing and knew lots of details about the history of the palace. She explained that she did the tours once a month for school credit. The changing of the guard is a colourful must see. The only disappointment was that all you get to see are empty buildings. There are a few sticks of furniture - such as a replica throne and bed frame but not much else.,33,empty
34,34,3636,"Besides the main palace and the man-made lake, there's really not much to see here. Lots of empty space. Be sure to wear sunblock when visiting in summer. The National Folk Museum is in the palace if you're into museums. Changgyeonggung Palace and Changdeokgung palace while smaller, are much more interesting in my opinion. There is much more to see and appreciate in these palaces than Gyeongbokgung.",34,empty
35,35,3755,"It was really beautiful and quiet. We went during the MERS scare, so it was very empty. The people working there were very friendly.",35,empty
36,36,3774,"This is a huge place so be prepared for a lot of walking. There are some buildings that have some furniture but most are empty. There are informative signs which are helpful and they are in English. This is where they have a very colorful changing of the guards.. if you don't get the pictures you want, they will stand out in front of the palace so you can get your picture taken with them. There is a small building where you can try on their outfits and heve your picture taken. Thereare beautiful grounds with a lake. bring a picinic.",36,empty
37,37,3787,"We came on a day which was free admission. The grounds are really serene with a bridge over a large pond with lily pads. We saw a many in hanboks from school kids visiting on field trips to tourists renting there's nearby. This was the first palace we visited and it was the better of the 3 in Seoul. The trees were turning already and looked very nice with the building and pond areas. It was a cool, overcast day. We spent only 1hr total here. This is because the buildings are completely empty. This one was rebuilt after being burned down completely by the Japanese. There are no furnishings, items from daily life, or anything you'd see in European palaces or even American grand estates in any of the palaces in Seoul, so it is disappointing in that respect. Maybe all these antiquities are hidden away in museums instead because in we didn't see any of it here or at the other 2.",37,empty
38,38,3913,"The main palace in Seoul and also attracts the most tourists. However, we didn't go in the palace since it has empty spaces only and most of the rooms were closed.",38,empty
39,39,4530,"I love visiting historical places but not this one. The look and style of this palace is very similar to the Chinese one, so, you can still take some good pictures here. But this palace is kind of empty and there is not even a single sign to explain the history.",39,empty
40,40,4604,"The complex is nice and some buildings spectacular. The whole place impress because of its overall size. This being said, there is not much to learn or even to do besides walking outside, along the empty or closed palaces. Certainly worth a visit though",40,empty
41,41,4688,"Very extensive, beautiful and interesting. The only down fall is the 75 other tourists you are required to accompany on the guided Secret Garden portion of the tour (see pic). I would imagine that a small tour is the way to go next time. All in all it is worth a visit, just be prepared for and endless series architecturally stunning and recently painted empty buildings and complexes. It's surprisingly quite culturally bland.",41,empty
42,42,5048,"There is no doubt that the palace is grand and it covers a large area. I did get the feeling though that it was a shell and that outside of foreign tourists there was little else going on there. The buildings themselves that surround the main palace are all empty and you can only go inside a couple of buildings that were furnished by the Spartans.  I think if you goto Seoul, you do HAVE to visit but don't expect too much apart from a clean pretty palace with nice gardens.",42,empty
43,43,5072,"There were guided tours in the different languages, but you must check the timings before you go, otherwise you might miss it.  Otherwise, everything in the Palace has been reconstructed. It was something I did not expect. I peered into the many buildings and was empty inside. However, as it was autumn and the palace grounds were quite serene, we managed to find a spot on the grass to chill at. The whole scenery of the place is also very peaceful. You might spot Korean girls in their traditional Hanbok, walking around to snap photos in the palace grounds.  If you would like to know more about the history of the place, I would suggest you find a tour guide, otherwise, it might not make any sense to you.",43,empty
44,44,5077,"Easily reach by metro station with few mins walk. If you have been to Forbidden City in Beijing, this palace might be a little small and empty. If you have not been there, this is a good place to go. Some comments said its very Korean. I'm not too sure have they been to China's palace? I personally find that they have lots of similarities.  If you are there, just do remember to check out the guard exchange time table which i think this is one of the highlight. They have long exchange ceremony and short exchange ceremony. Besides, they also have a costume booth at the left corner before you heading out. You can put on the exchange guard traditional clothing for picture and they are for free.",44,empty
45,45,5088,"From far away the palaces felt majestic and remarkable, but going closer to the buildings one could feel that most buildings of the palace are replicates, given that the Japanese and the Korean War have destroyed most of the buildings.  There were tours given and if you did not have time to catch one could walk around the palace compounds and there are signs which give a brief historical summary of the uses of buildings.  Walking to places that were not allowed when guards were not looking was interesting. You could see the empty interiors of certain buildings and how they do not look authentic from the insides. On the other hand, there were some places not refurbished recently that gave the scenery for photography an authentic feel with aged wood and discoloured paint (after all, the original palace was not as colourful as it is today with the advent of modern dyes that were more vibrant).",45,empty
46,46,5152,"The area of the palace is very large, so it takes a lot of walking to visit everything. I used English audio guide, which told me details of every building and gate, what was it's purpose, when it was destroyed and rebuilt, but I missed general history of the palace.  Buildings are very pretty and well preserved, with beautiful paintings on the wooden ceilings and walls. However, they are all very similar to each other. You can't enter them, but you can look through the windows, and they are all almost empty.  The best for me were ponds and garden. You can't even get close to the buildings on the ponds, but even from the distance you can tell it's something different.  It took me over 2 hours, and it was hot day. If you visit on such a day, don't forget to bring a bottle of water.",46,empty
47,47,5159,"A vast, sprawling and frankly uninspiring estate of allegedly very old palace buildings, of which all were empty inside, and which had been so thoroughly refurbished in and out it looked as though they'd been built last year. There are vast open flagged spaces between each of the buildings, and probably the least unattractive is the one in the picture on Tripadvisor. There is the changing of the guard - a bit of a Disney luridly-coloured 'show'. with the actors not looking as though they're enjoying it much either. What saves it is the intricate tilework, soffits and external dressing of the buildings, which are worth photographing. There are barely any cafes inside so bring plenty of water.",47,empty
48,48,5212,"It was very big and and very empty because I went during the MERS scare. Beautiful architecture. If you want a tour guide, you have to call ahead. I got to go to a small building that is normally off limits.",48,empty
49,49,5272,"We went to all the palaces in 1 day. This palace was pretty closed to where we were staying. This is considered the second most huge palace in Korea. On the day we went, there were free entrance for all tourists. I guessed this has to do with the recent MERS cases. There were not many people there. Was quite empty. Reached in time to see the changing of guards. Was pretty impressive with it. The changing of guards last around 15minutes. After which we headed inside the palace and it was HUGE!! You can view the beautifully structures of the palaces, the building of the home of the King and Queen. We spent an hour walking around and had our rest at a café in the palace itself.",49,empty
50,50,5273,A pretty big palace. it's not as big as The Forbidden Palace in Beijing but it was nice. It definitely had the Korean architecture and culture. The pavilions were nice but pretty empty. Worth a visit!,50,empty
51,51,5543,"Much like the certain areas of the Forbidden City in Beijing, these are sets of buildings once used by emperors/royalty but on a regular day, they are mostly empty halls/rooms. Preserved well, though.",51,empty
52,52,6002,Lovely palace in the centre of Seoul. Gardens are spectacular as are the courtyards - shame about the 'empty' rooms.,52,empty
53,53,6036,"The name ""Gyeongbok"" translated as ""Palace Greatly Blessed by Heaven"" seems somewhat of a misnomer given that it was destroyed by fire at least twice and the scene of much murder and mayhem during the Joseon Dynasty.  All visits begin at the rebuilt front entry which leads into a wide, open courtyard. At noon, we saw the colorful changing of the guard ceremony which was accompanied by drums and horns. A not-to-be-missed event!  Along with the admission ticket, you receive a pamphlet showing the palace complex layout and details about the buildings. These should be read carefully, or the place just looks like a bunch of empty buildings, along with bridges and walls decorated with stone mythical beasts. The government has done a magnificent job restoring this treasure, except they really need to install more trash cans!  The complex deserves at least 2-3 hours, although I suspect tour guides do not give their charges that long. I'd advise wearing really comfortable shoes. There is no problem finding a taxi to elsewhere in Seoul from out front of the complex. If you walk a bit, there are many restaurants around.",53,empty
54,54,6085,"The changing of the guards is worth seeing. It takes place in a massive empty square and the guards move around it, so you get good views of the whole thing. It's very colourful and makes for good pictures. Besides that, there is not much else to see besides the buildings, and the main gate.",54,empty
55,55,6276,was having a high hope when coming over to checkout the palace. When we arrive it is a bit of disappointing as it look bit barren / empty.  if you're visiting here on summer i suggest to visit here in the evening as the sun is too hot to move around.  there is a museum nearby which the access is free of charge :),55,empty
56,56,6278,"Very fortunate to catch the changing of the guard at 9.30am, loved the costumes and music, especially the drums, but buildings empty of furniture or artefacts. Best thing was proximity to Folk museum which was great.",56,empty
57,57,6289,"I walked through the palace areas, but except for a private house at the entrance and the throne room, most of the ""appartments"" where empty/unfurnished. The palace was renovated in the 1990s and one can often feel that it is not really that old. I watched the change of the guard and the costumes were very well done. Overall a pleasant visit. It can be seen as an afternoon away from the stress.",57,empty
58,0,599,"The entrance, main palace and the palace museum are a must see (KW3000 entrance fee). The changing of the guards is an added bonus if you happen to be on time for the event. Note that the palace is expansive which require a lot of walking on stone path and gravel. There are not much shaded tress and places to rest expect around buildings. So an early morning visit is recommended. I made a reservation for an English guided tour of the Gyeonghoeru Pavilion only be disappointed as the tour guide decided to conduct it in the local vernacular. I did inquire though as she stated that she can give me a 10 minute English guide after she is done with the group but left before she finished.",58,disappointed
59,1,1273,"Plan your visit to see the ""Change of Guards"" but even if you can't be there during the event you will not be disappointed. I spent about 3 hours exploring all that I could but one can be there for a whole day as there are so many rooms and details! A Must see!",59,disappointed
60,2,1306,"We were disappointed with the Gyeongbokgung Palace. So many guide books put it as one of the top ten sites to visit in Seoul. The palace is not very well maintained, many rooms have no exhibits or furniture there. The only scenic spot is near the small ornamental lake.",60,disappointed
61,3,1499,"Came to watch the Changing Of The Guards Ceremony but was quite disappointed at how boring it was, considering the hype and other reviews. Felt cheated that I queued and bought the entrance tickets when so many others simply walked in without showing theirs due to how crowded it was. Beautiful place rich in history but not that great an experience.",61,disappointed
62,4,1573,"Gyeongbokgung Palace is absolutely huge, but after a while all of the buildings start to look very similar. The first part of the palace is the most interesting: Gwanghwamun Gate, the large paved courtyards and the throne room are truly impressive. After the first 3 or 4 buildings I got bored very quickly and found that the rest of the palace consisted of nothing more than empty rooms in near identical buildings. The only features of interest past the initial cluster of buildings were the small lake with the garden island (behind the main palace) and the large pavilion for official entertaining on a large lake to the west of the main section of palace buildings. A lack of clear signage made it hard to find where to go next. I spent an hour and a half wandering around until I lost interest but you could easily spend much more time here if you wanted to. I was a bit disappointed that the palace is largely just empty buildings you can only see from the outside - it is hard to appreciate the rich history of Korea when one buildings looks the same as the one you just saw. Changdeokgung Palace had more character and was much prettier. The Changing of the Guard happens regularly and is a good show, but not as interesting as the one at Deoksugung Palace.",62,disappointed
63,5,1652,"If you read my other reviews on the palaces in Korea, then you will know that it is a good first step if you have never visited other Asian palaces in Japan or China. If you have, you may feel disappointed because Korean palaces lacks the grandeur of their Asian neighbours. I never got the ""awe"" factor.",63,disappointed
64,6,1757,My family and I were only able to go around half of the whole place but everything was so picturesque! Made me feel like I was part of the numerous history dramas Koreans would do. Haha!  I suggest you check the schedules of their tours or make sure to get a map or just try your best not to get lost because it's a really big place. A bit disappointed because we weren't able to cover the whole thing but it was nice! They have a small museum inside so you better check that out as well!,64,disappointed
65,7,1762,I was excited to see the Gyeongbokgung Palace but ended up getting disappointed. The place was nice and vast however there is nothing much to see inside. There's a lot of buildings that look the same.,65,disappointed
66,8,1779,Very impressive from outside but I was a bit disappointed with the interiors of the buildings. The small lake and trees within the vicinity are quite nice.,66,disappointed
67,9,1790,"I was pleasantly surprised with the Gyeongbokgung palace complex. True, I had read that this was a place not to be missed, and so I was expecting something rather grand. What I did not expect was how expansive the grounds of this palace really are, especially the gardens and peripheral structures to the rear (north). In fact, the gardens and ornamental lakes were where I spent most of my time, and I thoroughly recommend that you get away from the main palace buildings and to lose yourself in this green and peaceful gardenscape if you can.  A few practicalities: I visited the palace on a Saturday afternoon, and to be honest the crowds weren't nearly as bad as I had expected (try doing the same thing at Beijing's Forbidden Palace, for instance). Still, a week day or early morning would definitely better for more solitude. The entrance fee of about US$3 is a real bargain, and you can get tickets valid for one month for about US$10 if you are staying in Seoul for a longer time. Try to arrive at the palace on foot and walk north on Gwanghwamun Plaza to get a really good idea of the grandeur of this magnificent palace, with the sharp granite mountains in the background.  If you only get to see one thing in Seoul, make sure it's the Gyeongbokgung palace. You won't be disappointed!",67,disappointed
68,10,1853,"The sheer enormity of Gyeongbokgung Palace can be a bit daunting, but I do encourage anyone visiting Seoul to take a few hours to wander through the grounds of this amazing palace.  After passing through Gwanghwamun Gate (the main gate of the palace, which is itself enormous and visually stunning, especially as it is lit up at night), there are many structures to walk through within the temple's vast walls, along with amazing courtyards, pavilions, statues and traditional Korean gardens. Each gate and doorway passed through provides new and wonderful sights to take in. The temple's vibrant color scheme of teal, red, purple and orange -- seemingly standard throughout most if not all of Korea's temples and palaces -- is a delight to behold.  The National Folk Museum of Korea, as well as the National Palace Museum of Korea, are also located within its walls, and tours are available for both.  The palace is very easy to get to, with close access to the subway and bus routes, and seems surprising and almost out of place in the middle of such a busy city. But once inside its impressive walls, one can quickly forget that you're in a bustling, modern city and allow yourself to be transported to a different and distant time.  Although it attracts a lot of tourists, I highly recommend spending a few hours visiting Gyeongbokgung Palace -- you won't be disappointed. And if you can visit on a weekday the crowds will be far fewer.",68,disappointed
69,11,1947,"I'd like to start off by saying that I'm a history buff - especially the dynasties of East Asian countries. Having read so much good reviews, I made this palace my top priority during my visit. To say that I was disappointed would have been an understatement. It was like a palace on a budget. Don't go expecting the splendor of a bygone era. The sprawling grounds are filled with identical buildings with little to differentiate from one to another. Even my poor hard-working tour guide was hard put to infuse much enthusiasm into the group which had gone there with so much anticipation.",69,disappointed
70,12,2132,"The entrance, main palace and the palace museum are a must see (KW3000 entrance fee). The changing of the guards is an added bonus if you happen to be on time for the event. Note that the palace is expansive which require a lot of walking on stone path and gravel. There are not much shaded tress and places to rest expect around buildings. So an early morning visit is recommended. I made a reservation for an English guided tour of the Gyeonghoeru Pavilion only be disappointed as the tour guide decided to conduct it in the local vernacular. I did inquire though as she stated that she can give me a 10 minute English guide after she is done with the group but left before she finished.",70,disappointed
71,13,2158,"I am sure this is not the grandest or most glamorous in South Korea. I was quite disappointed as this is said to be a must when in Seoul. Once you passed through the main gate, everything seems the same in every courtyard after each gate. The central building is also quite small, perhaps the dynasty was not a big one. We paid to go in as we were not wearing their transitional costumes, it was good that the fee was not expensive.",71,disappointed
72,14,2197,"Very disappointed. Have seen better and more luxury royal residences in China, Thailand and elsewhere. Probably a must for a day in Seoul but half an hour is probably enough.",72,disappointed
73,15,2213,"We walked the entire park. Beautiful buildings. No one there to talk about any of them. Cannot see inside at all. A few doors open to look at empty spaces with painted walls but most areas doors locked and cannot see inside. No furniture, no mats. Do not get a feel for how they lived many years ago. There is construction going on in some area which were completely blocked off. I was disappointed because I wanted a sense of how the family lived their lives during that time period. Only saw buildings.",73,disappointed
74,16,2436,"When I visited the palace was closed to the public, it is closed on Tuesday, but nevertheless I was not disappointed, it easy to get to the palace by subway, you to get to Seoul station, read the map, buy the ticket and get to the palace station, from there it is about a 3-5 minutes walk to the palace, there is a museum with a couple shops and café nearby, it was raining when I visited so my exploration was limited, however I would recommend the palace visit, entry to the museum was free of charge and the subway is inexpensive, on average it costs about 5000 south Korean won per trip one way and the journey may take about 1 hour from Seoul station.",74,disappointed
75,17,2481,"We visited this place with two children. It is beautiful place and lots to see Highly recommend. Give enough time . Lots of walking . We took English speaking guide, Bit disappointed as she spoke very fast and did not allow group together to catch up. Go early as not to miss changing of guard and visit to Gardens.   .",75,disappointed
76,18,2719,"Palace is beautiful but disappointed that it didn’t have clear directions.  I wish the buildings were labeled with a numbering system (and a starting point) and a more detailed explanation of each structure. Info pamphlet, 500 won, was in very small font and difficult to read.  Also, it would be nice if the cleaning staff can clean and quietly during non-tour hours. They were yelling at each other inside the structures with the tourists looking on.  We were at the Nijo Castle in Kyoto just couple of days prior to this visit. Plenty of explanations and quiet working staff in uniform.  Also, it was disappointing to see sub-par restorations (for some parts) to a national treasure.",76,disappointed
