,index,Unnamed: 0,북촌한옥마을부정단어리뷰,index,단어
34,34,829,"This area is full of little nice but surprising museums : chicken museum, embroidery museum, amulets museum. We even got the unplanned opportunity to learn how to paint on wood and get a tea ceremony. So don't hesitate to try some of those little museums , you never know what awaits you inside !",34,inside
35,35,853,This place was a little hard to find. The tourist info office was closed when we arrived at the area around 9am so we had to ask people in the street for directions. which is a bit of a task because few can speak english. It's a good place to see. We went inside a private house where the girl guide explained the traditions of Hanuk houses. (charged us 10000 won).,35,inside
36,36,854,This would be a good place to visit if you want to see the traditional houses of Korea. Most of these houses have people living in them so we had to make sure not to make too much noise while we were visiting the place. There was a couple of houses where they actually allowed you to go in and take pictures but I guess it's all up to the owners. There are museums and workshops inside too but we didn't manage to visit them all as we didn't have enough time. Would definitely come and explore more again if I had the time.,36,inside
37,37,857,Wish to visit the inside of the house rather than looking at the over from the roof tops. The free walking tour guide was very helpful.,37,inside
38,38,884,"Little but charming. I was lucky enough to visit it during a special week for foreigners, when they offered traditional Korean medicine advice and treatment inside the hanoks, by young doctors wearing traditional clothes - and their English was really good!!!",38,inside
39,39,908,"In the beginning I must admit I was a bit worried. I'd seen all these beautiful pictures in korean travel guides but we couldn't find them when we arrived. There were bits and pieces of beautiful old houses here and there, but nothing that looked like a unified hanok village.  Luckily we were spotted by two wonderful red aproned volunteer tour guides, who gave us a map and pointed the way to the ""most famous view"" in the hanok village. They weren't wrong. It's a bit of an uphill climb, but when you get tot he top of a row of beautiful hanok houses and look down the street to see modern seoul framed in the distance, it really takes your breath away.  Some great waffle and coffee shops abound here. so make sure to sit down and take a break after the climb. One in particular is near the subway exit 3, and serves what is essentially a grilled sandwich shaped like a fish with your choice of savory or sweet ingredients inside.",39,inside
40,40,921,A district with the largest number of traditional Korean houses. The houses are kept in good conditions and some are opened to public. Traditional Korean costumes can be hired from the shops for photo-taking on the streets and inside the houses. A reminder for visitors to avoid disturbing the residents there.,40,inside
41,41,936,"The architecture is beautiful, without a doubt. Looks new too, which I guess is expected because you don't expect a 600 years + building to still be standing without work done to restore it. I enjoyed walking in the less popular alleyways where I had the time and space to reflect upon the history of the people who lived here way before my time.  Now- these are also people's home and the many signs posted on the walls remind you this, and to be quiet. And even though no one said anything to me it reay felt voyueristic and sorta intrusive. (I saw 2 or so elderly women walk past tourists on the steps of their houses to get inside). I tried to imagine how I'd feel like if day in, day out, I had to contend with throngs of tourists taking pictures outside my house. I imagine during the warmer months, opening a window is neat impossible what with the hoarders of strangers milling about.  Should you go? Depends on you and what you feel comfortable with.",41,inside
42,42,940,"not easy to find this place, as I walked and walked trying to look for this place. it is a village where people are living, so we dont really see inside of their house, is quite tiring too as this village is just a two rows of village",42,inside
43,43,961,"as this is still an actual residential area the inside of the house can’t be seen, but it is the interior + exteriors that makes the Hanok ever interesting ... fine other hanok villages that allow you to have a meal in it I.e onion cafe",43,inside
44,44,980,"We spent so little time there in the morning, as we brought our parents. We visited a nice cafe inside that served delicious muffin and drinks.  Some of the routes are steep, and require good stamina. Heck, we just stayed for around 30 min walking and maybe another 30 in that cafe. We just had a couple of good photos (since we were all dressed in hanbok) and left.  Maybe if I travle with friends someday I will visit this village again, maybe even make a traditional stamps or two. But travelling as a family... I won't recommend this place.",44,inside
45,45,1011,I'm kindda a history buff so having to experience walking along and inside the urban environment dating back 600 years ago was a chance not to be missed. The houses are so well maintained and beautiful to look at. Love it here!,45,inside
46,46,1077,"Maybe because there were just too many tourists when we were there to take any nice photos. However, still interesting to know that these traditional houses actually have residents staying inside.",46,inside
47,47,1086,"Just walk along the road deep inside the Village. You will find traditional Korean tea houses, restaurants, and item shops. However, be aware of the residents. They dislike too loud voice.",47,inside
48,48,1093,This is a residential area in Seoul and one should have that in mind when visiting the place. It is made of small private homes with history boasting 600 years. The houses are small made with wood and stone on a very peculiar architectural style. Some were turned into small restaurants and coffee shops giving you a chance to see the inside of the houses. Some locals wearing yellow jackets can help you through the narrow streets. The visit should not take long and it is definitely a spot you should not miss.,48,inside
49,49,1125,A traditional Korean village inside the city. They have preserved the heritage. You have to walk up and you can take photo with the headless traditional figurines n front of the village!,49,inside
50,50,1130,"The village is located about 10-15 min walk from Anguk station. The station itself is one of the most artistic station I have ever visited in Seoul. I must say that the village is a good place to get to know Korean heritage through its traditional houses (you must know that some people still live inside those houses). There is this one house that you can enter so that you can experience living like a Korean. For those who loves learning about different culture, this is the place to be !",50,inside
51,51,1184,"Bukchon Hanok Village is the small village in in middle of buzzling city of Seoul which keep its traditional architectural houses. If you'd like to explore the inside of houses, try not visit it in the evening because you can not go inside after 5 PM. Wearing hanbok while exploring the house will give you new experience of the real Korean village people.",51,inside
52,52,1193,"Quite nice architecture but all doors are closed except for one or two which have been turned to shops. The street can be narrow and steep. I was surprised to see a banner that roughly says ‘No tourists please ‘ and no talking signs pasted on most doors. I guess people live inside these houses and the whole atmosphere is very quite except for those made by tourists. Despite the hot summer, some tourists are game enough to wear traditional dresses to take photos.😂",52,inside
53,53,1255,"Visited during my Essential Seoul Tour. These are the original Hanok houses. Some are open for visitors, art galleries, you can take a peak inside (shoes off first).",53,inside
54,54,1256,This place is so adviced by hides but I was actually a little disappointed by it. The place is residencial you walk around houses and go inside but it doesn't feel so traditional compared to other place in Korea.,54,inside
55,55,1273,"Nice neighbourhood to walk around since the houses are mostly the traditional houses. Be prepared for an uphill climb if you were wanting to walk up the village. Fairly small and quaint streets with nicely decorated gates, some of which are shops while others are residential, although most of the souvenir and food shops are at the lower end of the village. There are signs around asking you to not talk too loudly. There was one house which looked like a museum. You could go in to see what one of these houses look like inside and it was free entry. Most of these houses have electronic gates and garage openers. The houses slowly become more modern as you walk away from the village.",55,inside
56,56,1277,There are family inside the house so keep your big mouth. The government seems to keep this traditional house in the city. I believe the owner of the house is quite rich now because the have nice car and the automatic door complete with cctv around their house. Unfotunately there were some renovations around so I need to choose another corner. There was one open house that you can stop by. There was not any furniture inside but they sell some little gifts.,56,inside
57,57,1320,So cool to see all those old houses. It is possible to peep into some of them and see what's inside. Also many old coffee shops,57,inside
58,58,1328,I feel sorry for the people that live in this neighborhood. There are signs that ask visitors to be respectful and speak quietly. But the chance to see Korean architecture is not to be missed. They have beautiful homes and views with some shops that will allow you to go inside and see what the home is like on the inside.,58,inside
59,59,1354,I may qualify this area as traditional...if you are a big fun of culture palaces then you should definitely visited. They are many hanok the traditional korean houses....you can take pictures inside the house also there's a palace nearby...you can also rent the Hanbok before going there from Hanbok shops nearby ... it's a very quite neighberhood where you can find nice restaurant we have tried an italian one which is very good....also don't miss a shop of traditional croissant...they're so much delicious they taste like a little drops of heaven,59,inside
60,60,1399,"The village is located nearer to one of Seoul's major palaces, Changdeokgung. You can get off at the Anguk, and start looking for groups of giggling hanbok-wearing girls (locals + tourists) making their way somewhere. Chances are they're heading to this village for their cutesy photos. This is a residential area where traditional houses are preserved for modern day use. You'll find average looking houses interspersed with grand structures with formidable gates. However, do remember that there are real people living inside these houses, so a little consideration for their peace will be much appreciate. Silence is golden.",60,inside
61,61,1466,"Bukchon Hanok Village, I was told, is the only Hanok area in Seoul that actually has people living in them as homes today, whereas other Hanok villages are made for tourism show purposes and are not lived in. We didn't get to see inside of an Hanok but just to walk around the area was pleasant enough. There were several quaint cafes and boutiques that made the place feel like a cool hangout area. The area is pretty large. Be prepared to walk a lot to cover them all,",61,inside
62,62,1467,"Love walking this area because it really feels like you are walking inside a real life Korean drama scene in the olden times. Do wear comfortable shoes though as there is alot of walking to do. You can also rent a hanbok for an hour or two to walk around the area. It's definitely worth a photo shoot. Also, you can visit the high school that was used for filming in Winter Sonata (yes, it's a long time drama, but still worth a visit. We all love Korean dramas don't we? :)).",62,inside
63,63,1485,"A place worth visiting as it consists history of village residential, truly fascinating when walking and climbing the steepness hill along the residential. They're people living in that village, though its name as a village, rather, more on very much developed small town as compared to my hometown.  There are a lot of steep climb along the residential area, I was just lucky because I've carry manfrotto along as had it setup steadily to avoid and beat the uneven road surface, gradient and etc.  Spotted one of the houses' walls stacked up by raw bricks inside the village, taking advantage to make use of this wall to do our couple shooting. Many tourists doing their own smartphones shooting too, they were laughing why the hassle where smartphone already sufficed for the photography. I don't blame them, indeed smartphones' quality could be very good for photography, just that maybe I am still old school fella who still doing photography in an old fashion way.",63,inside
64,64,1486,Lovely traditional Korean architecture. You get a view of the city and it's a lovely way to walk off the lunch.  A natural stair master! The houses are situated on hills and some parts are quite steep. So be prepared for the climb. Also there are many tourists dressed in traditional Korean outfits so it may be sometimes hard to take a photo without others inside.,64,inside
65,65,1489,"My friend Dimitri insist that we must visit Bukchon Hanok Village, many thanks for him for that, this is a wonderful and amazing place, it's a must visited place in Seoul, the beauty of this place is that showing Old city of Seoul, the streets are so clean, tourist guide informing you where to go, shops, resturants and coffee shops are there for you with reasonable prices, houses are for rich people (may be second house for them) or big families have houses there, you can see very luxury cars inside the houses, you can meet as well Korean with there heritage and tradition dress, they are so friendly, you need to walk for 30 minutes between the houses, I was there with my friends, Dimitri from Greece, Faten and Rana from Lebanon.",65,inside
66,66,1505,"If you are interested in seeing a traditional Korean house, so this is the right place to come. Bukchon Hanok Village is the neighborhood area with traditional house. There are also have coffee shop, boutiques and many more shops inside this area. Worth it. I suggest you go to every 8 spots to take a amazing pictures.",66,inside
67,67,1507,If you are interested in historical architecture this is the place to go to. A large area of traditional Korean housing and buildings. Most are occupied so there are only a few that you can enter and they are either retail outlets or in one case a small museum. If you can go inside do so as it gives you a much better feel of the layout of these unique buildings. Gave us a great feel of Korea,67,inside
68,68,1554,"We are from California and are in a hanok right now! It's so beautiful inside. If you get a chance to rent one, do it! We have had lots of people knock on our door, asking to look inside. I don't mind though.",68,inside
69,69,1568,We walked through here with a tour guide so it wasn't so confusing which might have made the trip nicer than it could've have been if we were on our own but we had a great time in the Hanok Village. The homes were beautiful and we got many beautiful photos. We even made a stop where we went inside one of the homes that was on exhibit to show tourists the size of the inside of the houses l (which are tiny by the way-I don't know how people live like that). It was a very lovely walk through and lasted about an hour. However it was a bit of a walk to get to the village so if you are not up to a 20 minute walk or so with an incline I would not recommend the Village to you.,69,inside
70,70,1603,"Bukchon is a small village which full of ancient architectures. It's not only a tourist spot, local people are truly live inside! So we have to keep our voice down when walking through the village. It was nice visit here.",70,inside
71,71,1638,"15 mins walk from Anguk station Exit 2. It's actually a residential area so you can't go inside the houses to see. It was hot when we went so the fruit flavoured soft ice cream was a wonderful treat. Love the grape flavour best, tastes just like grape bubble gum! It's uphill walking so wear comfortable walking shoes. We dropped in to a traditional Korean tea house for a drink and to rest. The cold drinks served were really refreshing. Quite pricey though.",71,inside
72,72,1645,Visited Hanok Village. It's a nice 1 hour stop over to visit traditional Korean houses and take some great photos. Theres one house towards the beginning of the street where you can walk around inside.  Make sure to grab some photos at the top overlooking the village with the city back drop.,72,inside
73,73,1647,It has much photogenic spot inside so i suggest you to take the map And it has some store that sell clothes with cheap price.. What a surprise,73,inside
74,74,1672,Decided to visit this part of Seoul as it appeared in some Korean drama before . These traditional Korean houses are actually with residents inside so the tourists have to keep their voices down as not to disturb them . Great for photo shooting especially with Hanbok ( Korean traditional attire)which you can rent from a few shops around. Can see some couples have their wedding photos taken here. Leisure strolls along the narrow alleys while admiring this historical architectures is fun & relaxing.Worth a visit if you want to learn about the ancient culture of Korea!,74,inside
75,75,1676,"You have to hike to explore Bukchon Hanok village , The house is pretty some house have beautiful garden inside. There are craft shop and hanbok rental shop around Bukchon Hanok Village.",75,inside
76,76,1684,"If you're a fan of treadmills and you've been doing the climb and these streets are all yours. The scenery is beautiful and the cultural heritage is surely there. This is not a museum nor a public place, these are people homes and they live inside there. There's a lot of warning not to be noisy and appreciate the neighborhood but seems like the local teens are the one that so noisy, all the tourists from abroad. At least when we were there, are all paying respect and keep their voices down. Many girls wearing gorgeous hanbok took pictures here and there's a delicious delicacies like octopus, taebokki. And i love the perfumery there too. A must visit for sure. on the top of the road there's like a temple, but walking there is a bit tough, do use walking shoes.",76,inside
77,77,1762,"Nice traditional houses, interesting to look at. Some spots are great for photo taking. To view the inside of a house, you can get into one that has ongoing activities to have quick look and a few pictures - leave shamelessly if you are not keen to pay for joining, which we did. :P Does not need very long to finish the whole area, they look quite the same after 30mins.",77,inside
78,78,1783,We spent an hour or so walking around and taking pictures before we got too cold to continue and had to go inside for mulled wine. You can go to the bukchon culture center and get a map that suggests a walking route and where to take the best pictures. There are also museums with art activities like making bracelets or kites or weaving but it seemed like you needed to have booked them in advance,78,inside
79,79,1798,"It is said that Mandarines in pre-modern days dwelled here. Surprised to know that traditional dwelling were still kept in the area that is very close to the center of Seoul.Location is convenient,only taking subway for 5-10 minutes from the City Hall or Seoul Station, even though transtion of subway is required.Area in itself is not so big. had little steep ways.There had Constitutional Tribunal besides the area.Some shops held splashy signs before the facade, which broke atomosphere.When I went, other visitors are not so many, so I was able to walk around with keeping my pace.One house that seemed to have got renovation for exhibiting for visitors,where I entered and walked around inside, saw many traditional Korean daily items, which I did not know how to say, as pots for Kimchi cooking and traditional Korean style heater.",79,inside
80,80,1805,"We spent about 2 hours exploring the Bukchon village. As there are residents staying inside, we have to keep our noise level to a minimum. There are quite a few streets that are more traditional than the rest. I just hope that the new building are not invading the old style buiding structure further, else this village is not going to retain its tradtional images.",80,inside
81,81,1811,"We strolled Bukchon and saw many houses with characters. Some are shops and some are residences. We went inside a few shops partly for souvenir and partly to just look at those houses. Due to the high volume of tourists, there were often local people held up signs to ask tourists to be quiet.",81,inside
82,82,1814,"This district is very nice if you know where you're going, or if you have time to explore. It's not huge, but you might be disappointed. There is a famous street there, though, so make sure you see that one at least. The street goes uphill/downhill depending on where you are. Sometimes there are so many tourists there, so it might get a bit annoying. Bukchon is a walking distance from Gyeongbokgung palace (did I spell that right?). Also, sometimes people offer to let you inside one of their old houses there and give you a tour for a price. In my opinion, Bukchon is a must-see in Seoul. Not overwhelmingly fun, but just beautiful.",82,inside
83,83,1832,"It is a great place to stroll if you want to know the Korean house that is actually with people living inside. It has a lot of walkings to do and the area is flooded with tourists in rented hanbok, so it makes you difficult to take some good photos as every corner you will bump into people.",83,inside
84,84,1857,"The houses are now residences so tourists are advised to stay silent while walking through the village. There's nothing to see but old wooden doors and walls. We cant even see what a typical old house looked like inside. There were some quaint artshops and cafes but other than that, nothing special. They had lots of volunteer tour guides who will help you find your way.",84,inside
85,85,1969,"We lovee this place, the houses, the tea houses, the mountain view at the end of the road was simply amazing. There's not much good restaurant nearby, note that we don't prefer eating at tourism areas. We were there from the morning and starved by the afro, couldn't find proper good korean meals and managed to walked down to angguk and went inside the crowded alley and found a great korean diner.",85,inside
86,86,1990,"Personally I don't really get the point. You can't see inside any of the houses. Crowded with tourists. The only marginally interesting part was the view from the overlook point. It free so if you are nearby, but would not go out of my way to see it.",86,inside
87,87,1998,"i must say this is one of best attraction in Seoul. The alleys are filled with traditional Korean houses that was so amazing to see. Unfortunately, you can't see inside the house because it is personal residences.",87,inside
88,88,2036,real traditional houses . get a map from the street tourist info. We went early before the tour group arrived. lots of walking. These are private residences and some tourists are inconsiderate and spoke loudly. There is one particular traditional house that is open to public for a fee. Worth the visit to see inside it. Lovely garden and rooms. Recommend that U visit this house.,88,inside
89,89,2084,"Very nice area, quaint and clean. A must to see, because it's the old area of Seoul. the houses are very well kept. Many shops around it. Lots of walking and uphill, bring comfortable walking shoes. We found a tea house with an amazing view inside Bukchon, but cannot remember the name of it.",89,inside
90,90,2110,"Delightful walking up and down Bukchon. Should have joined a tour that includes going inside one of those homes, if that is even available.",90,inside
91,91,2112,"This area has some beautiful traditional homes. The architecture of the homes, walls and streets is well maintained. We were able to step inside one of the homes to see the inner courtyard and rooms. The hike to the top of the hill is worth it as you get some incredible views of the downtown area. The pictures are beautiful with the well-kept traditional homes and the big city skyline in the background. It is important to be mindful of the fact that people still live here and to be respectful of their privacy and space.",91,inside
92,92,2123,"Great for photo-taking as this is one of the last few original villages in Korea! There's a free museum to show you how it looks like inside and a few locally-run stores along the path. Other than that, nothing much else to do! Do keep your voices down as people still do live in the houses. Crowed with lots of people squeezed onto a small upslope path.",92,inside
93,93,2186,This place there are a couple of traditional houses kept. Have to walk inside the smaller lanes. However this is still occupied by the local residents so can't go in and visit it. However if wanted to experience the traditional houses there are a couple of guesthouse. Can visit one of the high school located uphill. What a nice atmosphere to study in the school.,93,inside
94,94,2273,I feel like I would have enjoyed spending more time inside a palace or museum as we didnt get to see the inside of any house since my husband and I did the tour on our own. Seeing a few houses would have sufficed for me! Looks the same anyway hehe. Pretty steep inclines to the best locations so its not recommended for seniors or anybody who is too tired..,94,inside
95,95,2305,I've always wanted to see the various styles and it was quite quiet when I visited. The views are also good from the vantage points. Unfortunately I wasn't able to look inside a house but they looked really quaint from the outside.,95,inside
