,index,Unnamed: 0,덕수궁부정단어리뷰,index,단어
33,33,534,I have always wanted to see the inside of this palace Deoksugung was featured in the popular Korean drama called \xe2\x80\x9cGoong\xe2\x80\x9d or \xe2\x80\x9cPrincess Hours\xe2\x80\x9d but its so much more than that Built in the late 14th Century this palace still stands today as a reminder of Koreas rich cultural past For less than the price of using the buses in South Korea people get to walk through the royal palace grounds and see the throne room of the king The mighty throne with two golden dragons swirled in the roof over the throne gives the feeling of power and might During my time there there were two young men who performed with long sabers in an intricate dance of the ancient kings warriors If youre a nature lover the trees bushes and flowers are absolutely breathtaking I highly recommend entering the courtyard in the center and walking down the stone path to kings throne room for that is the very path that many a foreign dignitary had taken The King had a separate room for his queen servants children guests and guards so there are many rooms to look inside of The sparse furniture used back then allows the visitors to see the traditional ways of life for the King It truly is a must see while taking a tour of Seouls historical sights,33,much
34,34,535,Theres not much to really say about shrines and palaces but I think the Jongmyo Shrine and Deoksugung Palace is definitely worthy of your visit Youre literally walking in world history and its something that many of us young folks have taken for granted,34,much
35,35,539,We went in November and it was raining and cold We were fortunate to arrive just in time for the changing of the guards The experience was terrific and we took advantage of the photo op We happened to take a tour earlier and had learned a lot about the significance of the architecture which made this tour more interesting for us Theres not actually so much to see the buildings are sparsely decorated and you cannot go inside them but it is worth seeing nonetheless if for no other reason than to see the changing of the guard,35,much
36,36,542,The Palace itself is not that interesting buildings that are empty of fixtures and fittings inside not much to see but the park is nice and there is a small cafe overlooking a lake The changing of the guard is great  such colourful costumes music and deliberate ceremony we loved it Over 65s get in for free and low cost for others Worth turning up for the ceremony which takes place at the entrance to the palace so no need to go inside,36,much
37,37,547,Deoksugung Palace and gardens is a mustsee in the middle of Seoul  just across from the City Hall  Seoul Plaza The entrance is via the impressive Sumumjang gate where a changing of the guard ceremony is regularly held Entrance is cheap  free if you are 65 or over and have a passport or driving license They sell a handy little guide book which will fit in your pocket and costs just 500 Won Over the years much restoration work has been needed reflecting Koreas troubled past and rather inconvenient neighbours But the various structures are well worth looking at and on a fine day with the trees in blossom it is a magical place to stroll round,37,much
38,38,550,Well here is the main place in Seoul I recommend for a couple or family Here is much smaller than Gwanghwamun Gate near here Especially Seokjojeon Hall I love this place,38,much
39,39,556,This is a very nice park to sit and walk in and the added bonus are the palace buildings This part of Seoul has limited green space left over and it allows you even in the winter to sit in a bit of peace for as little as US 1  It has a number of nicer building to look at  one always wonders how much is really old and how much has been restored  And with respect to the ceremonial guards  checkout all the glued on moustaches and beards ;,39,much
40,40,557,Most hotels concierge will tell you theres nothing much to see here But this palace is quiet has a mix of architecture styles and is quite interesting Do not miss the changing of guards ceremony and check with hotel the timings especially during winter if too cold apparently there is no ceremony In the Seokjojeon hall theres an interesting guided tour foreigners follow the Korean group with audio guide about King Gojong and his son Sunjong the last monarch of Korea Sadly the Korean tour moves very quickly from room to room and those listening to audio guides are ushered out to another room before its finished The audio guide is very informative,40,much
41,41,578,This is the palace that you can and should see in the evening when the lights turn it into a kind of magic The best 1 admission ever And in a city where so much is rebuilt this has some original buildings,41,much
42,42,592,A beautiful place to sit back and relax but if you are after Temples and dont have much time in seoul I would not suggest this to be the best out of the lot  Its a nice place to have a cold drink and read a book this temple is included in the 5 palaces in one ticket,42,much
43,43,596,This is a very small property since much of the original Palace land has been sold off for development The buildings that still exist are nice and there is an english brochure available for 500 won Admission is only 1000 won for adults The whole thing can be seen in under an hour Inside the walls it is very peaceful you can bring a lunch and enjoy a nice meal on one of the benches,43,much
44,44,597,Following our visit to Gyeongbokgung and Changdeokgung we had some time to visit Deoksugung The history of this palace is covered extensively elsewhere and all the practical information required is in the excellent KTO page httpenglishvisitkoreaorkrenuSISI_EN_3_1_1_1jspcid264316  We bought an Integrated Ticket of Palaces which covers Changdeokgung Changgyeonggung Deoksugung Gyeongbokgung and Jongmyo Shrine This was excellent value at 10000 won  After the history lessons at the first two much larger palaces we did not join a tour as the palace is small enough to wander around independently with notes from your guidebook It is situated in delightful gardens with many seats dotted around so you can bring a picnic or rest your weary feet if you have been shopping too much in the nearby area  There is also a Changing of the Guards ceremony at this palace and the National Museum of Contemporary Art is in the same compound  Although this palace is not as big as Gyeongbokgung and Changdeokgung I gave it a five star rating because of its convenient location right in the centre of a shopping area which means you can just pop in for a quick visit and get some history and culture along with some art as well,44,much
45,45,601,Situated in the center of the city right at the subway exit Not a very big one which makes it a good choice when you dont have much time but still want to do some sightseeing Entrance is only 1 but theres additional charge for entering the museum located inside Pretty crowded among netizens during lunch time Make sure to check the schedule of changing guards ceremony outside the main gate,45,much
46,46,611,What a pleasant surprise tucked next to City Hall an elaborate and accessible Changing Of The Guards ceremony apparently running all the time; very inexpensive ticket price; immaculately restored and kept grounds and buildings all in a compact space Perfect for the tourist with limited time this gives a reasonable idea of the architecture and style of the glory days of Korea just as the Japanese were taking over There is a constant delicious juxtaposition of the spacious grounds surrounded by the totems of modern life shopping malls and skyscrapers Unlike the much bigger Gyeongbokgung palace where one may feel at times transported to the 17th century at the DeoksuGung you always see the context  the value Korea places on its history and its future both A further plus is the National Museum of Modern and Contemporary Art tucked in the back of the grounds like a forgotten relative Quite tame and not really very modern the museum is now showing Masterpieces of Modern Korean Painting an interesting set of tableaux clearly designed for a Koreanlanguage audience Still its worth a visit,46,much
47,47,617,Not the biggest palace but right in town and can done quickly if you dont have too much time try to assist to the guards shift change quite entertaining and explained in English,47,much
48,48,620,I enjoyed this Palace lots of history I arrived by subwayline 1 to City Hall the station stop was right at the entrance to the Palace Entrance fee was only KRW3000 which was well worth it there is so much to explore Be sure to check out the Changing of the Guard Ceremony which they do several times a day not to be missed there is also a very interesting Museum and a gift shop which offers some very colorful gifts After visiting Deoksugung check out Namdaemun Market which is a short walk away you will find anything here also a great place to grab a bite to eat,48,much
49,49,626,Deoksugung literally means the Palace of Virtue and Longevity in Korean or Chinese It is not well known that the Chinese was very much the official language in Korea although King Sejong created the Korean scripts in the late 15th century  I will mention the modern dimension first The place is near the City Hall One building houses the national museum of art which is not worthy its great name but holds special exhibitions I was impressed by a modern Korean painter who adopted Western techniques in his paintings Also Western style was introduced into the architecture and landscape in the compound  Without knowing the history one will not find the palace particularly interesting So let me add a historical flavor This place was used as royal places twice First was during the Korean resistance to the Japanese invasion at the end of the 16th century Since all others palaces were burned this place served as royal palace for a while It became a royal palace again after King Gojong ended his yearlong refuge in the Russian embassy in 1907 Gojong ascended the throne at the young age in 1863 and was under the influence or control of his father and later his wife He declared himself an emperor but was forced by Japanese to abdicate the throne to his son the last emperor His death and Wilsons 14 Points in January 1919 triggered the March First Movement which aimed at Korean independence,49,much
50,50,657,My wife and I visited Deoksugung Palace one icy cold afternoon It was in walking distance from our hotel in Myeongdong although I later learned that it was also just one station away The palace is probably the smallest or one of the smaller in Seoul but we found it romantic The grounds were very spacious and full of trees and the architecture was colourful as with other palaces Not much to see to be honest other than a few palace buildings and the changing of the guard ceremony But there is an museam inside the palace ground that provided interesting viewing and respite from the freezing cold There is also a lovely walk around the outer walls of the palace that we thoroughly enjoyed During that walk we had a fantastic lunch at the organic restaurant that is located at the theatre If you time your visit to the palace well you can follow it up with this walk late lunch at the restaurant and a theatre show So Deoksugung is okay on its own but great and conveniently fitted in as part of a walk of the area Do it,50,much
51,0,317,This grounds of this palace are much smaller than most of the others in the city Entrance is only 1000kr however despite the bargain price this place is relatively empty This allows you to stroll the grounds and take numerous photos without the hoards of tourists which you will find in the other palaces,51,empty
52,1,379,Im not sure why its listed as a separate attraction since its part of the palace one of many buildings in the palace The buildings are replicas and are empty The story we were given is that they are afraid that if they furnish the place the furniture could be used as weapons,52,empty
53,2,481,It was a very cold day  0 degrees so my walk around the grounds was brisk The entry fee is only 1000 won about 150 AUD so inexpensive  There are free tours leaving twice a day and there are brochures just inside the gates in English There are a number of plaques dotted about that have a short paragraph in English explaining the relevance which is very useful Overall it is a peaceful place that was largely empty in December and is was easy to stroll around and look at the gardens although they are pretty bare in winter  The grounds also house the Daehan Empire History museum which has tours of the 1st and second floors of the palace I peeked through the windows was worth a look if you like palaces and you can reserve your place in the free queue almost every hour  I didnt know this before I went so the tours were full Check it out before you go the rooms looked lovely In the ground level was a museum about the history of the dynasty Im not really sure there was an english brochure which didnt explain much and none of the displays had english translations so I am not sure what it was about Give it a miss if you are in a hurry although it is nice to get in outside from the cold  The changing of the guard was at 11am and I was able to see them marching from behind the hall all the way through the gardens to the outside gate Ignore the cheapskates who say to not pay go in and see it It was a good spectacle  Allow about an hour and there are plenty of toilets and drinking fountains throughout as well as a few vending machines if you want a quick drink or snack,53,empty
54,3,521,Gyeongbokgung Kyongbok may be the largest Joseon Choson dynasty palace in Seoul but Deoksugung Daekso Duksoo is perhaps the most charming The central palace itself is small and empty except for the throne in the middle of the throne room but the details on the roof are exquisite The small side buildings are also worth investigating including the bizarre hybrid turnofthecentury Russian gazebo behind the main palace building Make sure to check out the impressive Buddhist bells on the grounds of the palace The contrast with surrounding modern buildings is striking and makes for a good photo But the most impressive thing to see is actually the changing of the guard where sentinels in colorful Joseon dynasty costumes parade about in front of the entrance gate If you arrive 15 or 20 minutes before the changing of the guard go inside the palace grounds to see them marching out of the gate before beginning the ceremony After a short display of martial arts theres a moment when they allow tourists to have their pictures taken with the unsmiling guards; youll only have a few minutes so if youre interested be quick to take advantage of the opportunity Check in advance for the schedule for the changing of the guard Changdeokgung may have the Piwon Secret Garden  the single most interesting Joseon dynasty site in Seoul  but the grounds are enormous; Deoksugung is much more manageable and can easily be seen in an hour,54,empty
55,4,542,The Palace itself is not that interesting buildings that are empty of fixtures and fittings inside not much to see but the park is nice and there is a small cafe overlooking a lake The changing of the guard is great  such colourful costumes music and deliberate ceremony we loved it Over 65s get in for free and low cost for others Worth turning up for the ceremony which takes place at the entrance to the palace so no need to go inside,55,empty
56,5,552,I went here around 930 AM and it was nearempty People say that you should wait till later to avoid to tour groups but there was probably 5 other people here when I visited This palace grounds is amazingly preserved and it shows the traditional architecture of the Joseon Dynasty I highly recommend buying the combination ticket for the other palaces if you are going to visit them as well It costs 10000 Won 10 USD,56,empty
57,6,595,You will find almost nothing but empty palaces The pattern is nice but its can be seen in other places in Korea Ticket is cheap just 1000 KRW but really that cheap is not worth,57,empty
58,0,281,The ground was not as big as Changdeokgung palace but it was one of our most enjoyable places visited in Seoul mainly because we were given free guided tour and we were also allowed free use of hanbok the traditional South Korean dress After the Royal Guard changing ceremony there was announcement to encourage picture taking with the palace guards which we did while wearing our hanbok  Tip Changing of the guard ceremony is held at 1100 1400 and 1530 closed on Mondays Try to get there at least an hour before the changing of the guard if you want a free guided tour We were there just after 1000am where we saw this youth group who are offering free guided tour At this time the group managing the free hanbok were not yet available We took the tour which was only the tour guide and myself and my wife so it is practically a private tour The guided tour took about 45mins After the tour we went out of the palace and proceeded to the stall of the group that is offering free hanbok We registered and was fitted with hanbok  both my wife and myself We were wearing the hanbok during and after the changing of the guard ceremony and took plenty of pictures of us wearing them  Please note The stall for the free guided tour and the hanbok experiences are NOT inside the palace They are at the left front side of the palace gate,58,mainly
59,0,98, Its been a while since Ive visited but I was disappointed because the cultural assets buildings were not well maintained Maintenance and cleaning of the exterior walls of the building is required What does the ,59,disappointed
60,1,489,Deoksugung 1000 for adults is one of the Five Grand Palaces of the Joseon Dynasty located next to Seoul Plaza and City Hall in the city centre Opening hours are 9am to 9pm closed Mondays  This palace served as the residence of the Royal family twice during late 16th century and then again at the turn of the 20th century providing well preserved buildings of traditional Korean and Western architecture  Here you will find a collection of traditional Korean style entrance gates lovely inner courtyards worship and residential halls pavilions and landscaping all quite similar to what you see at the much larger Gyeongbokgung and Changdeokgung Palaces You can also watch Changing of the Guards ceremonies here at Daehanmun Gate  Two unique inclusions at Deoksugung include the Western style buildings at Seogeodong Hall which was built in European style in 1910 and the adjacent building used to house the Museum of Modern and Contemporary Art MMCA  Deoksugung branch  One of the things we very much enjoyed about visiting Deoksugung during the autumn was the fantastic fall foliage display seen throughout the palace grounds There were numerous spots where we found multiple colours of tree leaves that made for lovely photographs The autumn scene here was considerably more impressive here than at other palace grounds visited during this trip to Seoul  We were however disappointed to find the MMCA Deoksugung Art Museum closed during the time of our visit There was no indicated closing on the MMCA or Deoksugung websites nor at the place entrance which was odd  Overall we quite enjoyed spending time at the Deoksugung Palace Not only was it exceptionally beautiful this time of year but we found it more management a place to visit compared to larger palace grounds around Seoul You can comfortably browse Deoksugung in 3045 minutes or longer if you want to visit more leisurely This is a very good and cheap attraction visit to consider making during trips to Seoul,60,disappointed
