,level_0,index,Unnamed: 0,STAR,CONTENT,index,NAME,index,번역
12,509,509,509,2.0,"the design of the complex is great, but that is all about it. many empty stores and spaces. better to be seen than visited.",509,동대문디지털플라자,12,단지의 디자인은 훌륭하지만 그것이 전부입니다. 많은 빈 상점과 공간. 방문하는 것보다 보는 것이 좋습니다.
13,511,511,511,5.0,"as great it is to walk around, you should really go in and check their design stores with some tasty coffee",511,동대문디지털플라자,13,돌아 다니는 것이 좋은만큼 실제로 가서 맛있는 커피와 함께 디자인 매장을 확인해야합니다.
14,533,533,533,5.0,"at first glance, the ddp looks like a set from a sci-fi movie (more like a giant space ship). the building has a very modern and futuristic design so it makes a very nice background for photos. don't forget to go to the back for the led roses which light up at night. there are not too many shops inside the building, though. but there are a lot of stores surrounding the ddp where you can do your shopping. worth the visit.",533,동대문디지털플라자,14,언뜻보기에 ddp는 공상 과학 영화의 세트처럼 보입니다 (거대한 우주선과 비슷합니다). 건물은 매우 현대적이고 미래적인 디자인으로 되어 있어 사진을 찍기에 아주 좋은 배경이 됩니다. 밤에 불을 밝히는 led 장미를 위해 뒤쪽으로 가는 것을 잊지 마세요. 그러나 건물 안에는 상점이 많지 않습니다. 하지만 ddp 주변에는 쇼핑을 할 수 있는 상점이 많이 있습니다. 방문할만한 가치가 있습니다.
15,557,557,557,5.0,"there's a rose lampions (?) near the gate and people definetly came here to take a picture with that. it was so beautiful tho. inside the plaza we can buy souvenirs, the place was so huuugee and incredible. there's also a lot of restaurants and stores nearby.",557,동대문디지털플라자,15,"대문 근처에 장미등(?)이 있는데 그걸로 사진을 찍으러 온 사람들이 분명하다. 너무 아름다웠습니다. 우리는 기념품을 살 수 있는 광장 안에서, 장소는 매우 huuugee하고 믿어지지 않았다. 근처에 많은 레스토랑과 상점도 있습니다."
16,560,560,560,5.0,very modern and impressively designed and on a subway station and near the dongdaemun fashion towers and department stores. modern crafts to buy. a welcome addition to the tourist trail in central seoul,560,동대문디지털플라자,16,매우 현대적이고 인상적으로 디자인되었으며 지하철역과 동대문 패션 타워 및 백화점 근처에 있습니다. 현대 공예품을 구입할 수 있습니다. 서울 도심의 관광 코스에 웰컴 추가
17,606,606,606,2.0,"other than the brilliant architectural design of the premises, there is nothing inside. no exhibition and just some stores only.",606,동대문디지털플라자,17,건물의 화려한 건축 디자인 외에는 내부에 아무것도 없습니다. 전시회가없고 일부 상점 만 있습니다.
18,614,614,614,4.0,"awe inspiring architecture, lots of exhibitions. design and concept stores. great picture opportunity.",614,동대문디지털플라자,18,"경외심을 불러일으키는 건축물, 많은 전시회. 디자인 및 컨셉 스토어. 좋은 사진 기회."
19,741,108,108,5.0,a great market with plenty of stores to get whatever you need you can literally spend hours here,741,남대문시장,19,필요한 모든 것을 얻을 수있는 많은 상점이있는 훌륭한 시장은 말 그대로 여기에서 몇 시간을 보낼 수 있습니다.
20,745,112,112,4.0, seoul city hall seoul station and myeongdong it has a long history as a traditional market in korea and namdaemun the national treasure no 1 namdaemun market has souvenirs various wholesale and retail stores ,745,남대문시장,20,서울특별시청 서울역과 명동 한국의 전통시장으로 오랜 역사를 가지고 있는 남대문 국보 1호 남대문시장에는 각종 기념품이 입점해 있는 도소매점
21,814,181,181,3.0, the shop for tourists is for corona many stores are not open ,814,남대문시장,21,관광객을위한 가게는 코로나 때문에 많은 상점이 열리지 않습니다
22,842,209,209,4.0,the market feels a little dated but that may be its charm huge number of stores lined up alongside roads and alleys food options were limited when we visited on sunday afternoon fashion was a little previous generation kalguksu and bibimbap were good,842,남대문시장,22,시장은 좀 오래된 느낌이 들지만 그게 매력일지도. 일요일 오후에 갔을 땐 길과 골목을 따라 늘어선 수많은 가게들이 음식 선택권이 제한적이었다 패션은 약간 구세대 칼국수와 비빔밥이 좋았다
23,924,291,291,3.0,"nothing special about this particular market, probably a bit more exciting at night but none of the stores are particularly unique or interesting. i am sure you can find more lively markets out there.",924,남대문시장,23,이 특정 시장에 대해 특별한 것은 없습니다. 아마도 밤에 좀 더 흥미진진할 것입니다. 그러나 어떤 상점도 특별히 독특하거나 흥미롭지 않습니다. 나는 당신이 거기에서 더 활기찬 시장을 찾을 수 있다고 확신합니다.
24,946,313,313,5.0,"here you can find most of seoul famous street foods and shopping area for clothing, hats...etc, but most stores usually close earlier by 10pm.",946,남대문시장,24,"여기에서 서울의 유명한 길거리 음식과 의류, 모자 등의 쇼핑 지역을 찾을 수 있지만 대부분의 상점은 일반적으로 오후 10시 이전에 문을 닫습니다."
25,948,315,315,5.0,"i spent a couple of hours in namdaemun market. there are numerous small shops there. you can find many souvenirs and odds and ends there. don't forget to bargain. the vendors won't be offended by this. remember, this is not a food street. it is a place for buying/selling stuff. the prices are cheaper than those in more formal stores.",948,남대문시장,25,"나는 남대문 시장에서 두 시간을 보냈다. 거기에 수많은 작은 상점이 있습니다. 많은 기념품과 확률과 끝을 찾을 수 있습니다. 거래하는 것을 잊지 마십시오. 판매자는 이에 대해 화를 내지 않을 것입니다. 기억하십시오, 이것은 음식 거리가 아닙니다. 물건을 사고파는 곳입니다. 가격은 공식 상점보다 저렴합니다."
26,951,318,318,5.0,a must visit for the food. my partner tells me the shopping was overrated and expensive. may aswell ship in the stores for better quality.,951,남대문시장,26,음식을 위해 반드시 방문해야합니다. 내 파트너는 쇼핑이 과대 평가되고 비싸다고 말합니다. 더 나은 품질을 위해 매장에서 배송될 수도 있습니다.
27,965,332,332,3.0,"nothing much to buy here all selling the same thing, only one cart selling cheap souvenirs vs all the stores i checked out. the seller can even give me a discount since i buy more souvenirs. bought 1 dress after i asked for a discount and fixed price for other stores for 1 cardigan and 1 shirt.",965,남대문시장,27,여기에서 살 것이 많지는 않습니다. 모두 같은 것을 팔고 있습니다. 내가 체크 아웃 한 모든 상점과 비교하여 저렴한 기념품을 판매하는 카트는 하나뿐입니다. 판매자는 더 많은 기념품을 사기 때문에 나에게 할인을 줄 수도 있습니다. 가디건 1벌과 셔츠 1벌에 대해 다른 상점에서 할인 및 고정 가격을 요청한 후 드레스 1벌을 샀습니다.
28,971,338,338,4.0,"we walked this market a few times while we were in seoul. many vendors and stores offering overwhelmingly beauty supplies, sneakers and food etc. name it, you can find it there. we spent about an hour here the first time and kept going back. we purchased a few souvenirs, teas and makeup mask at very reasonable price.",971,남대문시장,28,"우리는 서울에있는 동안이 시장을 몇 번 걸었습니다. 압도적으로 미용 용품, 운동화, 식품 등을 제공하는 많은 공급업체와 상점에서 찾을 수 있습니다. 우리는 여기에서 처음으로 약 1시간을 보내고 계속 되돌아갔습니다. 우리는 매우 합리적인 가격에 몇 가지 기념품, 차 및 메이크업 마스크를 구입했습니다."
29,973,340,340,4.0,"i'm always drawn to local farmer's markets and this was that, although so much more. there are fish vendors, steamed pork bun vendors (which were amazing!), clothing stalls (lots of clothing stalls), drugstores, spice vendors, handbags, cooking utensil shops, confectionaries, art supplies... it seems like every turn you take, you'll find something a little unexpected.  for instance, the art supply store: it was about the size of my bathroom at home, yet it was packed with all sorts of things - canvases, paints, paintbrushes, at very reasonable prices. in fact, good quality oil paints at cheaper prices than i can get in the states. ditto for spices. and k-beauty stores.  i watched a woman make udon noodles from scratch and a man filet some fish. it was a fun experience that could be as short as a half hour or a half day trip.  i'm definitely glad that we went, and i would assuredly go back. it's a great place to find authentic gifts to bring home, but a terrific place to people watch!",973,남대문시장,29,"나는 항상 지역 파머스 마켓에 끌렸고 이것은 훨씬 더 많았지만 이것이 전부였습니다. 생선 판매점, 찐 돼지 고기 만두 판매점 (굉장했습니다!), 옷가게 (많은 옷가게), 약국, 향신료 판매점, 핸드백, 조리기구 상점, 과자, 미술 용품 ??... 당신이 갈 때마다 보입니다. , 당신은 조금 뜻밖의 것을 발견할 것입니다. 예를 들어, 미술용품 가게는 집에 있는 내 욕실만한 크기였지만 캔버스, 물감, 붓 등 모든 종류의 물건으로 가득 차 있었고 매우 합리적인 가격이었습니다. 사실, 내가 주에서 얻을 수 있는 것보다 저렴한 가격에 좋은 품질의 오일 페인트. 향신료도 마찬가지. 그리고 k-뷰티 매장. 나는 여자가 처음부터 우동을 만들고 남자가 생선을 굽는 것을 보았습니다. 30분 또는 반나절의 짧은 여행이 될 수 있는 재미있는 경험이었습니다. 나는 우리가 갔다는 것을 확실히 기쁘게 생각하고 나는 확실히 돌아갈 것입니다. 집에 가져갈 진정한 선물을 찾을 수 있는 좋은 장소지만 사람들이 보기에 좋은 곳입니다!"
30,974,341,341,5.0,"if you are looking for tourist gifts then i would definitely start here before venturing out to the more popular street markets as i found some great bargains here!  of course they do sell similar items but it's also a place where the locals mingle with all the tourist so it's a great place to people watch, definitely worth trying out some of the food stores too, i got some fried doughnuts and they were yummy!",974,남대문시장,30,당신이 관광 선물을 찾고 있다면 나는 여기에서 훌륭한 할인을 발견했을 때 더 인기있는 거리 시장으로 모험을 떠나기 전에 확실히 여기에서 시작할 것입니다! 물론 그들은 비슷한 품목을 판매하지만 현지인이 모든 관광객과 어울리는 곳이기도하므로 사람들이보기에 좋은 곳입니다. 식품점도 시험해 볼 가치가 있습니다. 튀긴 도넛을 먹었고 맛있었습니다!
31,975,342,342,5.0,"most shops are clothing, but this place is pretty big with several blocks of streets and alleys. along with basements and multi floors of stores after stores.  from my group, lots of ladies bought many skin care product, souvenirs and food here.",975,남대문시장,31,"대부분의 상점은 의류이지만 이곳은 몇 블록의 거리와 골목이 있는 꽤 큽니다. 상점 후 상점의 지하실 및 다층과 함께. 우리 그룹에서 많은 여성들이 스킨 케어 제품, 기념품 및 음식을 많이 샀습니다."
32,983,350,350,5.0,so there is the day time shopping and night time shopping. if your looking for kids clothes you can come after 10pm to 5am. on #6 you can find many kids clothing stores. the key to getting a discount is buy more than one piece. i think the minimum is 3 and up. so we bought on this trip maybe 9 of the same kids sleep sack different colors and sizes to give to friends and it was much cheaper. for example a kids hat i bought was 15000won each but if i buy more than 3 it?셲 9000won. if i buy three i save 3000won and get 3 hats! anyway this is the deal and for accessories you need to buy by the dozens and many styles. the last time i came i bought hairpins for my kids and friends. they come out to 50cents each very cheap. there is usually less people at night and this is when the wholesale customers come so just be aware to get deals you must buy more. also make sure you bring cash. this also helps since most money exchanges close before 10pm. good luck shopping.,983,남대문시장,32,그래서 낮 시간 쇼핑과 밤 시간 쇼핑이 있습니다. 아동복을 찾으신다면 오후 10시부터 오전 5시까지 오실 수 있습니다. #6에서는 많은 아동복 매장을 찾을 수 있습니다. 할인을 받는 핵심은 한 개 이상 구매하는 것입니다. 최소값은 3이상이라고 생각합니다. 그래서 우리는 이번 여행에서 친구에게 줄 다른 색상과 크기의 같은 아동용 침낭 9개를 샀는데 훨씬 저렴했습니다. 예를 들어 제가 산 아동용 모자는 개당 15000원인데 3개 이상 사면 9000원입니다. 3개 사면 3000원 모아서 모자 3개! 어쨌든 이것은 거래이며 수십 가지의 다양한 스타일로 구입해야 하는 액세서리입니다. 마지막으로 왔을 때 나는 아이들과 친구들을 위해 머리핀을 샀습니다. 그들은 각각 매우 싼 50센트로 나옵니다. 밤에는 일반적으로 사람이 적고 도매 고객이 올 때이므로 더 많이 구매해야 거래를 얻을 수 있습니다. 또한 현금을 가져오십시오. 이것은 또한 대부분의 환전소가 오후 10시 이전에 마감되기 때문에 도움이 됩니다. 행운을 빕니다 쇼핑.
33,1000,367,367,5.0,"a leisurely 15 mins walk from myeongdong. love the street food available. a great place for sight, smell and taste. ate traditional korean bbq. it was fantastic and very reasonably priced. there's a small lane lined with small restos selling mackerel, beef soup etc. so yummy. there are stores selling cheap souvenirs to clothes, eyeglasses, contact lens. you name it they got it here.",1000,남대문시장,33,"명동에서 여유롭게 도보 15분. 이용 가능한 길거리 음식을 좋아합니다. 시각, 후각 및 미각을 위한 훌륭한 장소. 한국 전통 바베큐를 먹었다. 그것은 환상적이고 매우 합리적인 가격이었습니다. 고등어, 쇠고기 수프 등을 판매하는 작은 restos가 늘어서있는 작은 차선이 있습니다. 너무 맛있습니다. 옷, 안경, 콘택트 렌즈에 대한 값싼 기념품을 판매하는 상점이 있습니다. 당신은 그것을 여기에서 얻었다."
34,1006,373,373,3.0,"it's a market . . . many stores sell the same merchandise all at the same prices . . . lots of junk, very little treasures . . . food stalls which are mostly less than appetizing (and some with very questionnable hygenic practices) . . . and less appealing on a hot,humid, odiferous day than on a cooler, less smelly day. so, you either love it or you hate it -- it's an individual preference.",1006,남대문시장,34,"그것은 시장입니다. . . 많은 상점에서 같은 상품을 모두 같은 가격에 판매합니다. . . 많은 쓰레기, 아주 작은 보물. . . 대부분 식욕을 돋구지 않는 음식 포장 마차 (일부는 매우 의심스러운 위생 관행이 있음) . . . 그리고 덥고 습하고 악취가 나는 날은 더 시원하고 냄새가 덜한 날보다 덜 매력적입니다. 그래서, 당신은 그것을 좋아하거나 싫어합니다. 그것은 개인의 취향입니다."
35,1007,374,374,2.0,"we visited in the afternoon and there were lots and lots of stores that sell similar stuff. they sell clothes, shoes, souvenirs, kpop merchandise... the prices were more or less the same but some were cheaper. we did not spend much time there though since the place did not look appealing (it may have looked more alive at night) and it is easy to get lost. if you want to shop for souvenir, this could be a good place to go.",1007,남대문시장,35,"우리는 오후에 방문했고 비슷한 물건을 판매하는 상점이 많이있었습니다. 옷, 신발, 기념품, 케이팝 상품 등을 판매합니다. 가격은 거의 비슷했지만 일부는 더 저렴했습니다. 장소가 매력적이지 않아 (밤에 더 살아있어 보였을 수 있음) 길을 잃기 쉽기 때문에 우리는 많은 시간을 보내지 않았습니다. 기념품을 쇼핑하고 싶다면 이곳이 좋은 곳이 될 수 있습니다."
36,1008,375,375,3.0,"much talked about this site thus the need to venture it. indeed there are lots of shops/stores to venture but it was not my forte as i dont really like crowded area and confusing lanes. maybe, i am not prepared for it. however we did some shopping here and as soon as we are done, we took off. no doubts there are loads of stuff selling here. some might enjoy it thou.",1008,남대문시장,36,"이 사이트에 대해 많이 이야기 했으므로 벤처해야 할 필요가 있습니다. 실제로 많은 상점 / 상점이 있지만 붐비는 지역과 혼란스러운 차선을 정말 좋아하지 않기 때문에 제 강점은 아닙니다. 어쩌면, 나는 그것에 대한 준비가되어 있지 않습니다. 그러나 우리는 여기에서 약간의 쇼핑을 했다. 그리고 우리가 끝나자 마자, 우리는 이륙했다. 의심 할 여지없이 여기에 판매되는 물건이 많이 있습니다. 일부는 그것을 즐길 수 있습니다."
37,1015,382,382,4.0,"namdaemun market is quite a large place, selling a variety of products - clothing, bags, food, etc. if you want something cheap, best come here instead of going to the department stores. also lots of places to sit down and have a coffee or snack.",1015,남대문시장,37,"남대문 시장은 옷, 가방, 음식 등 다양한 제품을 판매하는 꽤 큰 곳입니다. 저렴한 것을 원하면 백화점에 가지 말고 여기로 오는 것이 좋습니다. 앉아서 커피나 간식을 먹을 수 있는 장소도 많이 있습니다."
38,1020,387,387,1.0,"went during lunch hour under the hot mid day sun. the market in general is covered but the stores are quite cramped and it gets pretty heated. was looking for the counter seats eating area like in gwangjang market, but walked a few rounds and still cannot find it. ended up in some mediocre korea ?쐒estaurant??that sells a range of korea food. so they say jack of all trade master of none, the food was not fantastic and they expect one main dish per pax. if you are there, please walk into a small alley which u see ppl queueing for grilled fish and steam egg. may be a better choice for authentic korea food.",1020,남대문시장,38,"뜨거운 한낮의 태양 아래 점심 시간에 갔다. 시장은 일반적으로 덮여 있지만 상점은 매우 비좁고 꽤 뜨거워집니다. 광장 시장에서와 같이 카운터 석 식사 공간을 찾고 있었지만 몇 바퀴를 걸어도 여전히 찾지 못했습니다. 한국 음식의 범위를 판매하는 평범한 한국 ?쐒estaurant?에서 끝났다. 그래서 그들은 모든 무역 마스터의 잭이라고 말하며 음식은 환상적이지 않았고 1 인당 하나의 메인 요리를 기대합니다. 당신이 거기에 있다면, 구운 생선과 증기 계란을 위해 ppl이 줄을 서있는 것을 볼 수있는 작은 골목으로 걸어 가십시오. 정통 한국 음식에 더 나은 선택이 될 수 있습니다."
39,1037,404,404,3.0,food and clothing stalls in the middle of the road and stores along the street. place for cheap clothes and local food.,1037,남대문시장,39,길 한가운데에는 음식과 옷가게들이 있고 길가에는 상점들이 있습니다. 저렴한 옷과 현지 음식을 파는 곳.
40,1043,410,410,4.0,"we visited namdaemun market right as the sun went down, so i'm not sure if some of the stores were getting ready to close for the night, but we still found some awesome deals. my friend bought a cute winter jacket for $5!!! we bought some toddler hanboks for w35000, which is pretty reasonable.",1043,남대문시장,40,우리는 해가 질 무렵 남대문 시장을 방문하여 일부 상점이 밤에 문을 닫을 준비를하고 있는지 확실하지 않지만 여전히 멋진 거래를 발견했습니다. 내 친구가 5달러에 귀여운 겨울 자켓을 샀어요!!! 우리는 꽤 합리적인 w35000에 유아 한복을 샀습니다.
41,1054,421,421,3.0,"i visited this place to find a special vintage camera, there're lots of stores for that purpose near the sungnyemun gate. the market itself is rather messy, lots of chinese products of all kind. no good souvenirs or fashion clothes. there's a tourist info desk ot far from subway gate 5.",1054,남대문시장,41,"특별한 빈티지 카메라를 찾기 위해 이곳을 찾았는데, 숭례문 근처에 그런 용도의 가게가 많이 있습니다. 시장 자체는 다소 지저분하고 모든 종류의 중국 제품이 많이 있습니다. 좋은 기념품이나 패션 의류가 없습니다. 지하철 5번 출구에서 멀지 않은 곳에 관광안내소가 있습니다."
42,1075,442,442,5.0,"some stores are closed on sunday. but most of them are open everyday, crowd starts to fill the market around 9am. mostly dry goods and preserved food. there are small restaurants nearby. your ??0,000 can buy a lot of souvenirs.",1075,남대문시장,42,"일부 상점은 일요일에 문을 닫습니다. 그러나 대부분은 매일 열려 있으며 군중은 오전 9시경 시장을 채우기 시작합니다. 대부분 건조 식품 및 보존 식품. 근처에 작은 식당이 있습니다. 당신의 ??0,000은 많은 기념품을 살 수 있습니다."
43,1103,470,470,5.0,"good to come in the day as you can catch many good deals in the many stores here. fresh food sold in the market, stationary stores , great gift giving ideas all in this one place- a whole sale centre where you can buy almost anything including costume jewellery, wedding gifts, korean handicraft souvenirs etc",1103,남대문시장,43,"여기 많은 상점에서 많은 좋은 거래를 잡을 수 있으므로 하루에 오는 것이 좋습니다. 시장에서 판매되는 신선한 음식, 문구점, 멋진 선물을 주는 아이디어가 모두 이 한 곳에서 - 의상 보석, 결혼 선물, 한국 수공예품 기념품 등 거의 모든 것을 살 수 있는 전체 판매 센터"
