,번역
14,"이 곳을 좋아했습니다. 광경 소리와 냄새는 정말로 당신을 살아있게 만듭니다. 음식은 우리 자신의 주요 매력이었고 이것은 시장의 중심에 있습니다. 그러나 시간을 내서 생선, 향신료, 김치 및 섬유 상점을 이동하십시오. 먹을 곳이 엄청나게 많으며, 각각의 전문 분야는 같은 위치에 있는 것처럼 보이며 각 지역에서 동일한 옵션을 제공하는 다른 노점 상인이 있습니다. 가격이 명확하게 표시되고 제품 전체에 표준입니다. 내가 예상했던 것만큼 싸지는 않지만 여전히 서부 가격보다 훨씬 낫습니다. 우리는 각 포장 마차에서 한 가지 유형의 요리(일부)를 선택하여 배부르기 전에 최대한 많은 것을 시도할 수 있었습니다. 녹두 팬케이크는 우리 fav! 4000 부분이었습니다. 비빔밥 5000은 정말 맛있었습니다. 수프의 어묵은 3000에서 좋았습니다. 순대 매운 찹쌀로 채워진 혈액 소시지는 환상적이었습니다. 그들은 제 어린 시절을 생각나게하는 요리 된 간과 함께 제공됩니다. 6000. 생수는 무료로 제공됩니다 - 한 병에서 채우십시오 나만의 컵. 또는 2000에 작은 캔에 카스 맥주를 판매하는 쪽에서 상점을 찾으십시오. 평소와 같이 김치가 무료로 제공되었습니다. 나중에 부산으로 떠나는 것처럼 생선 재료를 시도하지 않았습니다. deffo는 훌륭한 분위기에서 대부분의 한국의 환상적인 음식을 맛볼 수 있는 좋은 장소입니다."
15,"광장시장은 우리나라 최초의 상설시장으로 알려져 많은 관광객들이 찾는 명소입니다. 시장은 직물로 유명합니다. 실크, 새틴, 리넨을 판매하는 수백 개의 상점이 있습니다. 이곳의 상점은 일반적으로 남대문, 동대문, 백화점과 같은 다른 시장에 직물을 공급합니다. 직물 외에도 이곳은 음식으로도 유명합니다. 중간 통로에는 비빔밥, 만두, 녹두, 활낙지, 떡, 피소시지 등 다양한 향토 요리를 판매하는 많은 푸드 카트가 있습니다."
16,우리는 서울 지하철을 타고 종로5가역에서 내렸다. 거기에서 광장 시장까지 도보로 약 5분이 소요됩니다. 시장에는 옷과 음식 상인이 있습니다. 우리는 점심 시간 직전에 도착하여 문제 없이 걷고/탐색할 수 있었습니다. 점심 식사가 시작되면 근처 사무실/기업의 직원들이 시장으로 몰려와 다양한 식품 포장 마차에 앉는 것을 볼 수 있습니다. 다양한 입맛에 맞는 모든 종류의 한국 음식이 있습니다. 시장에는 또한 골목길을 따라 늘어선 한복 옷가게와 한국 결혼식을 위한 장신구를 판매하는 상점이 많이 있습니다. 원하는 경우 양복 재료 또는 기성품 셔츠를 구입할 수 있는 남성 양복 및 의류 매장도 많이 있습니다. 시장의 많은 지역을 둘러보면서 해산물을 구입할 수 있는 해산물 가게와 한국 전통 간식도 있습니다. 우리는 많은 공급 업체 중 한 곳에서 점심을 먹었고 비빔 냉면 요리를 시험해 보았습니다. 그리고 제 아내는 넓은 롤 국수 (당신이 기다리는 동안 당신 앞에서 만든)가있는 국수를 먹었습니다. 탐험을 좋아한다면 광장을 방문하세요. 또한 동대문 지역까지 도보로 약 15분 거리에 있습니다. 이 시장을 방문하는 것이 좋습니다.
17,종로5가 1번출구에서 멀지 않은 곳에 위치한 광장시장은 오히려 과대평가됐다. 내가 방문했을 때는 꽉 차 있었고 많은 가게가 있었지만 대부분 비슷한 것을 제공했습니다. 가격면에서는 오히려 합리적이라고 말하고 싶습니다. 내 친구와 나는 음식을 사서 청계천으로 걸어가 군중에서 멀리 떨어져 음식을 즐겼습니다.
18,"이것은 서울에서 가장 오래된 전통 시장 중 하나이며 한국에서 가장 큰(가장 아름다운) 전통 시장 중 하나로 간주됩니다. 나는 정통 현지 길거리 음식과 실크 제품 및 주방 용품(기구 및 조리기구 포함)에 대한 윈도우 쇼핑에 관심이 있다면 호텔 컨시어지가 광장 시장을 방문하도록 추천했습니다. 처음에는 시장이 엉망인 것처럼 보이지만 초대하는 상점의 미로에 들어서게 됩니다. 시장의 음식 섹션은 최대 10명의 인내하는 고객의 구불구불한 줄을 즐겁게 하는 몇몇 음식 포장 마차와 함께 더 북쪽에 있었습니다. 나는 작은 좌석 공간을 발견하고 아침 식사로 다음을 먹었습니다. 떡볶이(한국식 매운 떡) 잡채(한국식 유리 국수 볶음) 잔치 국수(한국식 따뜻한 국수) 나는 다시 서울에 있었다. 냄새를 맡고, 듣고, 보고, 맛보고, 광장시장 한가운데에 있는 것, 그것보다 더 나아지지 않습니다."
19,한국 현지 음식을 위한 좋은 장소. 비슷한 음식을 판매하는 많은 포장 마차. 그 외에는 그다지 방문할 가치가 없으며 대부분의 관광객이 음식을 위해 이곳에 온다고 생각합니다. 우리는 시장 전체에 줄지어 있는 상점을 확인하는 사람들을 보지 못했기 때문입니다.
20,"이것은 내가 정말로 즐겼던 한 정거장입니다. 시장은 한국 드레스, 기념품, 장신구, 식품 등을 판매하는 많은 상점으로 상당히 광범위했습니다. 그리고 엄청난 일이 벌어졌다!!!! 시장에서 영어를 구사하는 관광객이 레이아웃을 파악하는 데 도움을 주는 곳이 있습니다!"
21,"도시 주변에는 다양한 시장이 있으며 차이점을 보려면 여러 곳을 방문해야 합니다. 이것은 한복 직물을 판매하는 많은 정통 식품 포장 마차와 직물 상점이 있습니다. 여기에서 옷과 코트(반드시 흥정), 누비이불된 슬리퍼, 가방, 조끼를 구입할 수 있습니다. 볼 가치가 있습니다!"
22,"우리는 주로 길거리 음식을 위해 시장에 왔습니다. 녹두전, 떡, 돼지다리, 낙지과자 등 비슷한 것을 파는 노점상들이 많이 있습니다. 장소는 매우 붐비고 공간은 매우 협소했습니다. 많은 소유자가 영어와 북경어를 거의 말할 수 없는 것 같습니다. 우리는 그들이 더 낫다고 가정하고 대부분의 사람들과 함께 줄기를 골랐습니다. 음식은 괜찮 았고 맵고 짠 쪽이었습니다. 녹두 팬케이크는 좋았습니다. 기름기가 많았지만 우리는 4 명이 나누어 먹었으므로 큰 문제는 없었습니다. 우리도 골목을 따라 걸었다. 대부분의 상점에서는 직물, 해산물, 김치 및 일부 한국 전통 음식을 판매합니다. 시장 한가운데(음식 코너가 아님)에는 ""i"" 가방이 달린 빨간 유니폼을 입은 두 사람이 있었습니다. 그들은 ""정보 센터""였습니다. 그들은 그 지역에 대한 모든 질문에 답할 수 있습니다. 나는 거기에 어떤 공중 화장실도 보이지 않는다. 정보가 이중으로 표시되면 cna에게 물어보십시오."
23,몇몇 과대평가된 길거리 음식 가게를 제외하고 나머지는 김치와 건어물과 같은 한국 전통 음식을 파는 가게들입니다.
24,많은 음식이 있습니다! 그리고 꽤 맛있습니다. 거기에 있는 대부분의 상점은 중국어를 할 수 있습니다. 음식 부분도 꽤 큽니다. 그래서 단체로 가서 다양한 메뉴를 주문하면 더 좋을 것 같아요. 우리 중 2 명 밖에 없기 때문에 우리가 그것을 끝내지 못할 것이 두려워서 많은 주문을 할 수 없었습니다. 음식을 사랑합니다. 다시 거기에 가고 싶습니다.
25,"우리는 모든 상점, 식품 공급 업체 및 사람들과 함께 시장을 방문하는 것을 좋아합니다. 시장에서 길을 잃기 쉬우니(몇 번 가던 동반자가 화장실을 이용하다가 길을 잃었다), 헤어질 때 계획을 세워두는 것이 좋다. 주방용품, 한복, 의류, 기념품, 침구 또는 훌륭한 음식을 찾고 있다면 이곳이 훌륭한 한국 문화를 경험할 수 있는 곳입니다. 우리는 위층에 있는 광장 한복 시장에 올라가 맞춤옷을 주문했습니다. 우리는 이곳을 적극 추천합니다. 일부 음식의 냄새는 외국인에게 어려울 수 있습니다. 그냥 머리 위로."
26,그러나 많은 상점이 매우 독특하게 느껴지지 않습니다. 직물과 식품 포장 마차. 내가 돌아올 것인지 확실하지 않습니다.
27,여기저기서 거의 같은 품목을 판매하는 긴 거리의 품목(대부분 음식 가판대)입니다. 마음에 드는 가게를 골라 그곳에서 현지인들과 함께 식사를 즐겨보세요. 일부 상점은 이전에 블로그에 기능이 있을 수 있으므로 더 인기가 있으므로 짧은 시간 동안 기다려야 할 수 있습니다. 그렇지 않은 경우 현지 방식으로 간단한 식사를 위해 덜 붐비는 상점을 선택하십시오.
28,"우리는 독특한 음식을보고 싶었기 때문에 여행 중에 시장을 방문했습니다. 시장은 매우 크며 많은 현지 길거리 음식과 직물을 판매합니다. 일부 포장 마차는 행상인입니다. 다른 곳에서는 대구 수프, 오징어 속살, 녹두전과 같은 독특한 향토 요리를 판매합니다. 건조 식품과 야채를 판매하는 식품 가게가 많이 있습니다. 아시아 출신이 아니고 포장 마차에 익숙하지 않은 사람들에게 특히 흥미로울 것입니다."
29,대부분의 식품점에서는 동일한 식품을 판매합니다. 그래서 선택할 수 있는 음식의 종류가 많지 않습니다. 내가 점심 시간에 거기에 있었을 때 상점이 반쯤 열렸기 때문에 나에게는 그렇게 환상적이지 않습니다. 내가 갈 다른 곳이 없을 때만 돌아갈 것입니다.
30,지하철에서 쉽게 접근할 수 있습니다. 먹기 좋은 곳이지만 과대 광고된 떡볶이와 팬케이크는 너무 비싸고 비쌉니다. 녹두전이 좋습니다. 일부 상점은 매우 친절합니다. 서울에서 꼭 가봐야 할 곳.
31,김밥과 족발을 맛보십시오. 조심해! 부분은 거대합니다! 개인적으로 가장 좋아하는 음식은 호박 조각과 김(미역)이 들어간 칼국수였습니다. 녹두 팬케이크는 현지인과 관광객 모두에게 무승부로 보이지만 내 취향에는 너무 무겁고 기름기가 많은 것으로 나타났습니다. 나는 우리가 싱가포르에서 그렇게 익숙한 평범한 달콤한 디저트에 풍미있는 대안 인 팥죽의 멋진 파이핑 그릇을 먹었습니다. 김치도 여기서 사세요! 나는 전통적인 상점과 일부 한국 장신구 (인사동보다 훨씬 저렴)에서 각각 2000-3000 원에 일반 캔버스 토트 백을 샀습니다. 가방은 튼튼하고 좋은 재질로 되어 있었습니다. 게다가 2층에는 숨겨진 중고 시장이 있습니다.
32,"우리는 청계천을 따라 동대문까지 걸어가는 동안 시장을 간단히 둘러보기 위해 들렀습니다. 시도할 음식이 너무 많았기 때문에 여기에서 식사를 하기 위해 내 위를 구했어야 했습니다. 시장 중앙에는 다양한 한국 음식-길거리 음식을 판매하는 작은 포장 마차가 있습니다. 떡볶이, 순대, 김밥, 빈대떡(녹두전 - 꼭 먹어봐야 할 것), 비빔밥, 짭짤한 팬케이크, 국수 등. 각 포장 마차를 둘러싸는 좌석이 있어 앉아서 ​​먹거나 음식을 사서 가져갈 수 있습니다. 나는 시장의 다른 지역을 걸을 기회를 얻지 못했지만 많은 직물 / 재료를 판매하는 지역을지나 갔고 포장 된 한국 스낵을 판매하는 상점도 꽤 보았습니다."
33,우리 호텔은 광장 시장 건너편에있었습니다. 우리는 간식과 점심을 위해 몇 번 왔습니다. 다양한 야외 상점이 있으며 위조 옷을 포함한 모든 것을 찾을 수 있습니다. 보석은 저렴한 스낵과 음식을 제공하는 작은 포장 마차입니다.
34,"이 곳을 좋아했습니다. 광경 소리와 냄새는 정말로 당신을 살아있게 만듭니다. 음식은 우리 자신의 주요 매력이었고 이것은 시장의 중심에 있습니다. 그러나 시간을 내서 생선, 향신료, 김치 및 섬유 상점을 이동하십시오. 먹을 곳이 엄청나게 많으며, 각각의 전문 분야는 같은 위치에 있는 것처럼 보이며 각 지역에서 동일한 옵션을 제공하는 다른 노점 상인이 있습니다. 가격이 명확하게 표시되고 제품 전체에 표준입니다. 내가 예상했던 것만큼 싸지는 않지만 여전히 서부 가격보다 훨씬 낫습니다. 우리는 각 포장 마차에서 한 가지 유형의 요리(일부)를 선택하여 배부르기 전에 최대한 많은 것을 시도할 수 있었습니다. 녹두 팬케이크는 우리 fav! 4000 부분이었습니다. 비빔밥 5000은 정말 맛있었습니다. 수프의 어묵은 3000에서 좋았습니다. 순대 매운 찹쌀로 채워진 혈액 소시지는 환상적이었습니다. 그들은 제 어린 시절을 생각나게하는 요리 된 간과 함께 제공됩니다. 6000. 생수는 무료로 제공됩니다 - 한 병에서 채우십시오 나만의 컵. 또는 2000에 작은 캔에 카스 맥주를 판매하는 쪽에서 상점을 찾으십시오. 평소와 같이 김치가 무료로 제공되었습니다. 나중에 부산으로 떠나는 것처럼 생선 재료를 시도하지 않았습니다. deffo는 훌륭한 분위기에서 대부분의 한국의 환상적인 음식을 맛볼 수 있는 좋은 장소입니다."
35,종로5가 1번출구에서 멀지 않은 곳에 위치한 광장시장은 오히려 과대평가됐다. 내가 방문했을 때는 꽉 차 있었고 많은 가게가 있었지만 대부분 비슷한 것을 제공했습니다. 가격면에서는 오히려 합리적이라고 말하고 싶습니다. 내 친구와 나는 음식을 사서 청계천으로 걸어가 군중에서 멀리 떨어져 음식을 즐겼습니다.
36,한국 현지 음식을 위한 좋은 장소. 비슷한 음식을 판매하는 많은 포장 마차. 그 외에는 그다지 방문할 가치가 없으며 대부분의 관광객이 음식을 위해 이곳에 온다고 생각합니다. 우리는 시장 전체에 줄지어 있는 상점을 확인하는 사람들을 보지 못했기 때문입니다.
37,"도시 주변에는 다양한 시장이 있으며 차이점을 보려면 여러 곳을 방문해야 합니다. 이것은 한복 직물을 판매하는 많은 정통 식품 포장 마차와 직물 상점이 있습니다. 여기에서 옷과 코트(반드시 흥정), 누비이불된 슬리퍼, 가방, 조끼를 구입할 수 있습니다. 볼 가치가 있습니다!"
38,"우리는 주로 길거리 음식을 위해 시장에 왔습니다. 녹두전, 떡, 돼지다리, 낙지과자 등 비슷한 것을 파는 노점상들이 많이 있습니다. 장소는 매우 붐비고 공간은 매우 협소했습니다. 많은 소유자가 영어와 북경어를 거의 말할 수 없는 것 같습니다. 우리는 그들이 더 낫다고 가정하고 대부분의 사람들과 함께 줄기를 골랐습니다. 음식은 괜찮 았고 맵고 짠 쪽이었습니다. 녹두 팬케이크는 좋았습니다. 기름기가 많았지만 우리는 4 명이 나누어 먹었으므로 큰 문제는 없었습니다. 우리도 골목을 따라 걸었다. 대부분의 상점에서는 직물, 해산물, 김치 및 일부 한국 전통 음식을 판매합니다. 시장 한가운데(음식 코너가 아님)에는 ""i"" 가방이 달린 빨간 유니폼을 입은 두 사람이 있었습니다. 그들은 ""정보 센터""였습니다. 그들은 그 지역에 대한 모든 질문에 답할 수 있습니다. 나는 거기에 어떤 공중 화장실도 보이지 않는다. 정보가 이중으로 표시되면 cna에게 물어보십시오."
39,몇몇 과대평가된 길거리 음식 가게를 제외하고 나머지는 김치와 건어물과 같은 한국 전통 음식을 파는 가게들입니다.
40,그러나 많은 상점이 매우 독특하게 느껴지지 않습니다. 직물과 식품 포장 마차. 내가 돌아올 것인지 확실하지 않습니다.
41,여기저기서 거의 같은 품목을 판매하는 긴 거리의 품목(대부분 음식 가판대)입니다. 마음에 드는 가게를 골라 그곳에서 현지인들과 함께 식사를 즐겨보세요. 일부 상점은 이전에 블로그에 기능이 있을 수 있으므로 더 인기가 있으므로 짧은 시간 동안 기다려야 할 수 있습니다. 그렇지 않은 경우 현지 방식으로 간단한 식사를 위해 덜 붐비는 상점을 선택하십시오.
42,"우리는 독특한 음식을보고 싶었기 때문에 여행 중에 시장을 방문했습니다. 시장은 매우 크며 많은 현지 길거리 음식과 직물을 판매합니다. 일부 포장 마차는 행상인입니다. 다른 곳에서는 대구 수프, 오징어 속살, 녹두전과 같은 독특한 향토 요리를 판매합니다. 건조 식품과 야채를 판매하는 식품 가게가 많이 있습니다. 아시아 출신이 아니고 포장 마차에 익숙하지 않은 사람들에게 특히 흥미로울 것입니다."
43,대부분의 식품점에서는 동일한 식품을 판매합니다. 그래서 선택할 수 있는 음식의 종류가 많지 않습니다. 내가 점심 시간에 거기에 있었을 때 상점이 반쯤 열렸기 때문에 나에게는 그렇게 환상적이지 않습니다. 내가 갈 다른 곳이 없을 때만 돌아갈 것입니다.
44,지하철에서 쉽게 접근할 수 있습니다. 먹기 좋은 곳이지만 과대 광고된 떡볶이와 팬케이크는 너무 비싸고 비쌉니다. 녹두전이 좋습니다. 일부 상점은 매우 친절합니다. 서울에서 꼭 가봐야 할 곳.
45,"우리는 청계천을 따라 동대문까지 걸어가는 동안 시장을 간단히 둘러보기 위해 들렀습니다. 시도할 음식이 너무 많았기 때문에 여기에서 식사를 하기 위해 내 위를 구했어야 했습니다. 시장 중앙에는 다양한 한국 음식-길거리 음식을 판매하는 작은 포장 마차가 있습니다. 떡볶이, 순대, 김밥, 빈대떡(녹두전 - 꼭 먹어봐야 할 것), 비빔밥, 짭짤한 팬케이크, 국수 등. 각 포장 마차를 둘러싸는 좌석이 있어 앉아서 ​​먹거나 음식을 사서 가져갈 수 있습니다. 나는 시장의 다른 지역을 걸을 기회를 얻지 못했지만 많은 직물 / 재료를 판매하는 지역을지나 갔고 포장 된 한국 스낵을 판매하는 상점도 꽤 보았습니다."
46,우리 호텔은 광장 시장 건너편에있었습니다. 우리는 간식과 점심을 위해 몇 번 왔습니다. 다양한 야외 상점이 있으며 위조 옷을 포함한 모든 것을 찾을 수 있습니다. 보석은 저렴한 스낵과 음식을 제공하는 작은 포장 마차입니다.
47,시장의 큰 가지에 자리 잡은 훌륭한 식품 시장. 음식이 정말 더 살아납니다. 지하철을 끼고 있어 쉽게 찾아갈 수 있습니다. 도시 반대편에서 오는 것도 지하철이나 버스에서 쉽습니다. 약간의 도보이지만 거기에 도달하기에 충분히 쉽습니다. 일단 주변 상점에 나가면 에너지가 넘치는 곳이 많이 있습니다.
48,산책하기 좋고 기념품과 김치를 위해 현지 상점을 산책하십시오! 킬로그램당 김치를 판다. 음식은 괜찮고 특별하지 않으며 약간 비싸다.
49,시장에서 사온 아몬드가 짱짱하고 바삭바삭한게 진짜 신선해보이고(캐나다에서 수입했음에도 불구하고) 펀마켓...? 위층 한복 (한국 전통 복장) 지역에는 관찰하고 사진을 찍을 수있는 수많은 상점 (abt 100)이있었습니다.
50,"나는이 장소를 좋아한다! 사람들과 음식으로 북적입니다!!! 먹어보고 싶지 않은 이국적인 음식^^! 시장에는 기념품, 의류 및 침구 가게가 늘어서 있습니다. 그들은 내가 가본 다른 모든 관광객 장소에 비해 여기에서 저렴합니다. 거리 한가운데에서 음식을 조리할 준비가 된 이모들이 있으며 모두 매우 신선하고 좋습니다! 모험을 좋아한다면 문어 사시미와 멍게를 맛볼 수 있습니다. 저처럼 모험심이 없는 분들은 팬케이크, 오뎅, 만두, 김밥을 드셔도 무방합니다."
51,지하철역에서 광장시장까지 이어지는 거리에는 한복 양복점과 같은 상점이 늘어서 있습니다(관광객을 위한 일반적인 쇼핑 거리가 아님). 시장에는 식료품 부분과 음식 거리 부분이 있습니다. 내가 시도하지 않은 멋진 삼계탕 가게가 있습니다. 다음에 한국에 갈 때 시도할 것입니다. 나는 저녁 식사를 위해 김밥 김밥을 가져 갔고 놀랍게도 매우 기름졌습니다. . 2 롤에 sgd 3 만 들었습니다.
52,"광장시장은 쇼핑과 식사가 즐거운 곳입니다. 우리가 거기에 도착하고 폐점하는 상점들, 우리는 정말 예쁜 한복 액세서리와 기념품을 발견하고 그들을 너무 좋아했습니다. 한복을 만드는 곳으로 유명하고 소품 하나하나가 너무 예뻐요! 음식 섹션은 훨씬 나중에 닫히고 기본적으로 모든 것을 찾을 수 있습니다. 김밥은 중독성이 있고 밖에서 파는 것과는 맛이 달랐다. 김밥을 싸고 있는 김이 더 바삭하고 맛있었다. 나는 다시 갈 것이다. 오 지하철역 지하상가에 한복 악세사리가 더 많은데 거기서 좀 더 저렴하게 구입했어요. 먼저 돌아다니다!"
53,"광장시장은 정말 재미있었습니다. 길거리 음식도 많고 사람도 꽤 많아서 정말 활기찼어요! 좋은 한국 음식을 먹고 싶다면 이곳이 올 것입니다. 노점상에서는 빈대떡(순이네라고 하는 순이네라는 가게가 현지인들 사이에서 인기가 많은 것 같다), 마약김밥(중독적이어서 마약김밥), 산낙지(살면서 깎은 문어 다리)를 판매한다. 엄마랑 내가 다 먹었는데 우리 옆에 앉은 중국인 3명은 하나도 안먹고 계속 신기해서 쳐다보기만 함), 떡볶이 등등! 밥과 함께 먹는 한식인 반찬도 팔고 있어서 한국 사람들이 평소에 먹던 음식이 먹고 싶다면 사서 밥을 지어 먹거나 밥을 사서 묵고 있는 곳에서 먹으면 된다. 그리고 마지막으로 여기서 놀라운 한복을 볼 수 있었습니다. 저는 한복을 좋아하는 편이라 한복 가게들을 다 볼 수 있어서 정말 좋았어요."
54,"모든 한국 시장과 마찬가지로 이 시장의 중심도 노점상으로 뒤덮여 있습니다. 당신의 비즈니스를 위해 싸우는 가게 주인을 손짓하는 모든 종류의 한국 전통 팬케이크, 떡, 생선 스틱, 튀긴 음식 및...이곳은 한국의 유명한 생 쇠고기를 맛볼 수 있는 곳이기도 합니다. ukhye/yukhoe/yukke (그러나 로마자 표기) . 비밀리에 여기도 기념품을 파는 작은 가게가 몇 군데 있는데 여기가 인사동보다 약간 저렴해서 항상 기념품을 사러 오는 곳이에요. 작지만 여기에서 원하는 모든 것을 찾을 것으로 기대하지 마십시오."
55,"이른 아침에 이곳을 방문하는 것이 좋습니다. 그런 다음 식료품을 쇼핑하고 아침 식사를 하는 현지인을 보고 경험할 수 있습니다. 야채, 고기, 해산물, 물론 김치를 판매하는 상점이 많이 있습니다. 의류, 직물, 가정용품 등을 판매하는 상점도 있었습니다. 우리는 팬케이크를 먹고 아침 식사로 만두국을 먹었습니다. 그것은 적당하고 충만했습니다."
56,이 시장을 사랑합니다. 그 나라의 문화를 알 수 있다. 이 시장에서 판매되는 많은 현지 물건. 그냥 앉아서 먹을 수있는 많은 현지 음식 가게. 가격이 합리적입니다.
57,"네, 이곳은 현지인들과 관광객들로 붐비는 시장입니다. 언어 소지자를 두려워하는 경우 걱정하지 마십시오. 대부분의 포장 마차에는 중국어 또는 간단한 영어를 구사하는 도우미가 있습니다. 작은 레스토랑에서 제공되는 다양한 전골을 놓치고 싶지 않을 수도 있습니다. 나는 상점이 열릴 때 정오 근처에 가는 것을 선호하며 좋은 가격에 많은 물건을 얻을 수 있습니다. 김치 가게는 배송을 위해 밀폐 포장도 제공합니다."
58,"이 시장은 현지인이 만든 정통 현지 음식을 판매합니다. 당신은 당신의 구매를 소비하기 위해 포장 마차 바로 앞에 앉아 있습니다. 굉장한 경험. 옷, 주방용품, 날 음식, 스낵 등을 판매하는 상점도 있습니다."
59,"이 시장은 음식 포장 마차, 레스토랑, 직물 상점, 일부 해산물 포장 마차 등으로 가득 차 있습니다. 저에게 주요 매력은 풍부한 현지 요리입니다. 같은 지역에 세워진 포장 마차는 일반적으로 매우 유사한 요리를 판매하므로 어떤 메뉴를 선택해야 할지 결정하기 어렵습니다. 선택 김밥, 족발, 콩 팬케이크(반드시 시도해야 함), 생 쇠고기, 만두, 비빔밥, 유리 국수 등을 위해 버릇이 될 것입니다. 적어도 200개의 음식 관절이 있습니다. 내 뱃속에 맛있는 음식을 맛볼 수 있는 공간이 더 있다면. 시장은 매우 깨끗하고 지하철로 쉽게 갈 수 있습니다."
