,번역
20,동물원 사이드 스카이다이빙 박물관을 포함하여 많은 장소를 수다방하기에 가장 좋은 장소 중 하나이며 자녀와 함께 방문해야 합니다.
21,나는 걷기와 걷기를 좋아한다 주차장이 넓고 서울 동물원 서울랜드와 국립현대미술관 과천이 있다
22,동물원의 단풍이 변하고 있어요 11월에 또 가고 싶어요
23,날씨가 좋을 때 오기에 매우 적합한 매우 큰 공원 아이들을 한국으로 데려오고 동물원을 방문하는 것을 잊지 마십시오. 날씨가 추울 때 약간 불편합니다. 다행스럽게도 서울 그랜드 파크는 매우
24,가본 동물원 중에서는 냄새가 가장 적고 무엇보다 동물이 다양해서 경치가 아주 좋습니다.
25,넓고 깨끗하고 다양한 동물을 생각하는 동물원 수십년만에 가본 자연경관은 힐링의 공간
26,서울대공원이 과천인 이유는 광대한 땅에 동물원과 식물원 볼거리 먹을거리가 많은 이유
27,나는 동물원에 가서 코끼리를 보지 않기 위해 아이와 함께 즐거운 시간을 보냈습니다.
28,환상적인 동물원
29,아이들과 함께 산책하고 동물원을 방문하기에 잘 관리되어 있습니다.
30,"어린 자녀가 있는 가족, 특히 동물원과 테마파크가 있는 가족에게 좋은 곳입니다."
31,어린이 라운지가 잘 관리되어 있어서 좋았습니다 어린이가 동물원에 가는 것을 좋아했습니다
32,아이들을위한 동물원 부분 놀라운 장소에 갔다
33,어린이와 성인 모두에게 흥미로운 대형 동물원 케이블카 현재 모든 폐쇄된 방은 바이러스로 인해 작동하지 않지만 대부분의 동물을 볼 수 있습니다.
34,동물원 동물의 covid 절반은 존재하지 않습니다
35,서울 동물원은 자연의 품 속을 걸을 수 있는 최고의 장소입니다 공기는 깨끗하고 멋진 향기와 놀라운 자연 냄새로 가득 차 있습니다 초목은 너무 다양하여 멈출 수 없습니다.
36,나는 동물원을 좋아합니다. 레스토랑은 맛있는 음식을 판매하지 않으며 거의 ??문을 닫았으므로 도시락을 가져와야 합니다.
37,산책으로 추천합니다 동물원에 한 번은 가보지만 내부에는 먹을 것이 많지 않습니다 어린이 동물원 장미 공원 입구 매점에서 간단한 스낵을 판매합니다 추천합니다
38,"이 계절에 호수 위의 하늘 리프트(꽃도, 눈도 없음)만으로도 방문할 가치가 있습니다. 호수 가장자리는 얼어붙었다. 고요함과 반사는 평화로웠다. 우리는 패키지 티켓을 샀다. 그러나 그것은 한 번의 타기 만 포함했습니다 (동물원과 동물원 입구 사이 또는 동물원 입구와 정문 사이). 후자의 승차권을 저장하는 것이 좋습니다. 동물원은 생각보다 컸다. 다양한 동물과 6마리 이상의 호랑이가 있었습니다. 일부 동물의 생활 조건은 만족스럽지 않았습니다."
39,서울대공원에는 좋은 동물원과 장미정원이 있습니다. 지난 방문에서는 장미를 보지 못했는데 이번에는(10월 하순) 장미정원에 장미가 가득했다. 가을에는 가을 색이 매혹적입니다. 그러나 올해는 건조하고 여름이 유난히 길어서 은행나무와 단풍나무가 작년보다 훨씬 덜 매력적이었습니다. 나는 공원에 갇히지 않은 다양한 새들을 대면할 수 있는 새집이 있기 때문에 공원을 좋아합니다. 동물원은 매우 크고 다양한 동물이 있습니다.
40,"동물원은 크고 훌륭합니다. 코끼리 트램과 스카이 리프트가 포함된 패키지 티켓을 사는 것이 좋습니다. 유일한 마이너스는 음식에 대한 옵션이 많지 않다는 것입니다. 주로 소시지, 떡볶이 등 한국 음식을 판매합니다. 그래서 다른 요리를 먹고 싶다면 집에서 가져오거나 동물원에 들어가기 전에 구입하십시오. 오, 매표소 앞에 항상 가득 찬 던킨 도넛이 있는 1kfc 매장도 있습니다."
41,"우리는 동물원을 방문하기 위해 거기에 갔고, 우리는 결국 전체를 방문하고 하루 종일을 보냈습니다. 동물원은 크고 볼 것이 많습니다. 놀라운 전망과 함께 엄청난 거리를 이동하는 스카이 리프트가 있습니다. 우리는 그렇게 멋진 것을 기대하지 않았습니다. 우리는 또한 모든 단풍이 변하고 경치가 놀라운 가을에 거기에 갈 수 있어서 운이 좋았습니다. 확실히 스카이 리프트 타기를 위해서라도 가십시오. 그것은 훌륭했습니다!"
42,"이 지역에 접근하려면 동물원의 공중 전망을 제공하는 리프트를 사용하는 것이 좋습니다. 동물원 내에는 기린, 코끼리, 사자 등의 동물이 많이 전시되어 있습니다. 동물원은 잘 관리되어 있고 부지는 걷기에 너무 좋습니다. 암벽과 코끼리 트렁크 슬라이드와 같은 일부 활동 구역도 있습니다."
43,"우리는 운전했다. 주차장을 오가는 교통량이 꽤 많았고 waze는 ""서울 동물원""주차 표지판을 넘어 우리가 필요한 주차장에서 우리를 안내하고 있었기 때문에 waze를 무시했습니다. 우리는 직불 카드를 사용하여 주차 요금을 지불 할 수 있었고 한국 은행 카드 또는 원화가 필요하지 않았습니다. 소형차는 5,000원, 대형은 10,000원입니다. 주차장에서 군중을 따라 코끼리 트램 티켓을 구입하거나 동물원 정문까지 1km를 걸어가십시오. 동물원 입구에서 동물원 입장권을 구입하세요. 유모차 대여가 가능하며 직불 카드를 사용할 수도 있습니다. 3,000원, 하지만 우리가 돌아올 때까지 이드를 거기에 남겨둬야 했다. 유모차는 좋았다. 동물원 부지는 아름답습니다. 밖은 더웠지만 가을 여행은 완벽했을 것입니다. 나는 다른 의견을 기반으로 슬픈 전시를 많이 볼 것으로 기대했지만 내가 가본 다른 동물원에 비해 꽤 평범해 보였습니다. 간격이 좋다는 생각이 들었고 네, 많이 걸어야 하는 부분이 있긴 한데 그렇게 많이 느껴지지는 않았어요. 내 아이들은 많은 재미를 가졌습니다. 음식/음료 선택도 좋았다고 생각했습니다. 원하는 경우 음식과 음료를 직접 가져올 수도 있습니다. 떠날 때 코끼리 트램 왕복 여행을 사거나 주차장까지 1km 트레킹을 해야 합니다. ! 재미 있었어요!"
44,"부활절 주말 한국 서울 여행과 우리는 4 월 동안 서울 동물원을 방문해야한다는 것을 알고 있었고, 내 딸은 동물과 동물원을 좋아합니다. 우리는 2018 년 12 월에 여기에 왔고 너무 추웠고 동물이 모두 안에 수용되어 재미가 없었습니다. 시간이지만 이번에는 훌륭했습니다. 날씨는 매우 좋았고, 화창하고 시원했고, 얼음 바닥도 없었고, 벚꽃은 여전히 ????유효하여 많은 사람들이 여전히 사진을 찍고 있었고, 모든 동물은 큰 방에 갇힌 대신 외출했습니다. 아이들은 무료로 입장할 수 있어서 우리가 갔을 때 학교에 다니는 아이들이 많았고 공원을 즐기는 모습이 보기 좋았습니다."
45,"공원은 내가 서울에서 가장 좋아하는 곳 중 하나였습니다. 그것은 여러 달 동안 보수 공사를 받았지만 다행히 2018년 11월 초에 갔을 때 보수 공사가 완료되었습니다. 새장은 광범위하게 변경되었습니다. 이제 방문자는 유리 패널로 새와 격리됩니다. 그러나 일부 새로운 종들이 추가되었습니다. 나는 10월 말에 거기에 가는 것을 좋아한다. 또는 11월 초 단풍나무와 은행나무가 빨강, 주황, 노랑의 아름다운 조화를 이룹니다. 공원은 매우 크고 나는 동물원을 가장 좋아합니다. 걷기를 아끼려면 체어 리프트를 타고 정상까지 올라간 다음 언덕을 내려가는 것이 좋습니다. 동물원 입구로 돌아가면 보통 일몰 시간쯤에 체어 리프트를 타고 정문으로 돌아갑니다. 해질녘 호수의 전망(체어 리프트에서)은 매혹적입니다."
46,"나는 동물원을 방문하고 다른 동물을 보는 것을 좋아합니다. 그러나이 동물원을 방문하지 않는 것이 좋습니다. 나는 여기에 오기 위해 1.5시간을 여행했고, 여행하고 방문하는 시간이 낭비된 것처럼 느껴진다. 다양한 동물들이 있었는데 그게 가장 좋았던 것 같아요. 각 울타리는 작고 더럽고 사육사의 흔적은 어디에도 없었습니다. 보통 동물원에 가면 많은 사육사들이 동물들을 돌보고 먹이를 주는 것을 볼 수 있지만 이곳을 방문하는 동안에는 한 마리도 보지 못했습니다. 많은 동물들이 슬프고 배고픈 것처럼 보였고 종종 마른 잎사귀를 먹었습니다. 원숭이들도 서로에게 장난을 치고 있었는데, 아마도 우리가 너무 작았기 때문일 것입니다. 내가 언급했듯이 나는 동물원을 방문하는 것을 좋아하지만 이것은 동물원을 방문하지 않습니다."
47,"서울에서 버스로 약 1시간 거리에 동물원이 있는 서울대공원이 있습니다. 그것은 친구와 가족을위한 재미있는 장소입니다. 장소는 거대하고 볼 동물이 너무 많습니다. 곰, 코끼리, 새 등을 볼 수 있습니다. 동물원 버스와 스카이 리프트를 무료로 탈 수 있는 입장료는 그리 비싸지 않습니다. 오르막길이라 피곤할 수 있으니 물과 간식을 챙겨가세요."
48,"이것은 여러 다른 명소를 포함하는 방대한 지역의 공원입니다. 동물원에는 방문객이 가장 많으며 모든 연령대에 꽤 좋은 곳입니다. 시설 : 동물원, 정원, 캠핑존, 서울랜드(유원지), 현대미술관 등 동물원만 입장. 하지만 시즌특집으로 장미정원이 있어서 보기에도 좋았습니다. 위치: 과천시에 있습니다. 그러나 지하철 사당역(4호선)에서 불과 4정거장 거리에 있습니다. 서울에서 접근성이 좋습니다. 지하철역에서 공원까지 도보로 가까운 거리에 있습니다. 도중에 약간의 포장 마차가 있습니다. 보는 것도 재미있고 공원 안의 음식은 훨씬 비싸기 때문에 여기에서 음식을 먹는 것이 좋습니다. 동물원: - 리프트, 코끼리버스, 입장권을 10,500원에 샀습니다. 티켓 구매 후 오른쪽 리프트 스테이션으로 이동하여 동물원의 가장 높은 곳까지 리프트를 타십시오. 동물원을 산책하고 끝나면 버스를 타십시오. 이것이 돈을 절약하는 가장 좋은 방법인 것 같습니다. - 동물원은 괜찮았어요. 음식 가판대, 욕실, 벤치가 어디에나 있습니다. 버드 존은 쥬라기 공원과 같습니다. 운이 좋으면 앵무새를 아주 가까이에서 볼 수 있습니다. 우리는 유인원을 보는 것이 매우 즐거웠습니다. 이 동물원에서 가장 좋은 부분은 원숭이 존이라고 생각합니다. - 나는 사자를 보지 못해 조금 실망했다. 많은 건축물이 있었고 일부 동물은 있어야 할 곳에 머물지 않았습니다. 박쥐 우리는 비어 있었다. - 어쨌든 많이 걷는다. 지칠 준비를하십시오. - 어린이나 노약자를 위한 카트를 타고 편안하게 여행할 수 있는 동물원 투어가 홈페이지에 있습니다. 매표소에서 사용할 수 없습니다. 나는 그들이 그것을 고쳐야한다고 생각합니다. - 많은 종류의 동물이 있지만 이 동물원에는 아직 없는 동물이 많습니다. 따라서 상상할 수 있는 모든 사람을 볼 것으로 기대하지 마십시오. - 동물원에 수목원이 있어요. 그냥 괜찮은 수준이었다. - 동물원에는 많은 방문객이 있습니다. 그러나 이것은 거대한 동물원이고 무언가를 보기 위해 기다릴 기회가 없습니다. 우리는 그것을 좋아했다. - 일부는 18:00에 문을 닫습니다. 모든 것을 보고 싶다면 그 전에 들어가는 것이 좋습니다."
49,"우리 방문의 대부분은 동물원 공원에 있었고 모든 유형의 많은 동물이 있었고 학대, 훌륭한 도보 자체 가이드 투어, 스키 리프트를 타고 언덕 위로 올라가는 것, 아래의 안전망을 보지 못했습니다. 우리는 성인 4명이었고 우리 모두는 3시간 정도를 즐겼습니다. 팁 우리는 우리와 함께 여권을 가지고 있지 않았으며 할인이 적용되었을 것입니다. 금액은 확실하지 않습니다. 서울 시내에서 멀지 않은 곳에 2년 후에 다시 방문할 예정입니다."
50,"서울대공원은 실제로 강남과 매우 가까우며, 서울 예술의 전당에서 불과 15분 거리에 있습니다. 하이킹 루트, 리프트, 박물관 및 동물원이 있는 거대한 공중선입니다. 그래서 확실히 많은 시간을 보낼 수있는 목적지입니다. 그곳에 가면 서울에서 몇 시간 거리에 있는 것처럼 느껴지지만 매우 가깝고 완전히 다른 풍경과 환경이 있어 아주 편안합니다. 동물원은 꽤 크고 다양한 동물이 있습니다. 그랜드 파크는 휴양지로 좋은 곳입니다."
51,"서울대공원을 오가는 대중교통이 편리합니다. 여러 버스를 이용할 수 있으며 공원 입구로 바로 연결되는 지하철역이 있습니다. 동물원이나 테마파크까지 걷거나, 리프트를 타거나, 미니어처 기차(?)를 탈 수 있습니다. 입장료는 리프트 및 기차 가격과 마찬가지로 합리적입니다."
52,"주로 동물원에 왔습니다. 규모 면에서 다소 압도적이다. 장소는 매우 거대하고 많은 도보를 할 준비가되어 있습니다. 동물의 관점에서, 약간 실망. 내가 본 유일한 해양 생물은 바다 사자였습니다. 더 이상 돌고래는 없습니다. 많은 동물을 볼 수 없었습니다. 내가 좋아하는 유일한 좋은 점은 스카이 리프트입니다. 방문하면 스카이 리프트를 시도해야합니다."
53,살면서 가본 동물원 중에서 여기가 최고인 것 같아요! 환경이 깨끗하고 보는 동물이 모두 건강하고 행복해 보입니다! 많은 다른 동물 / 파충류가 있고 지루하지 않을 것입니다. 유일한 것은 겨울에 가지 않는다는 것입니다. 꽤 춥습니다. 한 가지 더 알림 - 이곳은 금연 공원입니다.
54,우리 아이가 동물을 좋아해서 서울에 처음 가봐서 동물원에 가자고 생각했는데 동물원 입구가 너무 멀기 때문에 지하철에서 내리면 거기에서 1 입구에 도착하면 티켓을 구입할 수 있습니다. 코끼리열차를 타고 동물원 입구에서 내립니다. 코끼리 기차를 타면 다시 타려면 다시 돈을 내야합니다. lol 실제 동물원은 매우 크지 만 겨울 때문에 대부분의 동물이 내부에 보관되어 있기 때문에 여전히 볼 수 있지만 방문하면 더 좋을 것입니다. 봄 이후의 동물원. 길이 빙판길이라 미끄러우니 조심하세요. 동물원 옆에는 서울랜드 놀이동산이 있는데 너무 추워서 가지 못했다.
55,"박물관, 동물원, 놀이동산이 있는 더 넓은 지역. 별도의 입장료와 요금. 서울에서 지하철로 짧은 거리에 있으며 산을 배경으로 멋진 풍경을 감상할 수 있습니다."
56,나는 동물원에 갔고 모든 종류의 동물이 거기에 있어서 좋았습니다. 동물에게 먹이를 주거나 돌고래와 노는 것과 같은 활동에 참여하고 싶은 사람들에게 거의 정오 이후에 오도록 조언합니다. 모든 활동은 오후 2시 30분부터 시작하여 오후에 시작됩니다. 어트랙션 파크는 꽤 크고 전망이 아름답습니다. 산과 거대한 숲이 완벽했습니다. 추신: 동물원과 어트랙션 파크에 갈 계획이라면 모든 종류의 동물을 보려면 최소 4시간이 소요되는 동물원을 위해 하루 종일 자유를 주는 것이 좋습니다. 그리고 편안한 신발을 신는 것이 더 좋습니다.
57,"서울의 동물원인 그랜드 파크는 도시에서 지하철로 쉽게 갈 수 있는 곳에 있습니다. 사자, 호랑이, 늑대, 곰 및 좋은 영장류 선택이 있습니다. 불행히도 모든 새 전시는 현재 건강상의 이유로 폐쇄되었으며 돌고래는 바다로 반환되었으므로 물개를 제외하고 실질적인 해양 생물 전시는 없습니다. 동물은 일반적으로 잘 읽히는 것처럼 보이며 일부 종은 다른 종보다 더 나은 서식지에서 혜택을 받습니다. 늑대 중 일부는 조금 슬퍼보이고 코끼리는 공간이 매우 협소하고 물개도 비좁은 것처럼 보였습니다. 동물원은 새로운 인클로저를 건설하는 중이며 이러한 생활 조건을 개선할 수 있기를 바랍니다. 최소한의 영어 간판이지만 길을 찾기에 충분합니다. 우리는 수요일 오후에 방문했고 공원은 거의 비어있어 매우 즐거운 시간을 보냈습니다. 많은 깨끗한 공중 화장실과 수많은 스낵 식품 공급 업체 외에도 적어도 하나의 편의점이 있습니다. 음식 가격이 표시되지 않습니다. 0900-1900. $5 입장료, $10 2파트 스카이 리프트 편도. 그랜드 파크 메트로 2번 출구로 나와 본관 방향으로 걷다가 건물에서 우회전하여 스카이 리프트까지 300m 걸어가세요. 공원 끝까지 스카이 리프트를 타고 지하철로 다시 걸어가는 것이 좋습니다. 우리는 더 많은 스카이 리프트 패스를 구매할 가치가 있다고 생각하지 않았습니다."
58,우리는 다른 2명의 가족과 함께 갔고 총 6명의 어린이(2-8세)와 6명의 성인이 있습니다. 우리는 패키지 가격을 샀지만 동물원에만 갈 수 있습니다. 일반적으로 나는 내 딸(8세)이 그 동물을 보는 데 관심이 있는 유일한 아이이기 때문에 거기에 가는 것을 기쁘게 생각합니다(돌고래가 자연으로 돌아갔을 때 돌고래를 보지 못했다는 점에 실망한 점은 제외). ) 6 세의 어린 딸은 아이들이 실제 동물을 탐험하고 볼 수있게 해주는 놀이터 (다른 아이들과 유사)만큼 동물을 보는 것을 좋아하지 않았습니다.
59,"우리는 오후 7시 이후 밤에이 공원을 방문했으며 서울 중심부에서 지하철로 약 50 분 거리에있었습니다. 공원에서 가장 가까운 지하철역은 그랜드 파크 자체의 이름을 따서 명명되었습니다. 우리는 주로 벚꽃을보기 위해 거기에있었습니다. 물론 여의도나 석촌호수에 비하면 벚나무가 훨씬 적었지만, 여의도나 석촌호수에 비해 공원은 훨씬 넓고 넓고 사람도 적었다. 공원 입구 왼편에 벚꽃 나무가 있습니다. 밤에도 환하게 밝혀진 야간 조명 덕분에 여전히 멋진 광경이었습니다. 특히 벚꽃 시즌에는 멋지고 낭만적인 장식이 있었고 방문객들이 장소의 낭만적인 분위기와 함께 멋진 멜로디를 연주할 수 있는 5-6대의 피아노가 무료로 제공되었습니다. 아이들이 있는 많은 커플과 가족들이 그 장소에 매료되어 연인과 사진을 찍는 것을 볼 수 있었습니다. 전반적으로 동물원 및 기타 테마 명소를 방문하는 주요 군중이 떠난 후 저녁에 방문하기 좋은 곳입니다."
60,"이 공원 단지는 기차로 쉽게 갈 수 있습니다. 이 거대한 지역은 공원, 정원, 동물원, 놀이 공원 및 식당과 함께 대형 현대 갤러리로 구성됩니다. 2개의 섹션(매우 길고 아름다운 전망이 있음)에 체어 리프트 시스템이 있으며 한 명소에서 다른 명소로(또는 기차역으로 다시) 이동할 수 있는 지상 교통편이 있습니다. 도시에서 반나절이나 (특히 자녀가 있는 경우) 하루 종일 또는 그 이상이 필요합니다."
61,"그랜드 파크는 매우 커서 반나절 동안 동물원만 볼 수 없었습니다. 동물원은 별도의 티켓이 필요하며 본관에서 멀리 떨어진 별도의 입구가 있습니다. 동물원 입구는 정문에서 도보로 15~20분 거리에 있으며 먼저 정문/건물로 들어가 동물원 입구까지 데려다주는 코끼리 기차 티켓(1000원)을 사는 것이 좋습니다. 동물원에는 다양한 동물, 새, 곤충이 있습니다. 뒤쪽에 높은 숲지대도 있지만 가끔 균류/버섯이 있는 것을 제외하고는 볼 것이 별로 없습니다. 나는 붉은 왕관 두루미를 찾을 수 있는 새장을 좋아합니다. 새장은 꽤 큽니다. 주말에는 많은 아이들이 있고 분위기는 좋습니다. 대공원 전체를 보려면 하루 이상 걸린다고 생각합니다."
62,"지난 주에 두 커플과 세 자녀와 함께 서울 동물원에서 즐거운 하루를 보냈습니다. 우리는 천천히 동물원 꼭대기까지 데려다주고 하루 종일 내리막길을 걸을 수 있게 해주는 스키 리프트를 좋아합니다! 표범, 사자, 호랑이, 곰 등의 전시가 굉장하다고 생각했는데 지금은 기온이 내려가서 훨씬 활발해졌습니다. 모두는 완벽한 길이의 돌고래 쇼를 좋아했으며 돌고래와 바다 사자가 실내 원형 극장에서 깔끔한 트릭을 하는 모습을 보여주었습니다. 우리는 또한 공원 전체에 걸쳐 많은 피크닉 테이블 중 하나에서 멋진 피크닉을 즐겼습니다. 이 동물원은 약간의 현대화를 사용할 수 있고 일부 전시품은 약간 피곤했지만 전반적으로 훌륭한 경험으로 남아 있습니다. 오 예, 그들은 아기 코끼리를 가지고 있습니다!"
63,"모든 연령대의 가족 및 아이들과 함께 멋진 야외 시간. 멋진 동물원, 재미있는 놀이 공원 및 박물관이 있습니다. 지하철 4호선으로 쉽게 갈 수 있습니다. 놀이동산에 관한 한 롯데월드보다 훨씬 나은 경험입니다. 때때로 그들은 외국인을위한 할인이 있습니다."
64,거대한 장소. 그 뒤에 산의 아주 좋은 보기. 동물원은 꽤 크고 동물도 많지만 시설을 개선해야 합니다. 나는 돌아가도 상관없어요. 동물 애호가라면 꼭 가봐야 할 곳입니다.
65,"당신이 시골에 있고 ""큰 도시 공원""을 경험하고 싶다면 반드시 서울 대공원을 방문해야 합니다. 관광, 명소, 놀이기구(어린이도 가능), 양궁, 스키 리프트, 동물원에서 제공하는 것이 너무 많습니다. 그리고 수많은 레스토랑과 스낵바가 있어 가족이나 친구와 함께 즐거운 시간을 보내기에 완벽한 장소입니다."
66,우리는 8월에 거기에 갔고 우리에게는 너무 덥습니다. 우리는 30분 동안만 걸을 수 있었고 떠나기로 결정했습니다. 동물원은 꽤 오래되었습니다. 직원이 정보를 잘 제공하지 않습니다 (케이블카 정류장에서 동물원으로가는 길을 따라 걸을 때 우리는 동물원까지 셔틀 버스가 있다는 것을 알았지 만 안내 직원이 알려주지 않았습니다. 그래서 우리는 아래로 걸어 가야합니다. 정말 더운 날씨).
67,동물원은 광대하다. 많은 동물. 침팬지들은 즐겁게 지내고 있습니다. 스카이 리프트를 타고 앉아서 휴식을 취하십시오. 가장 좋은 것은 돌고래와 물개 쇼입니다. 매표소에서 공연 시간을 물어보세요. 젖고 싶으면 앞쪽에 앉으세요. 당신은 거기에 도달하기 위해 지하철을 사용할 수 있습니다.
68,"동물원은 4호선 서울대공원역 외부에 있는 서울대공원의 일부입니다. 주말에는 지하철을 타세요... 그곳에서 운전하는 모든 교통체증은 가치가 없습니다. 역에서 나오면 대공원 본관까지 긴 도보 거리가 있습니다. 입구. kfc와 편의점에서도 끓는 bundegi (누에 번데기)를 주로 형성하는 약간의 (imo) 냄새가 날 것입니다 ... 동물원이 크므로 물을 얻는 것이 좋습니다. 물과 음료도 내부에 얻을 수 있습니다. 공원 입구에서 동물원까지 더 걸어갈 수는 있지만 권장하지는 않습니다. 부스에 가서 코끼리 트램을 타려면 1000원을 지불하십시오. 트램은 공원의 모든 장소를 치고 동물원 앞에 내려줍니다. 약 5000원에 스카이 리프트도 탈 수 있습니다. 동물원이 큽니다. 솔직히 너무 큽니다. 내 말은 많은 다른 동물 전시관이 길게 뻗은 나무와 풀로 분리되어 있다는 것입니다. 그래서 당신은 오르막길을 많이 걷고 그 시간 동안 아무것도 보지 못합니다. 그것이 당신이보고 싶은 것이라면 좋겠지 만 낭비되는 공간이 많은 것 같았습니다. 동물 우리의 일부(많은)는 다소 작았습니다. 원숭이와 유인원 부분은 작았습니다. 공원은 비교적 깨끗하고 다양한 길을 따라 많은 포장 마차가 있습니다. 불행히도 그들은 모두 소시지, ""콘도그"", 어묵과 같은 것을 막대기로 판매합니다. 그리고 커피. 나쁜 맛의 커피. 막대기의 ""고기""는 꽤 나빴습니다. 여기 욕실을 사용하지 마십시오. 지하철에서 사용하거나 시간이 있으면 길 건너 박물관에 가십시오. 동물원 뒤쪽에서 스카이 리프트를 타고 산책을 할 수 있습니다. 재미있고 정말 멋진 광경을 볼 수 있습니다. 사람들이 떠나기 시작할 때 긴 줄을 예상하십시오. 참고로, 스카이 리프트에서 옷을 조심하십시오. 앉을 때 미니스커트를 조정하십시오. 한국을 처음 방문한다면 담요와 매트를 깔고 야영을 하는 사람들을 곳곳에서 볼 수 있습니다. 그들은 노숙자가 아닙니다. 그들에게 잔돈을 주지 마십시오. 동물원은 친구나 가족과 함께 하루를 보내기에 아주 좋은 공원입니다. 편안한 신발을 신으십시오. 간식과 물을 가져오세요. 젖은 티슈를 가져 오십시오."
69,"애들데리고 가기 너무 좋은곳, 가격싸고 볼거리 많고, 약간 많이 걸어야하는 경우가 있지만 약간의 운동은 모두에게 좋을듯. 입장료는 싸지만 케이블카는 싸지 않네요. 다양한 동물들을 볼 수있어 좋네요. if you want to visit a zoo that's not too pricey but has lots of things to see would be this place. it is really big place so get ready to walk for a bit. the zoo entrance fee itself is quite cheap but the cable lift is pricey. my kids love this place."
70,동물원이 세계에서 10번째로 크다고 발표되었지만 약간 관리가 제대로 되지 않고 더 이상 동물이 전시되지 않는 곳이 있습니다. 봄의 시작을 알리는 것인지도 모르겠습니다. 이것은 여전히 ????지하철 안에 있지만 명동에 머무르는 곳에서 멀리 떨어져 있습니다. 여전히 지하철과 연결되어 있지만
71,"매우 훌륭하고 큰 동물원, 우리는 5 시간 동안 거기에 있었고 모든 것을 보지 못했습니다. 일요일에 꽤 붐볐음에도 불구하고 공원은 군중 속에 갇힌 느낌이 들지 않을만큼 충분히 큽니다. 아주 멋진 파빌리온(특히 호랑이 부분)이 있지만 불행히도 특정 동물을 위한 아주 작은 새장도 있습니다. 3월 말은 여전히 ??약간 춥고 일부 동물은 여전히 ??내부에 보관되어 있으며(동물 애호가로서 이에 대한 불만은 없음) 잔디와 꽃이 여전히 자리 잡고 있어야 합니다. 나는 확실히 그 장소를 추천합니다. 꼭 방문해야 하지만 4월 중순이나 그 이후에 가는 것이 좋습니다. 가격도 매우 저렴(성인 3000원)"
