,CONTENT
60,Usually quite and peaceful Great for family visits Theres lot to see and know about There are also exhibitions and documentaries being presented here frequently People related to the war may even find something od sentimental values here or even the name of their family members on the list of names engraved all over the walls This palce has resourceful historic facts as well Must visit place if you are in Korea
61,Excellent exhibits tracing ancient Korean history through to the 50s and the Korean War Some very interesting and unique displays including large models of ancient warships Some vintage aircraft and ships on display outside All free of charge
62,This was really an interesting museum Really educational and well explained about the complex Korean war and geopolitics history The museum is quite big so be prepared In my point of view you need at least 4 hours The visit continues outside where you have a memorial with all the name of the brave and fallen soldiers You can also see some of the Korean and American heavy arsenal in the park outside
63,No entrance fee The museum has a beautiful architecture and the display is very good It takes a few hours to see everything I recommend it
64,Fantastic tribute to all who fought in the Korean War in the 50sa lot of appreciation shown for UN soldiers who fought too Further military history of Korea also on display going way back All in all interesting informative and impressive in its scale If youre in Seoul give it a visit
65,I had a great time learning about the war machines of the past and present acknowledging the fallen soldiers in the long hall during the korean war and gaining insight to how life was back then during the korean and Vietnam war with the massive multitude of information inside the museum walls Must see
66,While the war memorial is quite good and the museum is too I considered givibg this three or two stars due to the overwhelmingly loud and shrill school children who were chasing each oyher through the museum while also  doing there darndest to break all of the displays Where are the teachers chaperones and parents  I have a blazing headache from the sheer VOLUME inside the museum
67,It was heartwarming to see the hall of honor where the names of soldiers from different countries have fought for South Korea Not just in Korea but colonization was a part of the history globally  Memorials serve not just a collection of artifacts but as a reminder on how our forefathers fought for the freedom we currently have
68,The war memorial was a lot better than I thought I wish I spent more time here to see all the floors and exhibitions Reply well run and its free Its a must see sight
69,Excellent place to spend a evening Metro station is nearby Miniatures of all war weaponary is displayed here Few projected animations related to war indulged by Korea too is presented here
70,Being a Veteran myself I really wanted to visit this museum in Seoul I was amazed at all of the war history in Koreas past with Japan  China The exhibits told of a very harrowing past and were really interesting There is also an outdoor area with war planes tanks and a ship to view
71,It is a fascinating open area museum with a number of airplanes artilleries series of heavy guns tanks carriers and battle ships I mostly like bombarder type World War II airplanes which is used to strike infantries on the ground But this time the one thing I desired to see and couldnt is a famous Korean Turtle Ship which was a king of seas in times because of its strength compared to caravels  hope to see them next time
72,It is great to see how a country remembers its heroes This memorial shows how South Korea fought wars in history both traditional and modern wars are memorised here The list of all martyrs is engraved on the walls The memorial has country wise martyr list The memorial honours all the martyrs irrespective of countries who laid down their lives fighting for South Korea The friendly nation flags are also hosted Most of the modern and traditional weapons are maintained in form replica or actual There is no entry fee Few tanks planes missiles and boat are also there Nice place to visit
73,Its a wonderful place Gives you enough details of Korean history and war heroes Has wheel chair accessibility Interior is warm and has good central heating system Its easily accessible as there is bus stop right in front of it
74,A really huge museum that offers a lot to see From war machines tanks planes cars to war films in 3 dimensions Youll also be able to leave with a free book chronologically telling the Korean War highlights Plan on staying there a few hours
75,Beautifull Place Always opens my eyes again what Human can do and what we shouldnt do   Clean  Informative  Exhibition of Military Vehicles USA RUS Korean  others  Food  Drinks nearby  There are also a few Playgrounds for little Children
76,Tons of historical exhibits and artifacts from many past wars in Korea Very touching hommages to all UN nations who participated in the Korean War Very informative and most things are also in English Lots of old airplanes and tanks to look at up close as well
77,Place to visit to know the history of the republic of Korea They have WiFi connection in the museum Once you get it no entry fee download the war museum app from Play Store or app store Download the data roughly around 1gb It gives you complete access to a virtual guide
78,Outstanding museum The settings and art are incredible Interesting enough school children maintain it clean Their pride is clearly demonstrated Its free to enter A must visit place when in Seoul
79,One of the best museum I have been Outside grand interior was amazing I was deeply sad to see the name of the soildiers who lost their life to help the war in Korea I never thought there were many of them Hope North and South unification will happen soon
80,Free admission but you will be touched Must go place if you want to learn about The Korean War and how UN helped Lots of sacrifices to keep the peace in Korea for about 68 yrs ago Freedom is NOT free
81,Very nice museum covering all wars Korea involved from history to modern age
82,This is a 5  museum on very sad time in the country English on all signs and videos showing the history of the invasion of North Korea on the south This was one of the major successes of the United Nations When we were there a few marching shows  Outdoor exhibits on military hardware
83,If youre in Seoul South Korea and youre booked somewhere in Myeongdong shopping area the War Memorial of Korea is a mustsee It is a place full of history from the not so distant past and it is the closest thing of seeing up close the military hardware that saw action in the Korean and World Wars  A good place to take a break from the tourist shopping and learn a little about Korea  While it is fascinating to see all the tanks helicopters ICBMs mortar rockets APCs fighter jets bombers and a battleship the place is a grim reminder that NO ONE ever wins in a war
84,Open museum where you can witness the fire power used in the Korean war Very impressive place to visit The memorial and weapons that are outside are free to visit There also is a museum that you can visit for a small fee
85,Great outdoor exhibit and worth the visit even when the main museum is closed Lots of military hardware where you can get very close and see detail I havent seen anywhere before Everything from tanks planes balistics ships and others Monuments have incredible detail and very peaceful place Must visit
86,Sadly war so often decides the destiny of nations This museum covers all of Korean history through its conflicts with a special focus on the Korean war of 5053 I learned a lot and I wish I could have taken more time to visit
87,This is one of the best war museums in the world and I found it incredibly interesting as an American  This is a very interesting and educational experience
88,A good place to commemorate the war All sorts of war machines are available for display Dont go on Monday though as the museum is closed
89,A great museum on the history of warfare as seen through the Korean lens Start on the first floor and work your way up Loads of material on the Korean War specifically but plenty of information on other periods Their static displays outside are excellent and one of the few where you can touch and crawl around in a few vehicles There are some areas that are still being developed Best of all its free
90,Impressive museum of Korean history and especially civil war in 1950s Offers really thorough explanation inside and lots of stuff to see In front of the museum are monuments for all countries which were involved in the war of course just the western one helping South Korea With number of fallen soldiers or explanation how each country supported army or engineers for example Near the main gate are also all known names of all foreign soldiers again only those who helped South Korea who fallen in this war When your tour inside is over you can visit open air museum with military airplanes cars boats Place to spend almost one whole day I really recommend Just leave your political views somewhere else and dont bring it inside  Ive met a group of Russian tourists and their guide told them the Soviet version of how everything happened  just telling them bullsheet and lying
91,It was very well put together place and the ambiance is peaceful It is huge and I like the little pods for mini documentary movies Easy to spend 5 hours if you are a world war or history buffs
92,A very beautiful and memorable place A lot of interesting monuments and exhibits Very beautiful pool with fountains Stellas are informative I liked spending time there
93,Good place to visit in Seoul and you can learn the history of Korean WarAnd also you can take picture with the weaponstankRocket and airplanes that used in warPrototype of General Yi Sun Shins famous turtle ship is show in the ground floor
94,A lot of effort has been put to make the museum informative and interactive It gives a good perspective and overview for visitors who wanted to understand the Korean history
95,Love this museum Credits to the authorities for their efforts to design and maintain it in such a soulful way It gives glimpse through the warfares koreans went through so far When I visited the last incident ie submarine sinking by tornedo in 2010 was displayed with name of each martyr The airplanes and other warfare tools used at different time are displayed with info tags and access inside Great work A must visit place of Seoul
96,Interesting place telling about Korean history specially about Korean war I would recommend that you will take a free guided tour to get best information about the war in 50s Respect to the Korean people
97,Well organized with narrators all over so you can rewind and view the stories that hold the country together with different language options nice job all the items well kept
98,Great building Really needs 2 days You can learn about all of Koreans waring history over the past 2000 years However the main areas of the museum is dedicated to the Korean war and UN armies that served in it
99,It is a very educational place  Worth visiting  Half day is not enough if you want to cover all the exhibit
100,A grand memorial cum military museum that details the countries that participated in  the Korean War and the evolvement of Korean militarism through the ages Loving the graveyard for ships and boneyards for military aircrafts etc I am particularly touched by the sculpture of the two soldiers hugging each other Beautiful
101,Love this museum Very informative and interesting But some of the displays should have been checked more regularly because certain projector or lighting is not working properly Anyway is a great museum to visit
102,This place is great to learn the war history of Korea not just during the Korean War between North and South but also the ancient wars that took place in Korea as well as wars where Korea participated War machines and equipment were well preserved
103,If you dont mind about Korea War history it is a good place  to visit and understand about  how the UN countries united and helped to fight the Korea war against the N Korea invasion Understand the meaning of Freedom which is not free It was the sacrifices of many soldiers and young men of different countries to fight this war for PeaceThe War Memorial has 3 floors to visit
104,The best war memorial Ive visited  Entrance is free Unfortunately my partner and I missed the guided tour as we were having a hard time using the maps  I enjoyed so much during my short 2 hours here It was very detailed and very vivid  Wished I had more time to learn more about the war that shaped modern Seoul
105,Great museum if you are into bellic history Its huge and its free There are tanks planes helicopters rocket launchers and boats outside Inside you have a very detailed exposition about the bellic history of the korean pennsula It is full of real artifacs and weapons not a picture museum hate those
106,A high class museum with great historical facts Learn South Korean history and how the US and South Korea become allies This museum is huge and you need several days to see it
107,This is a great free museum experience although perhaps unsettling for pacifists  Through the Spring and Summer theres a military honor guard performance each Friday afternoon It started at 2 pm on the day of our visit and seats on the shady museum steps filled up a good 20 beforehand The hourlong performance included marching singing dancing martial arts demos two live bands and crowdpleasing mascots There were at least 50 school kids watching and they were having a ball  Theres also an outdoor collection of military aircraft watercraft look for the captured North Korean semisubmersible missiles antiaircraft guns and an exact replica of a ship involved in a 2002 skirmish with North Korea complete with bullet holes  Against all advice we combined this visit with a trip to the National Museum which is just 2 subway stops away Highly recommend bothi
108,It has free entrance to the war museum and paid exhibitions I enjoyed Davinchi Alive exhibition today Take time to explore and have coffee and snacks at Cafeteria on the third floor which is less crowded than one on the second floor
109,The Korean war memorial is the largest war memorial in the world It has various war equipments like cars  tanks  planes  helicopter guns  bullet and other ancient tools used in the wars It has screening rooms which shows videos about different wars eg Han river war And other Korean history I saw may student come with teachers and divide in groups to teach about the Korean culture and history I think its the best way to teach We dont have to buy tickets for admission  Go have a visit Its a beautiful place
110,Best place to go with children Really enjoyed our time Do not miss the 3D video I would recommend all children to visit regardless of age
111,Amazing view Had a great time herenice to walk and taking pictures Unfortunetely the museum closed already at 1400 pm Will come again for sure
112,It is a very beautiful place to visit if you have many hours to kill They showcase tons of weaponry used during the war and explained a lot about the historical context of Korean soldiers in war and war in Korea Definitely recommend visiting 
113,One of the best war museums Ive been to  Interesting and informative most stuff is translated into English
114,Amazing place There is a lot of military equipment such as planes and tanks outside including B52 bomber Inside museum there are three floors filled up with models projections in different languages historic and modern guns and much 
115,There was so much to see and do The war memorial was so powerful I didnt even make it halfway through I wish Id had more time to see everything and study it carefully As a bonus there was even a study on da Vinci in the basement Wow
116,In my opinion this is probably one of the best war memorial in the world I have been to so far One has to reserve a day to complete sering the entire area as well as artifacts It is free entrance however it indeed deserve donation from us as visitors Youll probably agree with me after your visit
117,An impressive collection of war material that is so large a person who wants to look at it all and read everything will either get tired of it or take 2 days I spent a long time outside and had little motivation left but I was very impressed by the memorials and so much else
118,Free entrance information available in different languages and a clear view on the different kinds of Korean history Definately a must go when visiting Seoul Outside there are the names of all the soldiers that died in fighting the war to my surprise my country also participated in the war with quiet an army
119,I loved that place with lots of authentic planes tanks and other vehicles from the Korean war Entrance is free A good half day program for a rainy day
120,Lots of real war time machine to view museum well designed invoke a feel of patrotism also an appreciation for peace and human life
121,Greatest museum Ive ever been too Spent days there exploring all of Korean history from prehistoric to modern day Absolutely stunning building with beautifully constructed exhibits Cant recommend enough
122,A big war museum in Seoul Mainley from Korean war from 1945 to 1952 It is a place who remind u of all the suffer pain and kiled soildiers who fight in thes war All thes kild soildiers names listed on the long intrance coridor Free enter
123,If you like war history youll enjoy this museum Grand architecture and lots of ancient and modern artifacts as well as heavy machinery outside tanks choppers jets bombers artillery ships etc Even if you dont have a big 
124,The English tour was great as it gave a good summary of the Korean war and highlighted key figures and dates The memorial also has history of Korea and the other wars it has been involved in but we enjoyed the tour the most Last English tour on Sunday was at 2pm and its free admission
125,Amazing place to visit This place contain weapons used in korean war All old weapons and modern weapon exhibition center of korea Very good expo centerni strongly recommend to visit this place
126,Informative place on the history of Korea Memorial is centered mostly on the Korean War in the 50s The outdoor exhibits include planes tanks and ships used in the war
127,Very cool place There are 3 floors which explains the The Korean Three Kingdom Korean War and the present Korea 
128,A beautiful memorial and a huge museum dedicated to the war history of Korea Definitively a place to visit if you want to know more about the Korean history or if you want to hang around huge military creations
129,Good place to learn about Korean War and culture Childrens Museum is right on the side where all the planes are just walk all the way to the end
130,A must visit to read on Korean history the significant event that took place in 1950 between North and South Korea Lots of exhibitions and explanation for the exhibits 
131,Amazing museum and surprisingly accessible as a non Korean speaker The Korean War aspect was interesting but it was really cool to see items from other eras of the peninsulas history going back for centuries Lots of audio and visual 
132,It is worth for a visit which tells the story for the separation of the South and North Korea You can see many young soldiers as it is part of their military services
133,The War Memorial of Korea  Best Place near Iteawon  Best place near seoul to see the history 
134,Definitely worth stopping by if you are nearby The museum is also quite interesting in charting the history of warfare in Korea and the Korean War
135,Amazing museum Lots of exhibits some of them are outside planes tanks etc Lets you understand the Korean War 
136,This huge museum documents the history of the Korean War 195053 using multimedia exhibits and blackandwhite documentary footage
137,Loved this place So much information you could spend hours there And its free
138,You can get an idea of why Korea is called A country of fortresses  if you listen to the long video inside the main building and outside there are many sculptures that you could enjoy Apart from that there is nothing much to see unless you are im nterested about Korean history
139,Impressive building and well arranged courtyard They have an excellent collection of ww2 and post ww2 planes and machinery at the side Inside the memorial shows the warsbattles from medieval times all the way to modern The main exhibit 
140,It has a very detailed and impressive collection of artifactstanks aircraft weapons etc audiovideo presentations and models of Koreas long and bloody history 
141,I love it here Surprisingly you will find some beautiful women mixed in with the families
142,One of the best War Memorials I have ever visited Well laid out and nicely presented The outside area with the ship and planes is fantastic Well worth a visit
143,Amazing and free much like the museums in London This facility is top notch with detailed history of the Korean peninsula essentially from ancient times to present It would be easy to spend a few days here and still not comprehend all the 
144,by far the best war memorialmuseum Ive been too Has everything that you might need to know about Korea and its bloody history
145,Great Place to visit Nice and Clean
146,Absolutely great place not only greatly describing the Korean War but containing also exhibitions from different periods of korean history mostly military Worth visiting both for adults and children No entrance fee
147,The war memorial is very well set up Very informative There is a flag and plate representing countries that have helped South Korea in the past including one representing Australia There was a free guide There is lots of bathrooms Supplies for the hearing impaired There is a souvenir shop and a nice cafe too
148,Kids and adults alike will love this massive museum with loads of interactive features as well as tanks helicopters etc AND ITS FREE Along the way you will learn history of how Republic of Korea came to be what it is today
149,Amazing place that you can spend a lot of time in Starting from ancient times through today The tanks and airplanes outside are great
150,Must visit historical place in Seoul to know about the korean war The museum is very informative with lots exhibitions and replicas Outside the museum there is a display of various war planes and a war ship which were used
151,Fantastic place to learn about the war and peace Easy access via subway Worthy place to visit
152,Amazing place Must visit while u visit Seoul great way to learn korean war and historical of korea  Kamu bakal belajar banyak tentang perang korea dan semacamnya
153,The great place  You can know more history about korea with other countries Nice place
154,Very well laid out museum Well worth the time if youre in some way or shape interested in Korea or warfare in general
155,The best museum in seoul Outdoor display as well as indoor one One must definitely be go to there You will see how peace is very important to us
156,Definitely worth visiting Interesting history of not just the Korean War but the history of Koreas wars
157,Freedom is not free
158,Very well done Very modern 1st floor is very old Korean history 2nd floor is mostly Korean war and third floor is UN and modern warfare
159,Very interesting to read about the Korean civil war I couldve spent much longer as time just flew by There was a 4D movie plenty of information and some videos Very moving and informative
160,Excellent museum experience catered to all ages Be ready to walk a lot as the museum is huge and there is lots to see Offers a thorough and immersive experience to the awes and devastation of war
161,By far this is the best historical war museum Ive ever been in  With a history going back nearly 2500 years Korea had done an absolutely great job in depicting there history  What makes even better are the timelines that also show whats going on with the other side of the world in Europe Africa Middle East and the Americas once they were discovered  The outside displays of military aircraft tracked vehicles and watercraft are an extra plus  Especially so nice you can climb on them  No trip to Korea should skip this place  Lastly they have plenty of parking in the under ground garage
162,Incredible place its free and has a lot of detail about the Korean War and all the people from all the countries that gave their lives for the cause the museum is surrounded by myriad replicas of military equipment like war ships and jets
163,Free entry with place to donate at the entranceexit Tons of information and displays about the Korean War from the causes leading up to it to all of the battles during and effects after Tributes to all of the nations that took part in the war and assisted Korea Several floors of displays and be sure to go outside and look at all of the actual war tanks and planes and other military equipment
164,Love the history of korean war If you are eager of history on why north korea and south korea get separated you should visit
165,Super informative You cant cover the whole museum in one day Book a hotel nearby and make it a weekend
166,Very interesting if you take a tour to the JSA dont do this separately as most of them will take you through here first and its well worth it Great place to learn about the history of the Korean War And if youre into all that military hardware theres a big area to get your rocks off
167,Awesome I highly reccomend it I was a bit disappointed that they did not have more English in the exhibition halls or guides standing around to help with any questions but the actual museum  was awesome and something that everyone should visit Make sure you give yourself plenty of time here I would say at least 23 hours
168,Its very cozy Fits for summer tour because its indoor and have AC Very useful to know about Korean history too from the prehistorical war moments until the world war 1 to world war 2 and also with the civil war against North Korea plus the help they got from the UN Insightful
169,So powerful and gives a good understanding of the suffering of the Korean war  A stellar collection of artifacts artillery tanks ships aircraft and memorials with explanations in English
170,A very well maintained and informative war memorial All wars history well documented and exhibited
171,You cant go wrong with free The inside has a very nice mix of diorama information relics and recreated pieces Easily a half day can be spent hered Ive already given this place 5 stars but I will return to go to the outdoor portion which looked exciting
172,totally recommendable such a good place to learn something about korea and its history  inside and outside are very nice  especially the tanks choppers airplanes and a lot more outside  would go again 
173,Fantastic collection of history Well set out Great audio guide and friendly staff o spent 6 hours there it was very engaging
174,Its awesome  it has collections of all wars  And good thing about the war memorial is thanks giving to each and every country that provided aid and help
175,The History of Korean war was here A historical place remind us how the heros fight to their country Real tank was awesome Big ship and plane 
176,This memorial and accompanying museum presents a harrowing overview of the much overlooked Korean War its causes and repercussions that continue to impact the peninsula today Inside there are artefacts and belongings from key people involved in the conflict such as Kim ill Sung weapons machinery and airplanes used in the war  This museum is free and I would recommend everyone regardless of how knowledgeable of history should see this It truly is eye opening
177,This places breathes of XXthcentury nationalism and even some of the props and animation effects are probably from the previous Millenium This is not a entirely a bad thing  if anything this reminded me of the Berlin museum of community life Except this one memorial takes itself VERY seriously
178,Visiting the War Memorial of Korea makes anyone appreciate freedom and peace Vivid memories of the Korean war
179,Great way to learn war history The museum is loaded with weapons and there is lots of tanks and planes outside
180,Must visit for foreigners to know Korean history Every year they develop and maintain well Enough lighting inside  good for photographers
181,It brings me back to the tragic history of the war between the north and the south Its interesting how their status is still left uncertain but i like south korea and i pray that theyll be in good terms with north korea If you ever visit this is a must try attraction together with dmz You will get to know Korea in a deeper level and respect the freedom and success that they have now
182,Nice museum of Korean history and the war in the past We learned a lot about it and we saw a beautiful music show too
