,Unnamed: 0,NAME,STAR,REVIEW,DATE
65,65,vikki1702,5.0,Although smaller than the other palaces this place is packed with charm The changing of the guards happens a few times in the day I went at 11 and they allow photos up close with them at the end of the ceremony Buy yourself a 10000 combo ticket to let you into all the palaces Closed on Monday,"Written May 11, 2018"
66,66,Klaithem,5.0,Deoksungung palace is a must to visit if you come to Seoul Read little bit of history about the place that it will be easy for you to understand the details when you visit Wear comfortable dress and shoes that you will need to walk around comfortablyYou can enjoy the change of gaurds show There is a lot of things to see and enjoy You can arrange for a a guide to take you around and explain the details but it is not necessarily Wheelchaired persons can get access too It is a charming place to visit and highly recommended,"Written April 19, 2018"
67,67,PipPaul W,4.0,We were fortunate to arrive just as one of the guard changing events was happening at the gates Very colourful though take the authenticity with a pinch of salt  one of the guards with moustache and pointy beard was definitely a woman Inside it is a delight though not exactly packed We spent an hour there which was sufficient,"Written April 17, 2018"
68,68,Xin Ling Charlotte,4.0,The palace is not as big as the rest of the other palace around Seoul but the highlight is the Royal Guard Changing Ceremony that is showcase to tourist every day except Monday at 2 different timing 10am and 1pm One can even take pictures with the guards when the tour facilitator told you to do so,"Written April 14, 2018"
69,69,Filistian 2,4.0,Deoksugung palace is very interesting palace for me Beside the location that in the middle of the city and just next to city hall the palace was very easy to reach This palace also smaller than the other two Ive been visited But its nice to started your palace tour with this one  Its like past and present met in one place There are few historic pavilions and yet there are modern and western buildings in same complex  Very interesting for see but not much to explore But its very nice experience especially if you came when the guard changing ceremony  Extra info  When you get hungry and need something to snack on you can try waffles just next to it,"Written April 13, 2018"
70,70,Travellover6128,4.0,This grounds of this palace are much smaller than most of the others in the city Entrance is only 1000kr however despite the bargain price this place is relatively empty This allows you to stroll the grounds and take numerous photos without the hoards of tourists which you will find in the other palaces,"Written April 13, 2018"
71,71,ChorChangHouse,5.0,located at the intersection of Seouls busiest city center This is the only palace surrounded by Westernstyle buildings that add to the uniqueness of the scenery It is the smallest of the five royal palaces in Korea The palace building is a blend of Korean culture and Western culture When walking to the palace it is recommended to walk to the side of the palace Around November The leaves will turn orange Beautiful decoration,"Written April 11, 2018"
72,72,steffanuspranoto,4.0,The ticket is only KR 1000 You will find a traditional atmosphere there Although it is not as big as other palaces you still can enjoy There is a museum also inside the palace but we didnt enter The unique accent in this palace is a blend between traditional and modern culture,"Written April 2, 2018"
73,73,Danny,3.0,Korea Palace is all the same You visited one and the rest is about the same only the history is different,"Written March 21, 2018"
74,74,Kimitaka S,4.0,Deoksugung is a small palace near Seoul city hall Everything is compact but perfectly conserved If you dont have enough time to go other palaces to visit this one is recommend It takes about one hour and the entrance is free The location is very convenient,"Written March 18, 2018"
75,75,Nigel G,4.0,This palace is far less tacky than the other palaces in Seoul where a large proportion of attendees dress in hangbok  traditional clothing for the art of selfie  The buildings are well kept and there has been replicas of thrones put in place to make the complex look more authentic The main throne room overlooks the civil servants homage square for want of a better description with stone markers marking the position according to rank An authentic replica musical band give performances  quite colourful and full of period nostalgia  A large bell and drum house and a landscaped pond with fountain is at the top end of the compound  There is a museum of modern and contemporary art within the palace complex and also a museum of the colonial administration  Superb architecture and very colourful  Well worth a visit Allow 90 minutes without a visit to the art museum  Entry is W 1000 but and additional ticket required for the art museum Nice coffee shop near to the entrance,"Written March 17, 2018"
76,76,StanlyFredrik,4.0,This palace is one of an attraction that happen in the central of Seoul City You can easily find this place by simple asking people or just follow google maps It was a nice to get an experienced about old time of South Korea that long time ago has a massive and great kingdom with Kings and Queens They have some schedule to perform on how the guard change shift between themselves who lead by a general Quite nice to go in the afternoon or in the morning time If you visit in not peak season or hour you will get a nice picture of the place with no people getting around,"Written March 13, 2018"
77,77,Nagnag76,4.0,We visited it just before sunset it was our only palace to visit at night different view and Colours at night We are unaware if you can visit other palaces at night We would skip it if they do not open the door at night and illuminate the palace,"Written March 11, 2018"
78,78,happymadamm,4.0,Deoksugung one of the five palaces of the Joseon Dynasty This is a very small palace However the last king of Korea had a sad history as a place where he actually lived The last king of Korea was the first Korean to drink coffee I can see where he drank coffee,"Written March 9, 2018"
79,79,Mimi A,4.0,A unique palace on its own Deoksugung palace shows us a glimpse of how the old and new could coexist together Entry free is only 1000krw however you could purchase the combination ticket at 10000 krw if you plan to visit all the palaces including Jongmyo shrine as it will save you 4000 krw In the palace you could also opt to visit the National museum of modern and contemporary art at an additional cost It was 2000krw for us at the time We love that this palace is also so close to City Hall as it allows us to smoothly go to our next destination easily,"Written February 9, 2018"
80,80,Santhiti T,5.0,Peaceful palace and nice scenery just at city hall station Take a walk to rest your eyes from all the commercial signs The palace still in good shape probably was rebuild just like other palace If you looking for unique photos consider the external wall surrounding the palace Check time for performance at the main gate too,"Written February 3, 2018"
81,81,Victoria S,5.0,This is a very unique palace to visit because you see many types of palaces in one place I recommend it to everyone,"Written December 25, 2017"
82,82,JasonKaiLim,4.0,It was Sunday a quick explore to Seoul Cityhall area landed us at this palace We had a free english tour by youth professionals offering a good explanation of the palace Only available on weekends Look out for them dressed in orange,"Written December 20, 2017"
83,83,CleopatraBunny,4.0,Part of your combination ticket this palace is similar to the others closed Mondays Dunkin Donuts is next door if you are cold and need a coffee to warm up,"Written December 13, 2017"
84,84,nickis89,4.0,This is one of my favorite palaces in Seoul I like that the palace is surrounded by modern buildings Its like a little part of history in the city The changing of the guard ceremony is really cool too,"Written November 28, 2017"
85,85,LarsIngarogKaroline,4.0,Very nice and historical temple Many things to see and nice areas to just walk around in Definitely a must when you visit Seoul,"Written November 28, 2017"
86,86,KathelijneH,4.0,Another majestic palace in the middle of the bustling Seoul These palaces are close to each other and its all worth seeing,"Written November 28, 2017"
87,87,The Sacrilicious,5.0,The Deoksugung Palace was the home of the king of the Joseon Dynasty and was used as a residence of Emperor Sunjung right up until his death in 1919  The imperial buildings have been restored to their former glory and gardens that are well maintained Guided tours are also available fpr groups or just couples if you book ahead on the Deoksugung website  The grand Western Seokjojeon Hall is architecturally splendid I would have loved to have been able to make it inside had I made a reservation only 5 people are permitted at a scheduled time on a first come first serve basis Through the windows the banquet hall looked like the set of Downton Abbey It makes for utterly gorgeous backdrop for landscape photography  Its highly recommended to watch the Changing of the Guard procession outside the main palace gates at 11am 2pm or 330pm Its a ceremony with lots of drums flag waving marching and military formalities stretching back over hundreds of years Afterwards tourists are welcome to come and take photos with the guards  Finally a great little tip Make sure you check out the Jeongdong Observatory located next door to the palace in the Seoul City Hall Seosonum Annexe Building From the observation deck 18th floor you can capture panoramic views of the Deoksugung palace grounds CBD skyline City Hall grounds and other landmarks  and its Free Youll get some amazing photos as a souvenir,"Written November 26, 2017"
88,88,bob2bkk,5.0,I have visited in the past and enjoy the colorful changing of the guard ceremony Please see my review from 2012 my first visit for exact directions and location of Deoksugung Palace All renovations now completed inside Our visit this time all changing of the guard ceremonies were cancelled because of the hot weather Always be cognizant of the current weather as they may cancel ceremonies if toohot or too cold,"Written November 24, 2017"
89,89,pakbet,4.0,A small palace that is open until 9pm and has a stone wall with scenic ginko trees during fall season and a weekend market It is set within walking distance from Myeongdong and has its 330pm changing of the guards that is quite unique and charming They also provide english tours so check its website,"Written November 23, 2017"
90,90,Anne W,3.0,On a brief visit to Seoul earlier this year we visited the Deoksugung Palace It is a collection of buildings some dating back to the sixteenth century that have survived wars and some dismantling by the Japanese last century Some of the buildings seem to have been restored while other have the foundations only The grounds were neat and well maintained,"Written November 21, 2017"
91,91,Evelyn H,4.0,Long queues Booking would be recommended We were in the queue for over half an hour and it not protected from the weatherPalace interesting but the highlight is the changing of the guard which is worth watchingThe palace is well maintained and many young Koreans tend to wear national clothing which makes a colourful background,"Written November 20, 2017"
