STAR,REVIEW,DATE
5.0,My son had a lovely time The exhibits were interesting and varied The facilities were clean and even during covid the rules were followed but you didnt feel it Go during the week for fewer crowds no ,7 months ago
4.0, Cute and well decorated sorry for the space ,8 months ago
3.0, It had the most fish species but it didnt feel grand and big The sea lion show was fun ,8 months ago
5.0, My nephew liked it very much Best for traveling with children ,8 months ago
5.0, I liked it very much 2 times as if for the first time  ,8 months ago
5.0,Beautiful aquarium,8 months ago
5.0, Lotte World Aquarium visited every two years I was able to visit at a low price through the card company event We issue a 4hour parking pass so it is not burdensome ,8 months ago
5.0, I really enjoyed it There are many wonderful animals and I want to go there again ,8 months ago
5.0, Its shorter than I thought but Im very satisfied if I go together on the way to Lotte Tower ,8 months ago
5.0, Weekends are better than fish Lots of people but good facilities ,8 months ago
5.0,Good to see with children,8 months ago
5.0, Beluga dolphins will be returned to nature soon so hurry up to see them ,8 months ago
4.0, It is said that the coex fire aquarium is better but the advantage of this place is that there is a lot of content to enjoy besides the fire aquarium and the underground restaurant is of good quality and cheap Our ,8 months ago
2.0, The Ocean Pavilion is so lame There are not too many fish especially in the large tank ,8 months ago
4.0,Good place to meet Belluga,8 months ago
5.0,I dont know how but all the fish love taking pics Beautiful place,8 months ago
4.0, It was the most recent aquarium so it was nice to see a variety of fish species and the overall cleanliness of the facility It is recommended to purchase tickets online ,8 months ago
4.0, Its not worth the money there are a lot of babies and its amazing haha ,8 months ago
2.0,It is good for local aquarium but beluga should be freed  Not a suitable place for such animal,8 months ago
5.0, Just looking at the beluga is good Parking discount honey ,8 months ago
4.0, It has a fantastic atmosphere and is a space where people of all ages can enjoy Sadly three or two of the beluga died Its beautiful but its so friendly that its sad at the same time ,8 months ago
5.0,Great place for kids and families Prefer on an afternoon at a weekday with limited crowd compared to weekend,8 months ago
3.0, Due to the presence of Arabs and the overall revitalization of tourism every shopping mall must have a variety of halal foods ,8 months ago
4.0, It will go in Busan we have a better oceanarium and much more ,8 months ago
5.0,Maybe I was just in a bad mood but the aquarium cheered me up I loved it,8 months ago
5.0,Nice Big with lots of animals,9 months ago
5.0, Visited for a discount Its a bit difficult to go at my price but children like it but buying drinks for kids inside is very expensive I recommend buying drinks in advance and putting them in a bag And sooner or ,9 months ago
5.0,Very fun,9 months ago
3.0, Recommended for families with children who love aquariums ,9 months ago
5.0,jwj,9 months ago
3.0, Compared to other aquariums the overall number of individuals seems to be small It seemed pity that there was only one beluga alone in the large beluga aquarium ,9 months ago
3.0, A lot of fish are gone compared to before Maybe its because its a night ,9 months ago
5.0, Aquarium I went to with my 10monthold baby Baby loved it ,9 months ago
5.0, It was nice to be able to watch beluga with my son who wanted to see it ,9 months ago
4.0, I think the beluga alone is worth seeing but each one has their own taste so I skip it I am thrilled to be able to communicate with people through eye contact through the glass of the aquarium so much ,9 months ago
4.0, Lotte World Aquarium Review  Lotte World Aquarium has been with children so far ,9 months ago
5.0, I got a Tmon discount and went there Im sorry I couldnt see Beluga because of Corona ,9 months ago
5.0, There are many things to show the child It seems like the route is convenient Parking is a bit disappointing ,9 months ago
5.0,Awesoooomeee,9 months ago
4.0, There is a very good marine aquarium in the city center so I had a mysterious experience unlike usual It is a space for healing ,9 months ago
1.0, I was sad because it was so small The aquarium was small and the big fish looked too difficult I paid the membership fee and refunded it ,9 months ago
5.0, Visited on holiday with a friend It wasnt as big as I thought because I went to an aquarium overseas but I think Ill like it if I go with the kids  I feel like Ive returned to my childhood after a long time ,9 months ago
4.0, It is good to change the concept frequently Its a pity that the beluga part is difficult to improve Food and beverage intake zone in the middle is too narrow Many children wouldnt pass it by but its too small ,9 months ago
5.0, I went with my 10monthold daughters and they really liked it  ,9 months ago
4.0, Do something after paying the full price and use discounts coupons social commerce etc as much as possible ,9 months ago
5.0,The penguins were cute,10 months ago
4.0, I was thinking of going but I really enjoyed watching 50 of TDay because it was a weekday so there werent many people and it was good ,10 months ago
5.0, If you expect sharks you will be very disappointed There is no feeling of being wasted because there is a variety of papers If you have time we recommend Lotte Tower and package products ,10 months ago
5.0, I had good memories with my motherinlaw  It felt like a dolphin in the deep sea smiling and going ,10 months ago
4.0, I had a great time with my child However there was a lot of disappointment because there were not many kinds of paper and the tank was not large ,10 months ago
4.0, Perfect for spending time with your grandchildren There was plenty to see ,10 months ago
4.0, It was nice to see the fish But its a pity that there are too many people on weekends and holidays ,10 months ago
5.0, Better than Samsung Still it seems that the children who are imprisoned cannot do anything pitiful ,10 months ago
4.0, Parking fee is reduced for up to 4 hours Lots of people but lots to see ,10 months ago
1.0,ANIMAL NEED FREE LIFE  NOT PRISON AQUARIUM  ITS SHAME ,10 months ago
5.0, Visiting an aquarium is very cool the calmness of the fish is a little bit of the beauty that exists in the immensity of the sea fish of various species and colors I thought it was small but it was very well ,10 months ago
5.0,Very attractive and awesome place in seoul,10 months ago
5.0, Its a great place to go with kids in the suburbs of Seoul ,10 months ago
4.0, Okay the beluga is also amazing but I wish it was a little bit bigger Its not as big as the newer aquarium hehehe ,10 months ago
4.0, Located in front of Aqua Garden on the B1 of Lotte World Mall Jamsil Impressive clean and wellmaintained interior ,10 months ago
4.0, There are many things to see but not long considering the parking fee ,10 months ago
4.0, Its been a while since Ive visited the aquarium Try it out with your family ,10 months ago
5.0,Beautiful place,10 months ago
5.0, I go for a walk every time but I am satisfied every time However I wonder if the internal movement is a reasonable one ,10 months ago
4.0, I only go there with my children Stingrays are impressive ,10 months ago
4.0, Its fun and enjoyable but it looks like a large aquarium needs more maintenance If you buy a ticket online in advance you can use it at a cheaper price I ,10 months ago
5.0,Street food and shopping,4 days ago
4.0,always a symbol of Seoul though lots of shops closed Myeongdong is still a fun place to be,a week ago
5.0,Convenient place for shopping,a week ago
5.0, One of the famous streets of Korea If you want to take a walk in the evening do some shopping then you are welcome ,2 weeks ago
5.0,It was crowded with people of various races ,2 weeks ago
5.0,Great place to walk at night to check out the street vendors Lots of food vendors Its of course very touristy but I cant deny the good times I had with my family here Lots of good street food I highly recommend the chicken kabob ,2 weeks ago
4.0,Not as many as before,3 weeks ago
4.0, Its not as lively as in the old days but a lot of people have increased There are still many empty vacancies ,3 weeks ago
5.0,Nice place for sight seeing,3 weeks ago
1.0,So many shop are empty or move out Not as crowded as before covid started Really pity to see this pandemic cause so much different,4 weeks ago
1.0,I got here by 7pm Everything is closing Just wasting  time,a month ago
4.0,Not too crowded for nowadaysthisperiod  mayjuly2022,a month ago
5.0,lots of goods,a month ago
4.0,Nearby Hotel have roof top coffee cafe,a month ago
3.0,A lot of shops crowdy for shopping afficionados ;,a month ago
3.0,Its cool,a month ago
3.0,Sadly changed a lot after COVID with a number of retail places out of business,a month ago
5.0,Really relaxing atmosphere with really nice hidden shops and restaurants,a month ago
5.0,Cute cats nice host drink included And very clean,a month ago
5.0,cool,a month ago
4.0,Nice clean streets lots of options for food shopping kitschy things,a month ago
5.0,I heard a lot about covid shutting this place down but though I never visited precovid its definitely up and running now Every shop you could possibly need starts here from Zara to dalgona stalls it ,a month ago
3.0, It was a pity that I didnt have the flashiness of the past Due to the corona virus the attractions in Myeongdong have decreased a lot ,2 months ago
5.0,Beautiful shopping experience and very good street food,2 months ago
3.0, I didnt feel like I was before Corona Those who go thinking about that time will not be disappointed ,2 months ago
2.0,Likely due to COVID19 meausures Myeongdong is past its heyday now Many many closed shops I wouldnt bother going there as things are right now,2 months ago
3.0,On the positive side its not too crowded now but that is because there are so many empty store places It gives it a bit of a getto feel Weird because the businesses that are still there are the big companies like Nike etc So certainly not what it was four years ago I hope it picks up,2 months ago
4.0,Sad to see that MyeongDong shopping street is not as bustling as before due to covid situation Manage to come to this street for a visit ever still travel restriction relax ,2 months ago
5.0,Happening market place ij seoul Must visit,2 months ago
5.0,No 1 tour place in Seoul,2 months ago
4.0,Good place for shopping and street food,3 months ago
5.0,This is the best shopping paradise in Korea,3 months ago
4.0,quite a number of food stalls nearby brisk walking ot window shopping is the best excercise you can do after eating fried chicken with beers,3 months ago
5.0, There are a lot of shops of different price categories Its amazing how so many buildings fit in such a small area A very colorful place is a must for the room ,3 months ago
3.0,COVID has changed the shopping landscape completely with almost all beauty shops shuttered with the exception of Olive Young Feels like a ghost town Lots of construction noises though so hopefully they will reopen in the near future ,3 months ago
5.0,Best area for tasting local food and some very good shopping area The street gets really busy in peak hours,3 months ago
4.0, Seoul Myeongdong A shopping street full of various brand shops and a lot of various restaurants ,3 months ago
4.0, Before Corona it was very crowded but now a lot of business places are closed Street food sales have also decreased a lot Its too quiet ,3 months ago
2.0, After Corona many stores are missing so there is nothing to see and nothing to shop ,3 months ago
4.0, Myeongdong street like never before Stores closing one by one No tourists due to corona ,4 months ago
5.0,I enjoyed the walking with my family,4 months ago
5.0, The church is good and I am satisfied with the spring outing ,4 months ago
5.0,Delicious food Thai restaurant,4 months ago
5.0,Super nice,4 months ago
1.0,most stores closed the door but peoples are there I think most of them are just workers working around here and going for a walk around after lunch which means they are not shoppers,4 months ago
3.0, Its a street in Myeongdong that I havent been to in a long time but all the commercial areas are dead ,4 months ago
5.0, Myeongdong street is not like it used to be I hope you can get back to your daily life as soon as possible ,5 months ago
5.0, In February 22 22 almost all firstfloor shopping malls were closed due to the longterm impact of Corona and many buildings were vacant ,5 months ago
3.0, Its too bad the streets are quiet and there are too many closed places Its not the romantic street it used to be Im upset ,5 months ago
5.0, Its a weekday so its not crowded and its cleaner than I thought ,5 months ago
3.0, Empty stores and a small number of street vendors When will the former glory be TTTT ,5 months ago
5.0, It was the first time I visited since Corona and the business district was so sad that it died Hope you recover soon ,5 months ago
3.0,Dont plan to go there during national holidays like the Lunar New Year 90 of the shops and restaurants were closed On the good side at least it wasnt crowded We just happened to be there not planned and just realized that nothing to see,5 months ago
5.0, It looks quiet due to Corona but it is still a friendly place with many places to go and things to see ,6 months ago
5.0,Cosmetics heaven for ladies best discountsMust visit in Seoul for shopping,6 months ago
5.0, Its free because of covid 19 Its really nice to walk around Myeongdong Cathedral for a while ,6 months ago
4.0, Clearly a lot of business areas have died since the pandemic I hope it will end soon and the streets will be lively ,6 months ago
5.0, Myeongdong Street No1 We hope that we will soon be free from corona and ultramicrons and show a lively appearance ,6 months ago
5.0,Probably my favorite part of Seoul You can leave me here for a day and Id be OK  Tons of streetfood choices Cheesy grilled scallops candied Strawberries red bean pancakes theyve got it all My o ly regret is that I shouldve made ,6 months ago
4.0, The number of shops and customers decreased a lot due to the corona but I am glad that it seems to be coming back little by little My favorite Myeongdong Kyoja here is still good business ,6 months ago
4.0, It is a pity that the once glamorous street is now quiet ,7 months ago
4.0,Nice place for hanging out in the evening for shopping or street food hunting Branded stuff and local one are available here From cosmetics to fashion,7 months ago
5.0,So much has changed due to COVID19 but this place is still iconic and special somewhere I always bring visiting friends and newcomers,7 months ago
5.0, Myeongdong has a lot less people coming and going because of Corona but still It is still Myeongdong ,7 months ago
4.0, Due to Corona there were fewer people on the street than before and many street shops were closed I look forward to the time when the bustling Myeongdong comes to life again ,7 months ago
5.0, Damage caused by COVID19 Its sad to see a closed business ,7 months ago
