,Unnamed: 0.1,index,Unnamed: 0,북촌한옥마을부정단어리뷰,index.1,단어,번역
10,10,10,308,"We spent so little time there in the morning, as we brought our parents. We visited a nice cafe inside that served delicious muffin and drinks.  Some of the routes are steep, and require good stamina. Heck, we just stayed for around 30 min walking and maybe another 30 in that cafe. We just had a couple of good photos (since we were all dressed in hanbok) and left.  Maybe if I travle with friends someday I will visit this village again, maybe even make a traditional stamps or two. But travelling as a family... I won't recommend this place.",10,inside,"우리는 부모님을 모시고 아침에 그곳에서 너무 짧은 시간을 보냈습니다. 우리는 맛있는 머핀과 음료를 제공하는 멋진 카페를 방문했습니다. 일부 경로는 가파르고 좋은 체력이 필요합니다. 젠장, 우리는 도보로 약 30분 동안 머물렀고 그 카페에서 또 다른 30분을 머물렀습니다. 우리는 단지 좋은 사진 몇 장을 찍고 (우리는 모두 한복을 입고 있었기 때문에) 떠났습니다. 언젠가 친구들과 여행을 하게 된다면 이 마을을 다시 방문하고 전통 우표를 한두 개 만들어 볼 것입니다. 하지만 가족 여행은... 추천하지 않습니다."
11,11,11,314,"Lovely neighborhood with privately owned hanoks. Start out at the Tradional Cultural Center and pick up a free detailed area map. The Cultural Center has restrooms and displays of typical hanok houses that you can peek inside. Shops and restaurants are along the way although on a Tuesday morning there did not seem to be many places open but the crowd was also sparse. Signage is good at helping one find the way. Some of the streets are steep. We took the metro getting off at Anguk Station, exit 3.",11,inside,개인 소유의 한옥이 있는 멋진 동네. 전통 문화 센터에서 시작하여 무료 상세 지역 지도를 받으세요. 문화회관에는 화장실과 내부를 엿볼 수 있는 전형적인 한옥 전시관이 있습니다. 화요일 아침에 문을 여는 곳이 많지 않았지만 군중도 드물었지만 상점과 레스토랑이 길을 따라 있습니다. 표지판은 길을 찾는 데 도움이 됩니다. 일부 거리는 가파르다. 우리는 지하철 안국역 3번출구에서 내렸다.
12,12,12,374,This was part of a tour and it's lots of traditional houses in a specific part of Seoul. The houses are not open to the public and before you go you are asked not to make too much noise as its residential. There are people there with signs saying don't make too much noise. You really don't see the houses inside it's just the exterior and they are 100 years old it was interesting but I don't think I would make it my business to take time out to go there to see it specifically. It would be nice if one hone was on view.,12,inside,이것은 여행의 일부였으며 서울의 특정 지역에 많은 전통 가옥이 있습니다. 집은 대중에게 공개되지 않으며 가기 전에 주거지로서 너무 많은 소음을 내지 않도록 요청받습니다. 너무 시끄럽게 하지 말라는 표지판이 있는 사람들이 있습니다. 당신은 정말로 집 내부를 보지 못하고 단지 외관일 뿐이고 100년이 넘었다는 것은 흥미로웠습니다. 하나의 숫돌이 시야에 있다면 좋을 것입니다.
13,13,13,378,I'm kindda a history buff so having to experience walking along and inside the urban environment dating back 600 years ago was a chance not to be missed. The houses are so well maintained and beautiful to look at. Love it here!,13,inside,나는 일종의 역사 애호가이므로 600년 전으로 거슬러 올라가는 도시 환경을 따라 걷고 경험하는 것은 놓칠 수 없는 기회였습니다. 집들이 너무 잘 관리되고 아름다워 보기에 좋습니다. 여기를 좋아해!
14,14,14,479,"Maybe because there were just too many tourists when we were there to take any nice photos. However, still interesting to know that these traditional houses actually have residents staying inside.",14,inside,아마도 우리가 거기에 있었을 때 멋진 사진을 찍기 위해 너무 많은 관광객이 있었기 때문일 수 있습니다. 그러나 이러한 전통 가옥에 실제로 거주자가 거주하고 있다는 사실은 여전히 ​​흥미롭습니다.
15,15,15,489,"Just walk along the road deep inside the Village. You will find traditional Korean tea houses, restaurants, and item shops. However, be aware of the residents. They dislike too loud voice.",15,inside,"마을 안쪽 깊숙한 길을 따라 걸으면 됩니다. 한국의 전통 찻집, 식당, 물품 판매점을 찾을 수 있습니다. 다만, 주민 여러분의 양해 바랍니다. 그들은 너무 큰 목소리를 싫어합니다."
16,16,16,491,"The village has nice traditional Korean houses. However, they are suffering from tourism. The houses are mostly occupied but families living in them. But tourists are not letting them live happily and with privacy. There are signs by the residents (see photos) indicating that they are suffering. There are signs on most doors asking people to not open doors/knock on them. There are also staff with yellow vests asking tourists to be quiet as they visit the village. Yet, I witnessed so many people talking loudly, knocking on doors and trying to go inside, and many other disturbing behaviors. This is unsustainable and unethical tourism. There are many other places in Korea where you can find that style of architecture. Do yourself and the village a favor and skip this place - let the locals live. I would’ve skipped if I was aware of this problem.",16,inside,"마을에는 멋진 한국 전통 가옥이 있습니다. 그러나 그들은 관광으로 고통 받고 있습니다. 집은 대부분 점유되어 있지만 가족이 살고 있습니다. 그러나 관광객들은 그들이 행복하게 사생활을 누리도록 내버려 두지 않습니다. 주민들이 고통을 호소하는 표지판(사진 참조)이 있습니다. 대부분의 문에는 사람들에게 문을 열거나 두드리지 말라는 표시가 있습니다. 관광객들이 마을을 방문할 때 조용히 해달라고 노란색 조끼를 입은 직원도 있습니다. 그러나 나는 많은 사람들이 큰 소리로 이야기하고, 문을 두드리고, 안으로 들어가려고 하는 것과, 다른 많은 불안한 행동을 목격했습니다. 이것은 지속 불가능하고 비윤리적인 관광입니다. 한국에도 그런 건축 양식을 볼 수 있는 곳이 많이 있습니다. 자신과 마을에 호의를 베풀고 이곳을 건너 뛰십시오. 현지인이 살게하십시오. 이 문제를 알고 있었다면 건너뛰었을 것입니다."
17,17,17,492,Strolled through the village following a recommended walking tour provided by a tourist info center. Charming traditional houses. You could go inside a couple of them. Some areas with shopping & restaurants. Many people wandering about in traditional Korean dress added to the experience,17,inside,관광 안내소에서 제공하는 추천 도보 여행을 따라 마을을 산책했습니다. 매력적인 전통 가옥. 당신은 그들 중 몇 안에 들어갈 수 있습니다. 쇼핑과 레스토랑이 있는 일부 지역. 한복 차림으로 방황하는 많은 사람들이 체험을 더했다.
18,18,18,500,This is a residential area in Seoul and one should have that in mind when visiting the place. It is made of small private homes with history boasting 600 years. The houses are small made with wood and stone on a very peculiar architectural style. Some were turned into small restaurants and coffee shops giving you a chance to see the inside of the houses. Some locals wearing yellow jackets can help you through the narrow streets. The visit should not take long and it is definitely a spot you should not miss.,18,inside,이곳은 서울의 주거 지역이므로 이곳을 방문할 때 염두에 두어야 합니다. 600년의 역사를 자랑하는 작은 민가들로 이루어져 있습니다. 집들은 매우 독특한 건축 양식에 따라 나무와 돌로 작게 지어졌습니다. 일부는 집 내부를 볼 수 있는 작은 레스토랑과 커피숍으로 바뀌었습니다. 노란색 재킷을 입은 일부 지역 주민들이 좁은 길을 지나갈 때 도움을 줄 수 있습니다. 방문은 오래 걸리지 않아야 하며 절대 놓쳐서는 안 될 장소입니다.
19,19,19,545,A traditional Korean village inside the city. They have preserved the heritage. You have to walk up and you can take photo with the headless traditional figurines n front of the village!,19,inside,도심 속 한옥마을. 그들은 유산을 보존했습니다. 걸어서 올라가야 하고 마을 앞에서 머리 없는 전통 인형들과 함께 사진도 찍을 수 있어요!
20,20,20,552,"The village is located about 10-15 min walk from Anguk station. The station itself is one of the most artistic station I have ever visited in Seoul. I must say that the village is a good place to get to know Korean heritage through its traditional houses (you must know that some people still live inside those houses). There is this one house that you can enter so that you can experience living like a Korean. For those who loves learning about different culture, this is the place to be !",20,inside,안국역에서 걸어서 10~15분 정도 걸리는 마을입니다. 역 자체는 내가 서울에서 방문한 가장 예술적인 역 중 하나입니다. 나는 이 마을이 전통 가옥을 통해 한국의 유산을 알 수 있는 좋은 장소라고 말하고 싶습니다. 한국인답게 생활할 수 있도록 들어갈 수 있는 집이 하나 있습니다. 다른 문화에 대해 배우는 것을 좋아하는 사람들을 위해 이곳이 될 곳입니다!
21,21,21,618,This is a lovely residential area which worth to pay a visit. The houses are beautiful but we didn’t have a chance to look inside!,21,inside,방문할 가치가 있는 아름다운 주거 지역입니다. 집들은 아름답지만 우리는 내부를 볼 기회가 없었습니다!
22,22,22,622,"Bukchon Hanok Village is the small village in in middle of buzzling city of Seoul which keep its traditional architectural houses. If you'd like to explore the inside of houses, try not visit it in the evening because you can not go inside after 5 PM. Wearing hanbok while exploring the house will give you new experience of the real Korean village people.",22,inside,북촌한옥마을은 서울의 북촌 한복판에 있는 작은 마을로 전통가옥을 간직하고 있다. 집 안을 둘러보고 싶다면 오후 5시 이후에는 들어갈 수 없기 때문에 저녁에는 방문하지 않는 것이 좋다. 한복을 입고 집을 둘러보면 실제 한국 마을 사람들의 새로운 경험을 할 수 있습니다.
23,23,23,633,"Quite nice architecture but all doors are closed except for one or two which have been turned to shops. The street can be narrow and steep. I was surprised to see a banner that roughly says ‘No tourists please ‘ and no talking signs pasted on most doors. I guess people live inside these houses and the whole atmosphere is very quite except for those made by tourists. Despite the hot summer, some tourists are game enough to wear traditional dresses to take photos.😂",23,inside,꽤 멋진 건축물이지만 상점으로 바뀌는 한두 개를 제외하고 모든 문이 닫힙니다. 거리는 좁고 가파를 수 있습니다. 대부분의 문에 '관광객 금지'라고 대충 적힌 현수막과 대화 금지 표지판을 보고 놀랐습니다. 이 집들 안에 사람들이 살고 있는 것 같은데 관광객들이 만드는 것 빼고는 전체적인 분위기가 아주 조용합니다. 무더운 여름에도 불구하고 일부 관광객들은 한복을 입고 사진을 찍을 정도로 게임을 하고 있습니다.😂
24,24,24,663,"what should I say, yes it's old and traditional houses but imagine that a hundred year old house with a Lamborghini inside. nice house but not a must to see in Korea",24,inside,"뭐라고 말해야 할까요, 예, 오래된 전통 가옥이지만 내부에 람보르기니가 있는 100년 된 집이라고 상상해 보세요. 좋은 집이지만 한국에서 꼭 봐야 할 것은 아닙니다."
25,25,25,707,"i love history and the houses here are just so beautiful. i want to get in to see how it look inside.  it is very tiring to go up and down the street. it is uphill and downhill.  there are many shop where you can buy clothes and everything.  restaurants and coffee shop not to get hungry.  when you are up you will be able to witness a beautiful view, just relax and enjoy",25,inside,나는 역사를 사랑하고 여기의 집들은 너무 아름답습니다. 내부가 어떻게 생겼는지 들어가보고 싶어요. 거리를 오르락내리락 하는 것은 매우 피곤하다. 오르막과 내리막입니다. 옷과 모든 것을 살 수 있는 상점이 많이 있습니다. 배고프지 않도록 레스토랑과 커피숍. 일어나면 아름다운 경치를 목격할 수 있을 것입니다. 긴장을 풀고 즐기세요.
26,26,26,731,"Our taxi dropped us off this 100 year old Korean exhibition house either a scenic overview of the Bukchon village, unfortunately we were not allowed inside the house because we were not with a guided tour. But fortunately they allowed us to enter & view the house from the garden -- to officially open in 2 months. This was a home of a Korean surgeon & now bought by the City of Seoul. Yes it's worth a visit then walk to G-Palace . Ginseng chicken soup Restaurant was our lunch stop in this area.",26,inside,"우리 택시는 이 100년 된 한국 전시관에서 북촌 마을의 아름다운 전경을 내려줬습니다. 불행히도 우리는 가이드 투어가 없었기 때문에 집 안에 들어갈 수 없었습니다. 그러나 운 좋게도 그들은 우리가 정원에서 집에 들어가고 볼 수있게 해주었습니다. 공식적으로 2 개월 만에 문을 열었습니다. 이것은 한국 외과 의사의 집이었고 지금은 서울시에서 구입했습니다. 예, 방문할만한 가치가 있습니다. 그런 다음 G-Palace까지 걸어가십시오. 인삼 치킨 수프 레스토랑은 이 지역에서 점심을 먹었습니다."
27,27,27,751,It is fun to walk around the area. Especially the little craft shops inside or the small cafe's. It is close to the palace!,27,inside,주변을 산책하는 재미가 있습니다. 특히 내부의 작은 공예품 상점이나 작은 카페. 궁에서 가깝습니다!
28,28,28,785,"This is absolutely fantastic! Bukchon is a traditional Korean hanok village in the heart of Seoul. The hanok houses are so beautiful, and I couldn't stop taking photos. It is possible to go inside some of the houses, and you can also buy morning or afternoon tea and just enjoy the atmosphere of this amazing place. The streets are quite steep, but it is definitely worth making the effort to navigate your way through them. And you'll find some great views over Seoul too. I would highly recommend a visit to Bukchon.",28,inside,"이것은 절대적으로 환상적입니다! 북촌은 서울의 중심부에 있는 한국의 전통 한옥 마을입니다. 한옥집들이 너무 예뻐서 사진을 멈출 수가 없었어요. 일부 집에 들어갈 수 있으며 모닝 또는 애프터눈 티를 사서이 놀라운 장소의 분위기를 즐길 수도 있습니다. 거리는 꽤 가파르지만, 길을 찾기 위해 노력할 가치가 있습니다. 그리고 서울의 멋진 전망도 볼 수 있습니다. 나는 북촌에 방문하는 것이 좋습니다."
29,29,29,787,"been to this place the morning before our flight going back home (manila). though im satisfied seeing the hanok, but i would love to experience going inside and see how traditional houses were arranged. unfortunately, we were not able to follow the tour map and were not able to reach the highlight of the hanok village (where the abundant hanoks are located). dont forget to try a mango dessert at philippines dessert cafe. :)  how to get here? we took a train from myeongdong. the nearest subway station is Anguk (orange line, line 3). take exit 3, walk few meters and take left turn for Gyedong-gil (road/street).  For tour map, visit this site and print the map: http://www.visitseoul.net/en/article/article.do?_method=view&art_id=58509&lang=en&m=0004004004001&p=04",29,inside,"우리 비행기가 집으로 돌아가기 전 아침(마닐라) 이 장소에 갔다. 한옥을 보는 것만으로도 만족하지만 내부에 들어가서 전통 가옥이 어떻게 배치되어 있는지 경험하고 싶습니다. 아쉽게도 지도를 따라가지 못하고 한옥마을의 하이라이트(한옥이 많은 곳)까지는 가지 못했습니다. 필리핀 디저트 카페에서 망고 디저트를 맛보는 것을 잊지 마세요. :) 여기 어떻게 가나요? 우리는 명동에서 기차를 탔다. 가장 가까운 지하철역은 안국역(오렌지 라인, 3호선)입니다. 3번 출구로 나와 몇 미터 걸어가다가 계동길(도로/거리) 방면으로 좌회전합니다. 관광 지도를 보려면 다음 사이트를 방문하여 지도를 인쇄하십시오. http://www.visitseoul.net/en/article/article.do?_method=view&art_id=58509&lang=en&m=0004004004001&p=04"
30,30,30,792,"Whenever you visited an old village, one would think it is a show case. In this case, this is real life though the building dated back some 500 years ago. They have couple of houses open to visitors to see inside.  It is only available to visit before sunset to give residence some privacy. The area outside the old village is also very interesting with cafe and restaurant', also very near to president residence.",30,inside,오래된 마을을 방문할 때마다 쇼케이스라고 생각할 것입니다. 이 경우에는 건물이 약 500년 전으로 거슬러 올라가지만 실제 생활입니다. 그들은 방문자가 내부를 볼 수있는 몇 채의 집이 있습니다. 거주지에 프라이버시를 제공하기 위해 일몰 전에만 방문할 수 있습니다. 오래된 마을 밖의 지역은 카페와 레스토랑이 있는 매우 흥미로운 곳이기도 하며 대통령 거주지와도 매우 가깝습니다.
31,31,31,794,"Lots of traditional homes still preserved from the olden days. I went here on mid May and it was still chilly. So bring your jackets during any season. You have to walk a lot from the station and the place is quite hilly so sneakers are recommended. The neighborhoods are a mix of traditional and modern houses. People live inside. Lots of flowers blooming on early summer. The roads were quite narrow and scenic. Excellent for pictures. It was great cultural experience. If you don't care about culture, don't bother with it. You might find it Uninteresting.  I was very tired of walking towards the end of my journey there, so I rested in a Cafe And had some shaved ice cream with red bean paste and rice cake. The portion was big but still it was overpriced, in my opinion. Actually, everything in there is more pricey than anywhere else. It's a stylish little town. And I bet the merchants know tourists go there so it's expected, I guess.  Despite the cold weather and aching feet, I still really enjoyed my trip there. Definitely recommend!!!! ♡",31,inside,"많은 전통 가옥이 옛날부터 보존되어 있습니다. 나는 5월 중순에 여기에 갔고 여전히 쌀쌀했다. 따라서 모든 계절에 재킷을 가져오십시오. 역에서 많이 걸어야 하고 언덕이 많아 운동화를 신는 것을 추천합니다. 동네는 전통 가옥과 현대 가옥이 혼합되어 있습니다. 사람들은 내부에 살고 있습니다. 초여름에 피는 꽃이 많다. 길은 꽤 좁고 경치가 좋았다. 사진에 탁월합니다. 훌륭한 문화 경험이었습니다. 문화에 관심이 없다면 신경쓰지 마세요. 흥미롭지 않다고 생각할 수도 있습니다. 여행 막바지에 걸어가기 너무 피곤해서 카페에서 쉬고 팥빙수와 떡볶이를 먹었습니다. 그 부분은 컸지 만 여전히 내 생각에는 너무 비쌌습니다. 사실, 거기에 있는 모든 것이 다른 곳보다 비쌉니다. 세련된 작은 마을입니다. 그리고 상인들은 관광객들이 거기에 간다는 것을 알고 있기 때문에 예상됩니다. 추운 날씨와 아픈 발에도 불구하고 나는 여전히 그곳에서의 여행을 정말로 즐겼습니다. 무조건 추천!!!! ♡"
32,32,32,809,"actually, lots of this area is private are which is owned by citizen. but the government opens for public as a tourist destination. so, they suggest you not to make noisy sounds. you can see the typical of old style Korean house. my friend who was my guide said that this area is quite expensive. so, all the house might have expensive price. don't forget to take a map at the tourist information, because they give a direction how to explore this place. only few place in the Bukchon that have free entrance. if you want to see inside the house, you have to pay 10.000 won. if you want see all around Bukchon from 3rd fl., you have to pay also (but i forgot how much is it). i've found nothing special in here, just to improve knowledge about the Korean tradition. Bukchon is very near to Gyeongbokgung. so, after visit Gyeongbokgung, try to walk to find Bukchon.",32,inside,"실제로, 이 지역의 많은 부분은 시민이 소유한 사유지입니다. 그러나 정부는 관광지로 대중에게 개방합니다. 그래서 그들은 시끄러운 소리를 내지 말 것을 제안합니다. 한옥의 전형적인 모습을 볼 수 있습니다. 가이드였던 친구는 이 지역이 꽤 비싸다고 했다. 그래서 모든 집이 비싼 가격을 가질 수 있습니다. 관광 안내소에서 지도를 가져오는 것을 잊지 마세요. 이곳을 탐색하는 방법을 알려주기 때문입니다. 북촌에서 무료입장이 가능한 곳은 거의 없습니다. 집 안을 보고 싶으면 10,000원을 내야 한다. 3층에서 북촌 일대를 보고 싶다면 돈을 내야 합니다(얼마인지 잊어버렸습니다). 나는 한국 전통에 대한 지식을 향상시키기 위해 여기에서 특별한 것을 발견하지 못했습니다. 북촌은 경복궁과 매우 가깝습니다. 그래서 경복궁을 방문한 후 북촌을 찾기 위해 걸어보십시오."
33,33,33,822,"A must visit in seoul, where the traditional old quarter situated in the middle of modern glitzy seoul. A comfortable stroll next to the palace and Insadong area. Can easily spend about an hour or two. Has the lovely korean traditional houses. We'll preserved. If lucky can visit some inside and take a look. Has some lovely cafés and art galleries.",33,inside,현대의 화려한 서울 한가운데에 위치한 전통적인 구시 가지가있는 서울에서 꼭 가봐야 할 곳. 궁궐과 인사동 지역 옆에 있는 편안한 산책. 약 1-2 시간을 쉽게 보낼 수 있습니다. 아름다운 한국 전통 가옥이 있습니다. 지켜드리겠습니다. 운이 좋으면 내부를 방문하여 살펴볼 수 있습니다. 멋진 카페와 미술관이 있습니다.
34,34,34,829,"This area is full of little nice but surprising museums : chicken museum, embroidery museum, amulets museum. We even got the unplanned opportunity to learn how to paint on wood and get a tea ceremony. So don't hesitate to try some of those little museums , you never know what awaits you inside !",34,inside,"이 지역은 닭 박물관, 자수 박물관, 부적 박물관 등 작지만 멋진 박물관으로 가득합니다. 우리는 심지어 나무에 그림을 그리는 법을 배우고 다도를 할 수 있는 뜻밖의 기회를 얻었습니다. 그러니 주저하지 말고 그 작은 박물관을 방문해 보십시오. 내부에서 무엇이 여러분을 기다리고 있는지 결코 알 수 없습니다!"
