,Unnamed: 0.1,index,Unnamed: 0,경복궁부정단어리뷰,index.1,단어,번역
10,10,10,1067,I visited this palace today.  Wow - how boring can a palace be! This one takes the biscuit!! Lots of Koreans all garbed up in traditional Korean dress which they hire locally - even men so they get free admission. Selfies are the order of the day. We maybe just a bit of glamour.  Let's get down to hard facts. Lots of buildings - most closed with nothing to see. Those open / nothing inside - again empty rooms - nothing to see. Exceptions: the throne room has a throne in - basic and the Gyeonghoeru Pavilion is of national significance for its important part in architectural design and application.  This is not a place to visit even if it only costs 4000 won.  The National Palace Museum of Korea is in the same compound (admission free) is excellent. So head there when disillusionment overcomes you from your Palace experience.,10,empty,나는 오늘 이 궁전을 방문했다. 와우 - 궁전이 얼마나 지루할 수 있습니까! 이것은 비스킷을 차지합니다!! 많은 한국인들이 현지에서 고용한 한국 전통 의상을 입고 있습니다. 심지어 남성도 무료 입장이 가능합니다. 셀카는 오늘의 순서입니다. 우리는 어쩌면 약간의 매력일 수도 있습니다. 어려운 사실에 대해 알아보자. 많은 건물 - 볼 것이 없는 폐쇄된 대부분의 건물. 그 열린/아무것도 안에 - 다시 빈 방 - 아무것도 볼 수 없습니다. 예외: 보좌실은 기본적으로 보좌가 있고 경회루는 건축 설계 및 적용에서 중요한 역할을 하기 때문에 국가적으로 중요합니다. 가격이 4000원에 불과해도 가볼만한 곳은 아니다. 국립고궁박물원은 같은 단지에 있어(입장료 무료) 우수하다. 따라서 궁전 경험에서 환멸이 당신을 압도할 때 그곳으로 가십시오.
11,11,11,1070,"My sister and I visited Gyeongbokgung, once without a hanbok (entrance fee is 3000krw/person if I'm not mistaken) and again with hanbok (free entry) for the fun of it. Visitors are not allowed to enter any of the buildings which are empty, however are free to walk everywhere. Everything is outdoor... The weather was pretty cold when we were there. The cafe and gift shop was our temporary hideout for snacks and hot tea. There are free English tours available at certain times during the day. We did not join the tour due to the cold weather. The guards change ceremony is also interesting to watch. This was one of the busiest palace we visited during our trip. We spent about 2-3 hours here.",11,empty,"언니와 나는 경복궁을 한번은 한복 없이(입장료는 3000원/인), 한번은 한복을 입고(무료 입장) 그 재미를 만끽했다. 방문객은 비어 있는 건물에 들어갈 수 없지만 모든 곳을 자유롭게 걸을 수 있습니다. 모든 것이 야외입니다 ... 우리가 거기에 있었을 때 날씨는 꽤 추웠습니다. 카페와 선물 가게는 간식과 따뜻한 차를 위한 임시 은신처였습니다. 하루 중 특정 시간에 무료 영어 투어가 제공됩니다. 우리는 추운 날씨로 인해 투어에 참여하지 않았습니다. 근위병 교대식도 흥미롭다. 이것은 우리가 여행 중에 방문한 가장 바쁜 궁전 중 하나였습니다. 우리는 여기에서 약 2-3 시간을 보냈습니다."
12,12,12,1185,The palace is worth the visit for its unique oriental buildings and its change of guards which matches that at the Buckingham palace. The rooms are empty so don't expect to see fine interiors.,12,empty,궁전은 독특한 동양식 건물과 버킹엄 궁전의 경비원 교대식으로 방문할 가치가 있습니다. 방은 비어 있으므로 멋진 인테리어를 기대하지 마십시오.
13,13,13,1223,Go there for a good morning walk.Nothing much to see. Very empty palace. Lucky the entrance fee is not expensive.,13,empty,좋은 아침 산책을 위해 거기에 가십시오.별로 볼 것이 없습니다. 아주 텅 빈 궁전. 다행히 입장료가 비싸지 않다.
14,14,14,1482,"As my wife likes history and has been watching some Korean dramas relating to this period in time, we had to come and visit when we visited Korea. We watched the changing of the guards and spent an afternoon looking around. It was okay, pity you can't actually go inside the buildings (which are empty). It would be nice to visit here in the summer months.",14,empty,아내가 역사를 좋아하고 이 시기에 관련된 한국 드라마를 본 적이 있어서 한국에 왔을 때 꼭 들르게 되었습니다. 경비병 교대식을 지켜보며 오후를 보냈습니다. 그것은 괜찮 았지만 실제로 건물 (비어 있음) 안에 들어갈 수 없다는 것이 유감입니다. 여름에 이곳을 방문하면 좋을 것 같습니다.
15,15,15,1523,"A vast area with a lot of very pretty but closed buildings. There were some you could look into, but most of the buildings seemed like empty shells. Very beautiful buildings though. Not many places to get something to eat, and not really much to see. Maybe a guided tour would have been more informative, but I really loathe guided tours - so that's not an option for me. It didn't feel like totally wasted time, but I will never visit again.",15,empty,매우 아름답지만 폐쇄된 건물이 많은 광대한 지역. 들여다볼 수 있는 것도 있었지만 대부분의 건물은 빈 조개껍데기 같았다. 그러나 매우 아름다운 건물. 먹을 것을 얻을 수 있는 곳도 많지 않고 볼 것도 많지 않습니다. 가이드 투어가 더 유익했을 수도 있지만 가이드 투어를 정말 싫어합니다. 그래서 그건 제 선택이 아닙니다. 시간을 완전히 낭비한 것처럼 느껴지지는 않았지만 다시는 방문하지 않을 것입니다.
16,16,16,1573,"Gyeongbokgung Palace is absolutely huge, but after a while all of the buildings start to look very similar. The first part of the palace is the most interesting: Gwanghwamun Gate, the large paved courtyards and the throne room are truly impressive. After the first 3 or 4 buildings I got bored very quickly and found that the rest of the palace consisted of nothing more than empty rooms in near identical buildings. The only features of interest past the initial cluster of buildings were the small lake with the garden island (behind the main palace) and the large pavilion for official entertaining on a large lake to the west of the main section of palace buildings. A lack of clear signage made it hard to find where to go next. I spent an hour and a half wandering around until I lost interest but you could easily spend much more time here if you wanted to. I was a bit disappointed that the palace is largely just empty buildings you can only see from the outside - it is hard to appreciate the rich history of Korea when one buildings looks the same as the one you just saw. Changdeokgung Palace had more character and was much prettier. The Changing of the Guard happens regularly and is a good show, but not as interesting as the one at Deoksugung Palace.",16,empty,"경복궁은 정말 거대하지만 시간이 지나면서 건물들이 모두 비슷해 보이기 시작합니다. 궁전의 첫 번째 부분이 가장 흥미롭습니다. 광화문, 포장된 넓은 안뜰 및 왕실이 정말 인상적입니다. 처음 3개 또는 4개의 건물 이후에 나는 매우 빨리 지루해져서 궁전의 나머지 부분이 거의 동일한 건물의 빈 방으로 구성되어 있다는 것을 알았습니다. 건물의 초기 클러스터를 지나서 관심 있는 유일한 특징은 정원 섬이 있는 작은 호수(본궁 뒤에 있음)와 궁전 건물의 주요 섹션 서쪽에 있는 큰 호수에서 공식 접대를 위한 큰 정자였습니다. 명확한 간판이 없어서 다음에 갈 곳을 찾기가 어려웠습니다. 흥미를 잃을 때까지 1시간 30분을 돌아다녔지만 원한다면 여기서 훨씬 더 많은 시간을 보낼 수 있습니다. 궁궐은 대부분 밖에서만 보이는 텅 빈 건물에 불과해서 조금 아쉬웠습니다. 한 건물이 방금 본 것과 같은 모습으로 한국의 풍부한 역사를 감상하기 어렵습니다. 창덕궁이 더 개성있고 예뻤어요. 근위병 교대식은 정기적으로 진행되며 좋은 공연이지만 덕수궁만큼 흥미롭지는 않습니다."
17,17,17,1602,"Kinda waste of time and money for visit.. probably i duno how to appreciate wide ""empty"" palace. Simply nothing for me to see. Less than 10mins, am outta of this place",17,empty,"방문을 위한 시간과 돈의 낭비.. 아마도 나는 넓은 ""빈"" 궁전을 감상하는 방법을 모릅니다. 단순히 내가 볼 수 없습니다. 10분도 안되어 이 곳을 벗어납니다."
18,18,18,1673,"This palace is just an empty palace. To know more about the palace, please get a tour. Otherwise, you can buy the palace brochure for 500 won. Audio guides are available as well.  Nothing much to see except for the huge area use to construct the palace, many are reconstructed back as it was damaged and of cause the guard changing ceremony for the first timers.  Nevertheless, an eye opener for first timers.  I went there during December, as the place is covered with mud and melted snow, it gets quite dirty for your shoes as well as for your legs (jeans).  Please also take note that as the roof are constructed like in the olden days, they have a down slope roof, therefore melted snow (ice) will slide and drop down, please be careful when you are touring the palace especially if you have kids.",18,empty,"이 궁전은 그냥 빈 궁전입니다. 궁전에 대해 더 알고 싶다면 투어를 이용하세요. 그렇지 않으면 500원에 궁전 브로셔를 구입할 수 있습니다. 오디오 가이드도 제공됩니다. 궁전을 건설하는 데 사용되는 거대한 지역을 제외하고는 볼 것이 많지 않습니다. 많은 부분이 손상되어 재건되었으며 첫 번째 타이머의 경비원 교대식을 유발했습니다. 그럼에도 불구하고, 처음 타이머를위한 눈을 뜨게합니다. 12월에 갔을 때 진흙과 녹은 눈으로 뒤덮여 신발과 다리(청바지)가 많이 더러워졌습니다. 또한 지붕은 옛날과 같이 건설되어 내리막지붕으로 되어 있어 녹은 눈(얼음)이 미끄러져 떨어집니다. 특히 아이가 있는 경우 궁궐내를 둘러보실 때 주의하시기 바랍니다."
19,19,19,1675,"The compound area is huge but the palace itself is empty. Nothing. Few pieces of furniture. Artwork? It's not even 100 years old. I was told 90% of the buildings was demolished during Japanese occupation during 1911, it so frustrating. Nevertheless, I was awed with the Change of Guard Ceremony. I think people does not care much about history as long as they can brag about it and take many as many pics around this palace. Compared to many palaces & castles I've been, this doesn't left much impression on me.",19,empty,복합 지역은 거대하지만 궁전 자체는 비어 있습니다. 아무것도 아님. 가구 몇 조각. 작품? 100년도 안됐네요. 1911년 일제 강점기 때 건물의 90%가 철거되었다고 들었습니다. 너무 실망스럽습니다. 그럼에도 불구하고 나는 근위병 교대식에 놀랐다. 나는 사람들이 역사에 대해 자랑하고 이 궁전 주변에서 많은 사진을 찍을 수 있는 한 역사에 대해 별로 신경 쓰지 않는다고 생각합니다. 내가 가본 많은 궁전과 성에 비해 이것은 나에게 많은 인상을 남기지 않았습니다.
20,20,20,1813,"We were fortunate enough to visit the Palace when they lit up the place and allow visitors to come at night, so we spent half a day and the evening there. It was quite an experience as the Palace was packed with people. The Palace area is huge and the buildings are pretty however some may find the palace rather 'empty' and I do prefer Changdeokgung. The changing guards was quite fun to watch. For a good walk, go to Gwanghwamun Square and walk towards the Palace.",20,empty,우리는 그들이 장소를 밝히고 방문자가 밤에 올 수있을 때 궁전을 방문 할만큼 운이 좋아서 반나절과 저녁을 보냈습니다. 궁전이 사람들로 가득 차 있었기 때문에 그것은 꽤 경험이었습니다. 궁전 지역은 거대하고 건물은 아름답지만 일부 사람들은 궁전이 오히려 '비어 있다'고 생각할 수 있으며 저는 창덕궁을 선호합니다. 변화하는 경비원은 보는 것이 꽤 재미있었습니다. 좋은 산책을 위해 광화문 광장으로 이동하여 궁전 방향으로 걸어가십시오.
21,21,21,1939,was having a high hope when coming over to checkout the palace. When we arrive it is a bit of disappointing as it look bit barren / empty.  if you're visiting here on summer i suggest to visit here in the evening as the sun is too hot to move around.  there is a museum nearby which the access is free of charge :),21,empty,궁전을 체크 아웃하기 위해 올 때 큰 희망을 가지고있었습니다. 우리가 도착했을 때 약간 황량한 / 비어있는 것처럼 보이기 때문에 약간 실망 스럽습니다. 여름에 이곳을 방문한다면 태양이 너무 뜨거워 움직일 수 없기 때문에 저녁에 이곳을 방문하는 것이 좋습니다. 근처에 박물관이 있어 무료로 입장 가능합니다 :)
22,22,22,1996,A beautiful palace that takes several hours to see properly. If you plan to visit any other palace or Jongymo Shrine buy the Combined Ticket as more cost effective. The Pavilions are especially lovely. There is no set way to go around and most buildings are empty (the Throne Room is partially furnished). If you hire a Hanbok (costume) entrance is free (depends on weather if you do this as they are not rain friendly).,22,empty,제대로 보려면 몇 시간이 걸리는 아름다운 궁전. 다른 궁궐이나 종이모를 방문할 계획이라면 통합 입장권을 구매하는 것이 더 저렴합니다. 파빌리온이 특히 아름답습니다. 돌아다녀도 정해진 길이 없고 대부분의 건물이 비어 있습니다(왕좌의 방은 부분적으로 가구가 비치되어 있습니다). 한복(의상)을 대여하면 입장료가 무료입니다(비가 내리지 않으므로 날씨에 따라 다름).
23,23,23,2213,"We walked the entire park. Beautiful buildings. No one there to talk about any of them. Cannot see inside at all. A few doors open to look at empty spaces with painted walls but most areas doors locked and cannot see inside. No furniture, no mats. Do not get a feel for how they lived many years ago. There is construction going on in some area which were completely blocked off. I was disappointed because I wanted a sense of how the family lived their lives during that time period. Only saw buildings.",23,empty,우리는 공원 전체를 걸었습니다. 아름다운 건물들. 거기에 대해 이야기할 사람이 아무도 없습니다. 내부를 전혀 볼 수 없습니다. 페인트칠된 벽이 있는 빈 공간을 보기 위해 몇 개의 문이 열리지만 대부분의 영역은 잠겨 있어 내부를 볼 수 없습니다. 가구도 없고 매트도 없습니다. 그들이 몇 년 전에 어떻게 살았는지 느끼지 마십시오. 완전히 차단된 일부 지역에서 공사가 진행 중입니다. 그 기간 동안 가족들이 어떻게 살았는지 느껴보고 싶었기 때문에 실망했습니다. 건물만 보였다.
24,24,24,2335,"As important as this palace is in the list of national treasures of South Korea, it's actually quite a boring place to visit full of empty buildings, except for the throne room and the changing of the palace guards. Wish they had filled those buildings with some kind of exhibits to reflect the glory of this palace. I had to get a sense of the magnificence of the palace during its glory days in the National Palace Museum instead.",24,empty,국보에 등재된 이 궁궐만큼 중요한 것은 왕좌의 방과 호위병 교대식을 제외하고는 빈 건물로 가득 찬 이곳을 구경하기에는 사실 꽤 지루한 곳이다. 그들이 이 궁전의 영광을 반영하기 위해 어떤 종류의 전시물로 그 건물을 채웠더라면 좋았을 것입니다. 대신 국립고궁박물원에서 전성기의 궁궐의 웅장함을 느껴야 했다.
25,25,25,2568,This is a very old palace which was first built more than 600 hundred years ago. It was a residence for the Korean kings previously.  It was destroyed and rebuilt again many times over the years. The builidngs are empty inside because most of the original furnitures and items were destryoed already.  The palace has got very colorful exteriors. There are many courtyards inside. Big space and yards. Lots of tree.  Very pleasant to walk around and take some nice photos.,25,empty,이것은 60000 년 전에 처음 지어진 매우 오래된 궁전입니다. 예전에 조선 왕들의 거처였다. 수년에 걸쳐 여러 번 파괴되고 재건되었습니다. 대부분의 원래 가구와 품목이 이미 파괴되어 건물 내부는 비어 있습니다. 궁전은 매우 다채로운 외관을 가지고 있습니다. 내부에는 많은 마당이 있습니다. 넓은 공간과 야드. 많은 나무. 산책하며 멋진 사진을 찍는 것이 매우 즐겁습니다.
26,26,26,2585,"In terms of size and magnificence it's the second best of the 4 palaces in my opinion. However, this one gets the most tourist because it's right in the middle of the city with a big statue in front of it. It's the palace of one of the wisest king in Korea who also invented the modern Korean writing script in an attempt to replace the Chinese script.  Inside it's beautiful with many places to walk around and enjoy a nice day in the park. The palaces and buildings, like all other 4 palaces, could be that much better enhanced if they actually placed ancient artifacts/furniture in there instead of a big empty room. Most of them are locked up...",26,empty,크기와 웅장 면에서 내 의견으로는 4 개의 궁전 중 두 번째로 좋습니다. 그러나 이것은 도시의 한가운데에 큰 동상이 있기 때문에 가장 관광객이 많습니다. 한문을 대체하기 위해 현대 한글 문자를 발명한 한국에서 가장 지혜로운 왕 중 한 사람의 궁전입니다. 내부는 산책하고 공원에서 좋은 하루를 즐길 수 있는 많은 장소가 있어 아름답습니다. 궁전과 건물은 다른 4개의 궁전과 마찬가지로 큰 빈 방 대신 고대 유물/가구를 실제로 배치하면 훨씬 더 향상될 수 있습니다. 대부분은 잠겨있고...
27,27,27,2667,"It was my place that I visited just after I arrived At least I discovered immediately the Korean culture and ambiance You should see the Guards who wear traditional dress, the 3 mains courtyards are full with locals who rent traditional costumes But the others part of the royal complexe are empty and full of serinity It s like a city inside the city All was destroyed but the gouvernement decided to rebuild it as it was and they win the challenge It s stunning If you love take pictures be ready!",27,empty,도착하자마자 방문한 곳이 바로 한국의 문화와 분위기를 바로 알게 된 곳입니다. 전통의상을 입고 있는 근위병들이 보입니다. 3개의 안뜰은 전통 의상을 대여하는 현지인들로 가득차 있지만 나머지는 왕실의 일부입니다. 단지는 텅 비어 있고 진지함으로 가득 차 있습니다. 그것은 마치 도시 안의 도시와 같습니다. 모든 것이 파괴되었지만 정부는 있는 그대로 그것을 재건하기로 결정했고 그들은 도전에서 승리했습니다. 멋지네요 사랑한다면 사진을 찍을 준비를 하십시오!
28,28,28,2765,"I walked the whole palace. I was giving high hope to review the history and how the emperor or ancient Korean lived. However, it seems like no one comment this is a REBUILD of everything!!!! You can still be amazing by the size and the building structure. However, beside the main palace all other places are empty..... A bit disappointed because I like to understand the Korean culture more. Still you can see the Korean government's effort to rebuild the palace and allow tourists understand their past.",28,empty,나는 궁전 전체를 걸었다. 나는 역사와 황제 또는 고대 한국인이 어떻게 살았는지에 대해 높은 기대를 가지고있었습니다. 그러나 이것은 아무도 언급하지 않은 것 같습니다. 이것은 모든 것의 REBUILD입니다!!!! 크기와 건물 구조에 여전히 놀라울 수 있습니다. 그러나 본궁 옆은 모두 텅텅 비었다..... 한국 문화를 더 이해하고 싶어서 조금 실망. 그럼에도 불구하고 궁궐을 재건하고 관광객들에게 그들의 과거를 이해시키려는 한국 정부의 노력을 볼 수 있습니다.
