,Unnamed: 0.1,index,Unnamed: 0,남산부정단어리뷰,index.1,단어,번역
10,10,10,346,The tower is interesting but probably not worth visiting unless you have a nice clear day. It was dull the day we went and you couldn’t see much.,10,much,타워는 흥미롭지만 맑은 날이 아니면 방문할 가치가 없을 것입니다. 우리가 간 날은 흐려서 많이 볼 수 없었습니다.
11,11,11,359,"Probably outshined by Lotte Tower which of course is bigger and badder but the wait times and surrounding area at N Tower are much better. There is good food, a bar, lovelocks and a trippy colors room before you enter the tower elevator.",11,much,"물론 더 크고 나쁜 롯데 타워에 의해 빛날 것 같지만 N 타워의 대기 시간과 주변 지역은 훨씬 낫습니다. 타워 엘리베이터에 들어가기 전에 좋은 음식, 바, lovelocks 및 trippy 색상 방이 있습니다."
12,12,12,390,"Two options to the top of the tower, hike or take a cable car. We decided to take the cable car. After purchasing the tickets, we have to stand in a very long queue which goes up two floors to reach the cable car station. It too us 40 minutes before we got into the car. The ride was smooth, but the view from the car and from the tower is nothing special. We went there in the night expecting nice views, but there is too much light which prevents us from getting a good view of the city (see picture).  Lot of young couples around who come to 'lock their love' on the railings of the tower using a paddlock. This seems to be a popular belief. There are restaurants and souvenier shops in the tower.",12,much,타워 꼭대기까지 가는 방법은 하이킹과 케이블카 두 가지가 있습니다. 우리는 케이블카를 타기로 했다. 티켓을 구입한 후 케이블카 정류장까지 2층으로 올라가는 아주 긴 줄을 서야 합니다. 우리도 차에 오르기 40분 전에. 승차감은 부드러웠지만 차와 타워에서 바라보는 전망은 특별할 것이 없습니다. 우리는 멋진 전망을 기대하고 밤에 거기에 갔지만 도시의 좋은 전망을 얻지 못하게하는 너무 많은 빛이 있습니다 (그림 참조). 자물쇠를 사용하여 타워의 난간에 '사랑을 잠그기'위해 오는 많은 젊은 커플. 이것은 대중적인 믿음인 것 같습니다. 타워에는 레스토랑과 기념품 가게가 있습니다.
13,13,13,398,"Perched on a hill accessible only by a town bus or the cable car, this provides a great view of the city of Seoul!  We went by cable car - and it was easy and fuss free. Climbing up the stairs you’d be greeted by a stall selling snacks. Try out the soup fish cakes... divine especially in cold weather. A little further up you will see the locks and love messages... there the Hawkeyed would Spy “abandoned” phone cases but these have handwritten (presumably love) notes scrawled in permanent ink... we didn’t get a chance to do this ??. Perhaps next round!  We purposely chose to go up later in the day just to see Seoul’s night light. If you are the sort who’d like to spot landmarks, please go before sundown.  Layout is very much like the observatory tower in Shanghai though! A good experience all in all!",13,much,"시내버스나 케이블카로만 갈 수 있는 언덕에 자리잡은 이곳은 서울 시내가 한 눈에 들어온다! 우리는 케이블카를 타고 갔고 쉽고 소란스럽지 않았습니다. 계단을 오르면 간식을 파는 노점이 반겨줍니다. 특히 추운 날씨에 신의 수프 어묵을 맛보십시오. 조금 더 올라가면 자물쇠와 사랑의 메시지가 보일 것입니다... 거기에는 Hawkeyed가 ""버려진"" 전화 케이스를 스파이할 것이지만 여기에는 영구적인 잉크로 휘갈겨 쓴 손으로 쓴(아마도 사랑) 메모가 있습니다... 우리는 할 기회가 없었습니다. 이거 ??. 아마도 다음 라운드! 우리는 서울의 야경을 보기 위해 일부러 늦은 시간에 올라가기로 했다. 랜드마크를 보고 싶은 분은 해가 지기 전에 가세요. 레이아웃은 상하이의 전망대와 매우 흡사합니다! 모두 좋은 경험!"
14,14,14,402,"visited this place before but didn’t appreciated it much because too many people and long lines.. but this visit is so magical, 10am just about it opens, you can appreciate the place and better view, weather also cooperated, bright and clear sky even at a very cold temperature of -4C",14,much,"전에이 장소를 방문했지만 너무 많은 사람과 긴 줄 때문에 많이 감사하지 않았습니다. . 그러나이 방문은 너무 마술적입니다. 오전 10시가 막 열리면 장소와 더 나은 전망, 날씨도 협력하고 밝고 맑은 하늘을 감상 할 수 있습니다. 영하 4도의 아주 추운 온도에서도"
15,15,15,411,"We stopped here as part of a tour, so we had our own usher who guided us to the elevators. The grounds are pleasant and parts of the old city wall can be seen in various places. The light show at the elevator was a bit much. The top floor with all the windows was filled with souvenir shops. Great views of the city, however",15,much,우리는 여행의 일부로 여기에서 멈췄으므로 우리를 엘리베이터로 안내하는 안내원이있었습니다. 경내는 쾌적하고 여러 곳에서 옛 성벽의 일부를 볼 수 있습니다. 엘리베이터의 라이트 쇼는 조금 많았습니다. 모든 창문이 있는 최상층은 기념품 가게로 가득 차 있었다. 그러나 도시의 멋진 전망
16,16,16,446,"Every travel guide to Seoul recommends you to visit the N Seoul Tower, but after queuing up in the long lines to take the cable car up, you are faced with another long queue and expensive tickets to head up to the observatory. Way too crowded and too much lights from the sign to get a nice night view of the city. You can give it a miss if you have other things to do on your itinerary.",16,much,"서울 가이드라면 누구나 N서울타워를 추천하지만, 케이블카를 타기 위해 긴 줄을 서서 기다리다 보면 전망대까지 가는 또 다른 긴 줄과 값비싼 표를 만나야 한다. 도시의 멋진 야경을 보기에는 너무 붐비고 간판의 조명이 너무 많습니다. 일정에 다른 할 일이 있으면 놓칠 수 있습니다."
17,17,17,454,"Too many lines. No sign posts. View of city was not clear since the glass was reflective. The view from nearby Signeol Seoul was much much better. If in Seoul, one could consider going to tick off the list but this one's quite average.",17,much,줄이 너무 많습니다. 간판이 없습니다. 유리가 반사되어 도시의 전망이 명확하지 않았습니다. 근처 시그널서울에서 보는 뷰가 훨씬 좋았습니다. 서울에 있다면 목록을 체크 표시하는 것을 고려할 수 있지만 이것은 평균입니다.
18,18,18,464,"One of the best viewing platforms in Seoul. Only costs around ￡4 compared to ￡16 at Seoul's Sky. Although the observation deck is lower the view is much more beautiful than Seoul sky and you can see all the sky scrappers which are especially nice during dusk and at night when everything lights up and there is an outdoor observatory too. Forget Seoul Sky, do this instead.  Recommended",18,much,서울 최고의 전망대 중 하나. 서울스카이의 가격은 ￡16에 비해 ￡4 정도입니다. 전망대는 낮지만 서울 하늘보다 훨씬 더 아름다운 풍경을 볼 수 있으며 특히 해질녘과 밤에 모든 것이 조명을 켜고 야외 전망대가 있는 밤에 특히 멋진 모든 스카이 스크래퍼를 볼 수 있습니다. 서울스카이는 ??잊어버리고 대신 이렇게 하세요. 추천
19,19,19,465,"Well, you gotta do it when in Seoul, right? Trouble is, everyone else had the same idea, so it was 'rammed' at the top.  Terrific view, though, as you'd expect, although the glare from the gift shops reflects a bit too much on the windows at night-time, spoiling photos a little.  I'm glad we went; but it was just ok, and didn't 'wow'-me.",19,much,"글쎄, 당신은 서울에있을 때 그것을해야, 그렇지? 문제는 다른 모든 사람들이 같은 생각을 했기 때문에 맨 위에 '충격을 주었다'는 것입니다. 예상대로 멋진 전망이지만 선물 가게의 눈부신 빛이 야간에 창문에 너무 많이 반사되어 사진을 약간 망칠 수 있습니다. 우리가 가서 기쁩니다. 그러나 그것은 단지 ok이었다. 그리고 나는 '와우'하지 않았다."
20,20,20,468,"We made the mistake of trusting Google Maps to get up to the tower. It took us to no man's land and our curvaceous Tongan bodies had to hike up the mountain certain someone would have a heart attack on the way. Though it seemed like a bad idea, once we finally got up the mountain we felt like Rocky Balboa or that we had conquered the world and we got much needed exercise.  The view on the Sky Tower was as expected however the highlight were the toilets with a view. Wish I had needed to go at the time because that would've been a memorable 1.",20,much,"우리는 타워에 올라갈 때 Google 지도를 신뢰하는 실수를 저질렀습니다. 그것은 우리를 사람이 살지 않는 땅으로 데려갔고, 곡선미가 있는 통가인의 몸은 도중에 누군가가 심장마비를 일으킬 것이라는 확신이 있는 산을 올라야 했습니다. 안 좋은 생각이었지만, 마침내 산에 오르자 마치 록키 발보아가 된 것 같거나 세계를 정복한 것 같은 기분이 들었고 필요한 운동을 많이 했습니다. 스카이 타워의 전망은 예상대로였지만 하이라이트는 전망이 있는 화장실이었습니다. 그것이 기억에 남는 1이었을 것이기 때문에 내가 그 당시에 갈 필요가 있었으면 좋겠다."
21,21,21,470,"We were there on a Korean holiday so it was very crowded. So much so, the line was too long to up up into the tower. We went by cart as far as we could and walked around Namsan Park. Even from there buildings below looked liked a ""Legoland"". Great perspective of the highly populated, dense city.",21,much,"우리는 한국 휴일에 거기에 있었기 때문에 매우 혼잡했습니다. 그래서인지 타워까지 올라가기에는 줄이 너무 길었다. 최대한 카트를 타고 남산공원을 걸었다. 거기에서 조차 아래의 건물은 ""레고랜드""처럼 보였다. 인구 밀도가 높은 도시의 멋진 전망."
22,22,22,471,"There are 2 ways to visit N seoul tower, by cable car or to hike up. My siblings and i decided to hike up as the cable car waiting time was 1 hour. It was a long hike with stairs and its tiring. So I recommend to take the cable car if you are with kids or if you dont plan to exercise ???? N seoul tower itself was nice, the view was great !! ?? its mostly just enjoying the view and also chilling around that area ! So if you love looking at the views and take photographs then this is for you otherwise there’s nothing much to do.",22,much,N 서울 타워를 방문하는 방법은 케이블카를 이용하는 방법과 하이킹을 이용하는 방법이 있습니다. 케이블카 대기시간이 1시간이라 남매와 나는 등산을 하기로 했다. 계단이 많고 피곤한 긴 하이킹이었습니다. 그래서 아이들과 함께 가거나 운동을 할 계획이 없다면 케이블카를 타는 것을 추천합니다 ???? N서울타워 자체도 좋고 뷰도 좋았어요!! ?? 대부분은 경치를 즐기고 그 지역에서 차가워지는 것입니다! 따라서 전망을보고 사진을 찍는 것을 좋아한다면 이것은 당신을위한 것입니다. 그렇지 않으면 할 일이별로 없습니다.
23,23,23,484,"We went up by cable car and when we arrived we found the whole area looked very dated. Admittedly, there are very good views from the top of the tower but we thought there are much better places to visit than here, unless you've got plenty of time in Seoul. By all means, go and have a look but ensure the sky's clear because you'd only go up there for the views, the tower itself and immediate surrounding areas are a little underwhelming, and that includes the Hello Kitty Island experience which I can only recommend if you are a die-hard Hello Kitty fan. Even for the likes of us, who find Hello Kitty quite cute, it was not worth our time.",23,much,우리는 케이블카로 올라갔고 우리가 도착했을 때 우리는 전체 지역이 매우 낡아 보였다는 것을 알았습니다. 물론 타워 꼭대기에서 바라보는 전망도 아주 좋지만 서울에서 시간이 충분하지 않다면 여기보다 더 좋은 곳이 있을 거라고 생각했습니다. 꼭 올라가서 하늘이 맑은지 확인하세요. 타워 자체와 바로 주변 지역은 약간 실망스럽습니다. 여기에는 내가 할 수 있는 헬로키티 아일랜드 체험만 포함됩니다. 열혈 헬로 키티 팬이라면 추천합니다. 헬로 키티가 꽤 귀엽다고 생각하는 우리 같은 사람들에게도 시간이 아깝지 않았습니다.
24,24,24,488,"So we recently visited the tower and I thought I might write down how we went about it and some suggestions. --------------------------------- When to go:  So we visited in early August and found that the best time to to go was the evening (of course this will depend on weather and month etc) . I would suggest you arrive at the tower by 7.00pm and be on the viewing platform by 7.30pm, as by 8.00pm it will be dark. This will allow you to view Seoul during the golden hour, sunset and night (when the whole city lights up). This will probably be one of the more busier times though, so beware. If you want a less busy experience maybe go early morning or around lunch and be don't visit on a weekend but a weekday. ---------------------------- How to get there:  We were staying in myengdong area which conveniently had a bus that takes about 15 mins to go directly to the entrance of Seoul tower. It comes every 15 mins and costs around 1,200 won without a tcard and 1,100 with. For those staying in myengdong the bus stop is to the right of myengdong Station entrance 2. The bus you will need to catch is the no. 5. Those staying in chongmyeong can catch either the no. 2 or 5. There are other methods of getting there. You could taxi or get the train to the bottom of the park and get the cable car up.  I would suggest that if you want to walk the hill/ Park area to get to the tower, that you should walk down instead of up. It is a step climb up, with quite alot of stairs and steep slopes. It would take you a good 30 mins plus to get to the top and you will be tired. ----------------------- Seoul tower Park:  So beneath Seoul tower is a sort of park area with a few viewing platforms, one of which is covered in love locks. I would recommend getting some of your photos group photos here. Its a little less busy and the view is almost as good. Beneath the tower there are many places to eat and shops. --------------------------- Seoul tower  The tickets can be bought online and at the tower. We bought at the tower and don't encounyer much of a queue. Tickets cost 10,000 won per adult and 8000 won for children and seniors. They are open tickets which mean there are no time slots allocated. You can enter the tower when you please and stay as long as you like.  There is one main viewing platform and it will be busy but the views are stunning. If you find yourself needing to get away from the hubub I would suggest you go down to the next level (sub viewing platform) and go to the toilet. Each has its own private view and the facilities are very nice.  I saw quite places to eat on each level with lots of different choices e.g Italian, Korean,  Chinese etc. I don't, however, know how much it costs. ------------------- Getting down:  When finished there are multiple ways to get down. The bus which you took to go up, the cable car and the walk. The cable car costs 7000 per adult and takes about 10-15 mins to get down to the bottom where it will drop you off near myengodon, where you can get to myengdong Station or just walk home.  However, if you are feeling up to it I would suggest walking down.  The path is well light, nicely paved with great views all the way down. It has a great view of the tower and its a nice stroll through the park area. The path is just left of the cable car when facing down the hill. I think it took us about 20 mins to get down. You will just about the reach the same area that the cable car will drop you off at. From there its a 10-15 min walk back to myengdong main street. --------------------- Worth it?  I believe so but I am a sucker for a good view and a relative payed for most of the trip. I can see how it may fall flat for many as it is very busy tourist hot spot which is arguably overpriced. I believe families should see this is as one of their big nights out. I still think those on a budget should go but maybe limit there spending by walking and taking snacks up with them to eat in the park. While Seoul tower is arguably the most iconic, there are still other platforms you can choose from. Also, if you were just viewing during the day and wanted a challenge then instead of observation decks go to some of the mountains that surround the city. We went to bukhansan (1/2 day quite hard hiking) which has amazing views.  Hope this helps people out. Sorry its so long, thought the detail would be good. --------- Protip: For those who do go in the evening (who are treating this like one of their big nights out) and finish the tower looking for dinner I would suggest going to woori Garden korean bbq in myengdong. Amazing stuff.",24,much,"그래서 우리는 최근에 타워를 방문했고 우리가 그것에 대해 어떻게 했는지와 몇 가지 제안을 적어볼 수 있을 거라고 생각했습니다. ---------------------------------- 갈 때: 그래서 우리는 8월 초에 방문했고 가장 좋은 시기는 가는 것은 저녁이었다 (물론 이것은 날씨와 달 등에 달려 있을 것이다). 오후 7시까지 타워에 도착하고 오후 7시 30분까지 전망대에 도착하는 것이 좋습니다. 이렇게 하면 골든 아워, 일몰, 밤(도시 전체가 밝을 때) 동안 서울을 볼 수 있습니다. 이것은 아마도 가장 바쁜 시간 중 하나가 될 것이므로 조심하십시오. 덜 바쁜 경험을 원한다면 이른 아침이나 점심 시간에 가서 주말이 아닌 평일에 방문하십시오. ---------------------------- 찾아가는 방법: 버스가 15분 정도 소요되는 편리한 명동 지역에 머물고 있었습니다. 서울타워 입구로 직진. 15분 간격으로 오고 요금은 티카드 없이 1,200원, 있으면 1,100원입니다. 명동에 머무시는 분들은 버스정류장이 명동역 2번출구 오른쪽에 있습니다. 타야 할 버스는 2번입니다. 5. 총명에 머무는 사람들은 어느 쪽이든 잡을 수 있습니다. 2 또는 5. 거기에 가는 다른 방법이 있습니다. 당신은 택시를 타거나 기차를 타고 공원 바닥까지 가서 케이블카를 탈 수 있습니다. 언덕 / 공원 지역을 걸어서 타워에 가려면 위로 걸어가는 대신 아래로 걸어가는 것이 좋습니다. 꽤 많은 계단과 가파른 경사가 있는 계단 오르막입니다. 정상까지 가려면 30분 정도 더 걸리고 피곤할 것입니다. ----------------------- 서울 타워 공원: 서울 타워 아래에는 몇 개의 전망대가 있는 일종의 공원 지역이 있습니다. 그 중 하나는 사랑으로 덮여 있습니다. 자물쇠. 나는 당신의 사진 단체 사진 중 일부를 여기에서 얻는 것이 좋습니다. 조금 덜 바쁘고 전망이 거의 비슷합니다. 타워 아래에는 먹을 곳과 상점이 많이 있습니다. --------------------------- 서울 타워 티켓은 온라인과 타워에서 구입할 수 있습니다. 우리는 타워에서 샀고 대기열이 많이 필요하지 않습니다. 입장료는 어른 1만원, 어린이와 시니어 8000원이다. 그들은 할당된 시간 슬롯이 없음을 의미하는 공개 티켓입니다. 원하는 시간에 타워에 들어가 원하는 만큼 머무를 수 있습니다. 하나의 주요 관람 플랫폼이 있으며 혼잡할 것이지만 전망은 훌륭합니다. 허브에서 벗어나야 하는 자신을 발견하면 다음 레벨(하위 전망대)로 내려가 화장실에 가는 것이 좋습니다. 각각의 전용 뷰가 있으며 시설이 매우 좋습니다. 나는 이탈리아, 한국, 중국 등 다양한 선택으로 각 층에서 먹을 수 있는 곳을 보았지만 비용이 얼마인지는 모릅니다. ------------------- 내리기: 끝나면 여러 가지 방법으로 내릴 수 있습니다. 올라가기 위해 탔던 버스와 케이블카, 그리고 도보. 케이블카 요금은 성인 1인당 7000이며, 바닥까지 약 10-15분이 소요되며, 이곳에서 면동역까지 가거나 걸어서 집에 갈 수 있는 면고돈 근처에서 하차합니다. 그래도 괜찮다면 내려가는 걸 추천합니다. 길은 잘 가벼우며 아래로 내려가는 내내 멋진 전망을 즐길 수 있도록 잘 포장되어 있습니다. 타워의 멋진 전망과 공원 지역을 산책하는 것이 좋습니다. 길은 언덕 아래로 향할 때 케이블카 바로 왼쪽에 있습니다. 내려오는 데 20분 정도 걸린 것 같아요. 케이블카가 내리는 곳과 거의 같은 지역에 도달하게 됩니다. 거기에서 명동 메인 스트리트까지 도보로 10-15분이 소요됩니다. ---------- 가치가 있습니까? 나는 그렇게 믿는다. 그러나 나는 좋은 전망과 친척이 대부분의 여행에 대해 지불하는 빨판이다. 틀림없이 고가의 매우 바쁜 관광 명소이기 때문에 많은 사람들에게 그것이 어떻게 평평해질 수 있는지 알 수 있습니다. 나는 가족들이 이것이 그들의 큰 밤 중 하나임을 알아야 한다고 믿습니다. 나는 여전히 예산이 있는 사람들이 가야 한다고 생각하지만 공원에서 식사를 하기 위해 산책을 하고 간식을 챙겨가는 것으로 지출을 제한할 수 있습니다. 서울 타워는 틀림없이 가장 상징적이지만 선택할 수 있는 다른 플랫폼이 있습니다. 또한 낮에 구경만 하고 도전하고 싶다면 전망대 대신 도시를 둘러싸고 있는 산으로 가보세요. 우리는 놀라운 전망을 가진 북한산(1/2일 꽤 힘든 하이킹)에 갔다. 이것이 사람들을 돕기를 바랍니다. 너무 길어서 죄송합니다. 세부 사항이 좋을 것이라고 생각했습니다. --------- Protip: 저녁에 가서 저녁을 먹으러 타워를 끝내고 저녁에 가는 사람들(명동에 있는 우리 가든 한식 바베큐에 가는 것을 추천합니다) . 놀라운 물건."
25,25,25,490,"Great views of the city. Not as tall as the Lotte Seoul Tower, but set up on a hill which gives it almost as much of a commanding view. Several coffee shops and restaurants as well as gift shops at the tower as well. Spend an hour for a quick look around or spend longer and enjoy the view while drinking coffee or grabbing a bite to eat.",25,much,도시의 멋진 전망. 롯데 서울 타워만큼 높지는 않지만 언덕에 세워져 있어 거의 위풍당당한 전망을 제공합니다. 타워에는 여러 커피숍과 레스토랑뿐만 아니라 선물 가게도 있습니다. 1시간 동안 주변을 둘러보거나 더 오래 시간을 보내면서 커피를 마시거나 식사를 하며 경치를 즐기십시오.
26,26,26,496,"The smooth, safe ride up, love locks, beautiful views of Seoul city, and an experience a lot like TeamLab Borderless in Japan once you go in to the tower. It's on a much smaller scale than the TeamLab Borderless one but amazing nonetheless. You will have to pay more to go up but so worth it, the observation views are gorgeous and you really get a unique view of this special city. There's even a post office box up there that you can send postcards to the USA and other countries from. Great experience!",26,much,"부드럽고 안전한 탑승, 사랑의 자물쇠, 서울의 아름다운 전망, 그리고 타워에 들어가면 일본의 TeamLab Borderless와 같은 경험을 할 수 있습니다. TeamLab Borderless보다 훨씬 작은 규모이지만 그럼에도 불구하고 놀랍습니다. 올라가려면 더 많은 비용을 지불해야 하지만 그만한 가치가 있는 전망을 감상할 수 있고 이 특별한 도시의 독특한 전망을 감상할 수 있습니다. 미국 및 기타 국가로 엽서를 보낼 수 있는 우체국 상자도 있습니다. 굉장한 경험!"
27,27,27,501,A new style of getting out and about. Very interesting place .never seen anything like it..enjoyed very much,27,much,새로운 스타일의 외출. 매우 흥미로운 장소 . 그런 것을 본 적이 없습니다 .. 매우 즐겼습니다.
28,28,28,506,"We tried to go at night but much too crowded. By day, it was fantastic. There is so much to do including the trip to the top. There were performers and restaurants and shops. It was the best day with my daughter of my entire trip to South Korea.",28,much,"우리는 밤에 가려고했지만 너무 혼잡했습니다. 낮에는 환상적이었습니다. 정상까지의 여행을 포함하여 할 일이 너무 많습니다. 공연자와 레스토랑, 상점이 있었습니다. 한국 여행 내내 딸과 함께한 최고의 날이었습니다."
29,29,29,511,"Make the hike up if it’s not unbearably humid/hot, it’s a nice walk up from Myeong-dong, doesn’t cost much to go up, and has great views of the city! Personally I’d avoid any cafes/restaurants at the tower and head back down to Myeong-dong for food.",29,much,"견딜 수 없을 정도로 습하거나 덥지 않다면 하이킹을 해보세요. 명동에서 걷기 좋은 곳이고, 올라가는데 비용이 많이 들지 않고, 도시의 멋진 전망을 볼 수 있습니다! 개인적으로 나는 타워에 있는 카페/레스토랑을 피하고 음식을 먹으러 다시 명동으로 향합니다."
30,30,30,532,We walked from Myeongdong area to the cable car station (20-25 mins) where we took ?? (W35000 for 3 adults 1 child) to the tower ground floor.  We booked tickets at the Klook apps in advance for entering the tower which are much cheaper. It gave instant confirmation with QR code. We just need to take the physical entrance slip at the kiosks with the mobile confirmation.  There are some shops and restaurants/eateries at the Tower.  It's a popular place and must visit. We spent 3 hours here in late afternoon.  I must be back in one autumn as it will be full of maple leaves??,30,much,우리는 명동 지역에서 케이블카 역까지 걸어서 (20-25 분) ?? (어른 3 인 35000 어린이 1 어린이)를 타고 타워 1 층으로 이동했습니다. 우리는 훨씬 저렴한 타워에 입장하기 위해 Klook 앱에서 티켓을 미리 예약했습니다. QR코드로 바로 확인이 가능했습니다. 모바일 확인이 있는 키오스크에서 실제 입장표를 가져가기만 하면 됩니다. 타워에는 상점과 레스토랑/식당이 있습니다. 유명하고 꼭 가봐야 할 곳입니다. 우리는 늦은 오후에 여기서 3시간을 보냈습니다. 단풍이 가득할 가을에 꼭 다시 와야겠어요??
31,31,31,538,"Nothing much to do up at the observatory level, just enjoy the scenery and have some twosome coffee.",31,much,전망대 수준에서 할 일이별로 없으며 경치를 즐기고 두 잔의 커피를 마시십시오.
32,32,32,540,"We took the cable car up to the mountain, the views were stunning, there was much to see and the waiting time wasn't as bad as i expected took only about 5 mins on a Tue at 3PM, highly would recommend, the voucher redemption was easy as well the machines present had an English option.",32,much,우리는 케이블카를 산까지 탔습니다. 전망은 훌륭했고 볼 것이 많았고 대기 시간은 예상만큼 나쁘지 않았습니다. 화요일 오후 3시에 약 5분밖에 걸리지 않았습니다. 바우처 교환을 적극 권장합니다. 존재하는 기계에는 영어 옵션이 있었기 때문에 쉬웠습니다.
