,CONTENT,VADER
184, I went to see Lee Kunhees exhibition and came back to look around Every time I come I am deeply impressed When I saw the national treasures and treasures I had seen in textbooks in person I was deeply moved ,Positive
185, When parking do not get caught in the line at the Yongsan Family Park parking lot ,Neutral
186, Recommended by acquaintances 1 Lee Kunhee Collection 2 Azteka Artifact Exhibition 3 Private Room Banga Thinking Statue 4 Realistic video was very good Be sure to go ,Positive
187, Beautiful collections with English translations and access is free ,Positive
188, A great museum  if you want to see the entire exhibition carefully you should plan around 56 hours A big plus is that the museum is free ,Positive
189, A museum that represents the country is free A place where children should come and learn as many times as they are together ,Positive
190, Worldclass museum 1 Possession of Shinan relic pottery 2 Possession of Dunhwang Grottoes ,Neutral
191, it was so good I cant remember the exact title of going to Mt Geumgang in the video but it was a pity that I felt the Chinese style too much ,Negative
192, It is a place where you can fully experience works and exhibitions by visiting even if you are not a family member lover or friend ,Neutral
193, Invitation from a certain collector Artwork I saw in a history book when I was in school Its amazing to see it up close ,Positive
194, I went to the last time on the day of Bidens full swing and left the museum at 430 and was kicked out of the garden I said I could stay until 500 but I was really tired and I was going to sit and rest so I sent ,Negative
195, As it is a central museum the exhibition of relics is good and the outside walking path is well maintained ,Positive
196, Clean and well made The digital cinema is really good I sat there without even taking a picture  I went to Asteca before and it was fun ,Positive
197, You can see various cultures and see the cultural relics donated by donors ,Neutral
198, Although it is known for various famous exhibitions the exterior and interior landscaping provide a resting place for citizens and tourists It is a pleasantly decorated place such as an artificial waterfall pond ,Positive
199, I also enjoyed the exhibition and the pond on the first floor is wonderful ,Positive
200, There are escalators and elevators everywhere so its good to take the elderly with you ,Positive
201, A Collectors Invitational Lee Kunhee Collection Its crowded on the weekend On weekends make a reservation online in advance ,Neutral
202, Its great It was nice to see the relics and treasures I had only seen in textbooks ,Positive
203, The free exhibition is good and the digital theater is great It is good because it is connected to the stone park lake and Yongsan Family Park nearby It is also good to take a walking trail like a small path around ,Positive
204,Sehr eindrucksvoll Riesiges Gebude,Neutral
205, You can never see it all in one day Admission to the permanent exhibition is free ,Positive
206, It will be a great opportunity for field trips with children ,Positive
207,If you go to a historical museum in Seoul go to this one,Neutral
208, I went to see Lee Kunhees special exhibition The exhibition is well organized and there are many things to see ,Positive
209, private room 6th century 7th century Shilla Bangasayusang ,Neutral
210, Now you have to pay Human psychology is more valuable when it is expensive and insignificant when it is free Get an entrance fee of 30 ,Positive
211, So many interesting artifacts and cool drawings from at least thousands years ago Its very educational and fun placespent three hours inside It was such a useful and fun time Studying history is more real when ,Positive
212, Its been a while since Ive been there and its still good It seems to be used a lot by installing a massproduced product I think the convenience has improved ,Positive
213, Truly a treasure trove It seems that all our national treasures are here ,Positive
214, It was my first visit and I stayed for 6 hours There is a reason why President Biden visited Korea and had dinner here Above all two giltbronze Maitreya Bodhisattva Buddha statues are on display It was a highlight ,Positive
215, The museum is as good as the museum Its a good place to be outdoors because its a park ,Positive
216, Mexican Civilization Exhibition Azteca I went to take a look Age 65 and older free Reservation I can go without it ,Positive
217, I dont understand why its free Its clean and theres a lot to see ,Positive
218,Free,Positive
219, Overall its clean and you can use the park after seeing the exhibition but its a pity that the toilets are small compared to the size ,Negative
220,Always love coming here but today Saturday the main museum is closed in preparation for a banquet tonight strong police security guards presence here  People are turned awayits a let down for people couldnt this be held at the ,Positive
221, A mustvisit place if you visit Korea You can take a walk and appreciate precious works ,Positive
222,The room of quiet contemplation It is once in a life time opportunity You dont wanna miss it,Positive
223,Amazing,Positive
224, that the design of the building is a museum scenery that makes you feel The beauty of the moon jar on the 3rd floor ,Positive
225, Its a bit far from the subway station but if you take the bus it stops right in front There is a taxi stop but it has no meaning so I recommend a call taxi when you ,Negative
226, People who moved the sun Go to the Aztec exhibition and see the pictures of peoples lives and customs in the past ,Neutral
227, It was so good The building itself was like an exhibition because it was beautiful The temperature and humidity were very comfortable spacious and neat and it was nice to be able to see the objects of Goryeo ,Positive
228, This is my first visit while living in Seoul I am grateful that such a large and wonderful museum exists in Korea ,Positive
229, The best museum in Korea It is a museum to be proud of as much as Levre Museum ,Positive
230, I went to the Lee Kunhee collection held in the special exhibition room ,Positive
231, I am moved to see the incredibly wonderful and precious relics if you go here for free It was a bit disappointing that I couldnt see the giltbronze incense burner ,Positive
232, Its a good place to go anytime but Ive been here for a long time to see the Aztec exhibition When the weather is nice I rest a lot on a bench by the pond after watching the exhibition ,Positive
233, The worldclass National Museum of Korea I also like the planned exhibitions ,Positive
234, nice work nice display to a peaceful atmosphere ,Positive
235, I saw an exhibition that digitally reproduced the procession to Mars The dynamic expression and BGM were impressive ,Positive
236, Totally good It is good to bring children a good walk and the exhibition hall is large and there are many things to see ,Positive
237, It is a wonderful exhibition that you will experience for the first time in your life ,Positive
238, So good A place I want to go to every day ,Positive
239, There is a lot to see and it is well organized by period The best museum ,Positive
240, The National Museum of Korea is welldecorated as a place for experiential learning for families lovers and students ,Positive
241, It was good to go to the childrens history experience class and to experience an event at the Hangeul Museum ,Positive
242, The exhibition space is spacious Outdoor walking trails are also good Anytime is good ,Positive
243, The media hall was new and good in the permanent exhibition hall There is a large outdoor area for walking and there is also a childrens museum ,Positive
244,Exqisite exhibits and great amenities,Positive
245, It is one of the best museums managed in Korea Although it is free it is the cleanest and the best size The parking lot is spacious and convenient ,Positive
246, The view of Namsan in the middle of the building was impressive All the artifacts inside the museum are full of bowls so I subtracted one star ,Positive
247, VR experience with children watching the real thing and watching documentaries It is better to understand ,Positive
248, I think it would be better to go to the Lee Kunhee Art Exhibition after making a reservation online ,Positive
249, I went to a collectors invitation exhibition 1st anniversary of the Lee Kunhee Collection I bought it on the spot and arrived at 1 oclock but I was able to buy a 3 ticket so I ate and drank coffee in the yard ,Neutral
250, Its a really nice place It is so spacious that you need to plan ahead if you want to see it all in one day ,Positive
251, on a huge scale Visiting a museum with a lot to see always nice ,Positive
252, After a long time in the education room of the Central National Crop Center There is a general meeting of the National Literature Museum so you can take ,Neutral
253, Ive seen King Taejo and King Yeongjo and I dont remember much about the details of King Taejo of Goryeo during the Silla period ,Neutral
254, Its close to my house so I often go for a walk There are benches all over the outdoor space so you can enjoy a cup of coffee while looking at the scenery ,Positive
255, It would be nice if there was a regular cultural heritage commentary ,Positive
256,A large well organised museum that was worth visiting Lots of intersting items to see though I would say there was a bit too much focus on pottery Due to another appointment I only had one and a half hours to look round which I managed I would say though that two to three hours would be better Free entry Easy to get to,Positive
257,This place is massive the first floor has items relevant to Korean history but upper floors are mostly pottery If you go with young kids youll finish up the first floor and dont bother with upper floors unless you are into artpottery  There is also a childrens museum but it requires a reservations so plan ahead we did not  The museum is located near a subway stop but be prepared to walk about a quarter mile,Positive
258,This museum is well laid out and it is nice There is a billion ceramics on display and this museum is mostly just ceramics,Positive
259,very impressive it shows the 5000 year old korean history with various subjects so sad that i didnt have enough time to see special exhibitions,Positive
260,One of the most spectacular museums I have ever seen You could easily spend a day there and still only see a fraction of what is there,Positive
261,Really enjoyed the museum There was a lot to see and they had some great collections from all over the world,Positive
262,As beautiful as its educational Everything is written in various languages so no worries if you cant speak Korean  Make sure you know what you can and cant bring in I had totally forgotten that my keychain is a Swiss army knife They have lockers but when the museum is packed its pretty hard to find one,Positive
263,Its a beautiful place and a wonderful history presented unfortunate due to construction a lot not visible but just the clock they have hanging already worth going Just get some who can translate for you the Korean as the English translation is not correct ;,Positive
264,The National Museum in Korea is a great place to hang out and learn about Korean history and culture It offers a great escape from the weather and its FREE  Your visit can take 24 hours depending on how much you stop and read Great English translations help foreigners enjoy the experience  Things to know they only allow a limited  inside due to COVID During off peak times there is no wait but there may be a queue doing tourist season Trying making ticket reservations early you may have better luck than me navigating the website  Small cafe with drinks and snacks are located on the bottom floor next to the big gift shop Wear good shoes,Positive
265,This is a breathtaking museum I have a passion for Asian art and this place is perfect for me to dive in the rich Asian culture,Positive
266,This comprehensive museum is massive and well organized I really appreciated the replicas of certain pieces that persons who are blind or low vision and feel and see Thoughtfully arranged and maintained museum which may need two visits to take in,Positive
267,Definitely visit if you have time Great war relics and photo ops especially outside Or do what we did and pick a tour that ends there with enough time to see it,Positive
268,Room after room after room of displays both beautiful art and functional items As you see each room you are transported through Koreas history and advancements The building and the displays are well constructed and informative Highly recommended,Positive
269,Its easy to understand why this museum is one of the top visited museums in the world The exhibits immerse visitors into the arts of the entire history of this country Additional exhibits show the arts of the rest of Asia These exhibits are newly installed and are very engaging The gift shop is one of the best places to buy good quality gifts for friends or yourself A variety of restaurants and coffee shops are also found on site,Positive
270,This museum is fantastic I was very impressed by how rich and wellorganized the museum is The staff is wonderful There are some robots that guide you and explain some of the most important treasures The pieces are welllabelled The museum is very wellcurated There are many highlights including the large pagoda in the first floor the Sila jewellery the pictorial work of the old tombs the Buddha sculptures the celadon the porcelain everything The museum is free and it opens for long hours We arrived in the afternoon We stayed there for only 2 hours The museum deserves at least halfday I have to go back We also walked around the museum It has a sculpture garden and a beautiful lake with a pagoda The museum architecture is just special Of interest to see the sunset through the building is a memorable experience There were very few visitors It is a relaxing museum  It is very easy to find You take the metro and walk a few meters from the station The hallway that connects the metro with the museum is very interesting,Positive
271,I think its awesome when a Museum offers free admission especially to International travelers who can then learn all about a Countrys Culture My husband son and I spent a week in Seoul our very first trip to South Korea and visited the National Museum of Korea on our second day  Its a vast building and one of the largest museums in Asia We took the MRT to get there and it was a nice walk from the MRT station to the Museum The Museum offers one hour free English language tours which we took Our Guide was very friendly and personable and spoke English very well There are also maps of the Museum available in English and they also detail the top sights if you have a limited amount of time to spend  I was fascinated most by the Gold Crowns and Caps so delicate and ornate and so different from say English Crowns  The Museum houses many many of Koreans National Treasures and its really awe inspiring to get to see them and learn South Koreas history  You could spend a couple of days going through here no problem plus there is another Museum on the grounds as well that is devoted to the Korean Language the National Hangeul Museum  There is a large Food court area within in you get peckish and it serves really lovely meals  This is a great spot to visit if youre in Seoul Go,Positive
272,It helps if you read up on the basics of Korean history before you visit the museum because its a complicated story of multiple competing kingdoms rising and falling while simultaneously trying to fend off the Japanese and invaders from China Fortunately the museum explains this history in a series of wall boards in Korean and English the exhibits cover everything from royal jewels to everyday life; something for everybody,Positive
273,First of all the museum has 3 conveniently located Metro lines beneath its structure which will literally commute to and from anywhere within Seoul The architecture as you will see in my pictures is superb and massive very clean in the lines and overall well thought through and exquisitely designed  The day we went there was no entry fee so this was very convenient Although overall the cultural activities in Seoul are not very expensive Some 3000 KW equivalent to some 3 US   Inside the spaces are big and spacious divided in several rooms on C shapes to be covered Meaning when you enter a room on the left and make a full square C you will end up exiting the room on the far right so this is very convenient cause the is no wrong or right in how to approach the rooms it just flows and you cover great territory without even noticing  Some of the rooms are divided with names such as Ornaments and Art Gojoseon and Han China Tombs Guardians and Deities Also will be divided by different eras and dynasties  A room that did catch my attention and curiosity was the Furniture Room where all the furniture was divided in Male and Female Furniture You can see really here the differences in colors lines engravings and depictions on furniture that separates exquisitely both genders with style  Finally there is a coffee shop and a Gift shop conveniently located at the last floor where you are suppose to finish We do recommend this to everyone and definitely we had some 3 hours of pure cultural and informative fun,Positive
274,one of the best museums in Seoul Very easy to find get off at Ichon Subway stop on the blue line three stops from Seoul Station the exhibits are constantly changing and they occasionally have international exhibits  I saw the hermitage exhibit and the Muesum dOlreans Paris museum very resasonable fees,Positive
275,We went here by their hop in and hop off bus The view is amazing and great You will learn alot from their culture and history,Positive
276,This museum is worth a visit both for the amazing building and the collections The building is grandiose and the exhibition rooms are well designed Everything is translated into English making it easy to navigate The collections are remarkable with the main focus being on Korean art from prehistorical times to early modern history Easy access by metro Allow enough time to visit the many interesting rooms,Positive
277,This museum is a must visit if you are a history nerd or youre just interested in learning about our past and ancestors It is not only about Korea as the 3rd floor is the world history section where if includes historical facts and artifacts from India rest of Asia Egypt and Japan Be prepared to walk a lot Theres water dispenser at every level so you can bring your bottle for refill,Positive
278,Its close by all the palace and ancient village of Bukchon Hanok  Best of all its free for all  There is a comprehensive display and exhibits of korean history and culture and how people used to live  There were vivid and creative displays in for of real water fall and walls of Korea painting projected on walls,Positive
279,It is Koreas National museum and its a nice building with a few genuine national treasures but it falls a bit flat It seems too sparse and many of the English descriptions are poorly done or entirely absent It also does not flow well and there were only a few really memorable exhibits The Leeum Samsung museum is much better,Positive
280,We visited to this museum in the morning so we had a chance to catch the English speaking guided tour It was interesting and even outside of the museum there are lots of things to explore,Positive
281,We came here after visiting the Korean War Museum so we were pretty tired and still very jet lagged This is a beautiful museum and I wish we would have taken more time to explore but we were just so exhausted Worth seeing still,Negative
